Player
Claudio Falcao
Josha Vagnoman
Samuele Birindelli
Fernando Ferreira Fonseca
Jairo Riedewald
Jackson Tchatchoua
Reece James
Ismael Doukoure
Mauro Junior
Miroslav Bogosavac
Juan Cuadrado
Jakub Kaminski
Amadou Dante
Allan Nyom
Diego Moreira
Siebe Van Der Heyden
Jean-Kevin Duverne
Goncalo Costa
Lars Ritzka
Darko Lazovic
Nhoa Sangui
Louis Patris
Renato Veiga
Tiago Araujo
Bart Nieuwkoop
Honest Ahanor
Stefan Dzodic
Wagner Pina
Ihor Kalinin
Aleksandr Ektov
Noah Fadiga
Julian Lelieveld
Juan Castillo
Gary Magnee
Oleksandr Zinchenko
Rafael Rodrigues
Deiver Machado
Nikita Kakkoyev
Gijs Smal
Thomas Keller
Ilya Agapov
John Tolkin
Niels Nkounkou
Jean-Charles Castelletto
Djene
James Abankwah
Fabio Ferraro
Marco Weymans
Felix Passlack
Colin Dagba
Alexandro Calut
Nikolas Veratschnig
Lamare Bogarde
Adrien Truffert
Archie Gray
Killian Sardella
Samuel Dahl
Ferdi Kadioglu
Dominik Javorcek
Diogo Travassos
Goncalo Almeida
Marcos Llorente
Mats Wieffer
Dario Grujcic
David Pastor
Fode Ballo-Toure
Geoffrey Kondogbia
Simion Michez
Dominik Kohr
Eric Smith
Mitchell Weiser
Melvin Bard
Paulo Victor
Ridle Baku
Marnon Busch
Rui Modesto
Mihailo Ristic
Vanja Drkusic
Ivan Fresneda
Kirill Bozhenov
Bruno Onyemaechi
Gonzalo Montiel
Ryoya Ogawa
Caleb Wiley
Tom Pouilly
Ken Nkuba
Miguel Gutierrez
Lucas Fasson
Eray Comert
Aron Donnum
Tuta
Nicola Zalewski
John Stones
Andres Garcia
Derick
Joao Mario Lopes
Alex Moreno
Petar Golubovic
Aleksandr Kutitskiy
Samuel Amo-Ameyaw
Christian Neiva Afonso
Robert Skov
Ilia Rozhkov
Warren Kamanzi
Zeno Debast
Christopher Trimmel
Syb Van Ottele
MT
Jaydee Canvot
Jailson Siqueira
Stephan El Shaarawy
Hugo Novoa
Eric Veiga
Ruben Aguilar
Arnau Martinez
Ryan Manning
Frederic Ananou
Ali Abdi
Joao Tome
Tom Rothe
Patrick Pflucke
Yuri Ribeiro
Ruslan Bezrukov
Alfonso Pedraza
Pedro Amaral
Jerome Roussillon
Pedro Carvalho
Mikael Ellertsson
Bjarki Bjarkason
Emre Can
Rico Lewis
Tom Louchet
Josip Juranovic
Marious Vrousai
Darko Todorovic
Mory Gbane
Fabiano Parisi
Gustavo Mantuan
Yukinari Sugawara
Pawel Dawidowicz
