Player
Alessandro Marcandalli
Tyrick Mitchell
Valentin Paltsev
Teo Quintero
Kaio Pantaleao
Aitor Paredes
Fredrik Oppegard
Sergei Bozhin
Francisco Petrasso
Dara O'Shea
Pedro Porro
Fikayo Tomori
Marcao
Martin Erlic
Alexandre Penetra
Sacha Boey
Kyriani Sabbe
Djibril Sidibe
Seiya Maikuma
Rick Karsdorp
Mohamed Abdelmoneim
Christian Mawissa
Thomas Meunier
Mats Deijl
Marcelo dos Santos Ferreira
Neco Williams
Edoardo Goldaniga
Danny da Costa
Sergi Cardona
Jon Pacheco
Viktor Aleksandrov
Rustam Ashurmatov
Aske Adelgaard
Omar Traore
Emmanuel Biumla
Omar Alderete
Oscar de Marcos
Hassane Kamara
Mimeirhel Benita
Valentin Rosier
Abdukodir Khusanov
Nicolas Valentini
Radu Dragusin
Martin Frese
Mikayil Ngor Faye
Leo Greiml
Mitchell Dijks
Juan Foyth
Maks Dziov
Martin Valjent
Matvei Lukin
Emin Bayram
Cesar Montes
Ola Aina
David Alaba
Bas van den Eynden
Trent Alexander-Arnold
Christopher Mamengi
Valentin Gendrey
Oleg Reabciuk
Enrico Del Prato
Ivan Smolcic
Joao Mendes
Hiroki Ito
Mike Kleijn
Nathan Ake
Antonio Rudiger
Patrick Mainka
Dimitris Giannoulis
Ezri Konsa
Marco Palestra
Frans Kratzig
Emil Holm
El Chadaille Bitshiabu
Hiroki Sekine
Konstantin Nizhegorodov
Ko Itakura
Igor Vujacic
Borna Sosa
Marcus Pedersen
Ramon Hendriks
Florian Lejeune
Gleison Bremer
Marvin Senaya
Benedikt Gimber
Tuur Rommens
Alberto Moreno
Yunis Abdelhamid
Rosen Bozhinov
Koni De Winter
Kialonda
Jonas Fohrenbach
Lewis Dunk
Pierre Cornud
Piero Hincapie
Yarek Gasiorowski
Rob Nizet
Nathan Patterson
James Tarkowski
Maxime Busi
Lucas Hey
Theo Hernandez
Alec Van Hoorenbeeck
Erik Schouten
Charlie Cresswell
Marc-Oliver Kempf
Alexandre Pinto
Dani Fernandez
Cesar Tarrega
Mardochee Nzita
Moussa Diarra
Aihen Munoz
Jorge Saenz
Gideon Mensah
Robin Koch
Karol Mets
Ethan Pinnock
Olivier Boscagli
Danilho Doekhi
Sven Botman
Leo Petrot
Giovanni Leoni
Ben White
Maksim Osipenko
Jordan Lefort
Willy Boly
Lucas Africo
Lucas Mincarelli
Hector Fort
Rasmus Kristensen
Tanguy Nianzou
Nuno Mendes
Raul Asencio
Leandro Cabrera
Nathan Zeze
Christian Gunter
Santiago Mourino
Michael Svoboda
Robin Gosens
Vitali Lystsov
Carlos Dominguez
Matteo Gabbia
Pervis Estupinan
Kiryl Pyachenin
Willyan
Leo Skiri Østigard
Ilya Gaponov
Nuno Tavares
Aaron Cresswell
Facundo Garces
Rein Van Helden
Felix Bacher
Mathias Olivera
Siebe Horemans
Carlens Arcus
Rayan Senhadji
Sven Sostaric Karic
Nicolas Pallois
Dmitri Skopintsev
Miguel Lopes
Michael Keane
David Jurasek
Lukas Klostermann
