Player
Vincenzo Grifo
Rifat Zhemaletdinov
Roger Fernandes
Gyrano Kerk
Musa Al-Taamari
Emilio Kehrer
Albert Gudmundsson
Moses Simon
Michal Skoras
Sirlord Conteh
Ferran Torres
Ilias Sebaoui
Josimar Alcocer
Ivan Sergeyev
Antoniu
Lucas Vennegoor of Hesselink
Jorge de Frutos
Paris Brunner
Adri Embarba
Lois Openda
Lorenzo Colombo
Crysencio Summerville
Mohamed Ali Cho
Juanmi
Pepe
Nicolo Zaniolo
Bruno Messi
Igor Paixao
Nuno Goncalo Moreira
Joao Felix
Portu
Florian Thauvin
Danel Sinani
Ronaldo Cesar
Mamadou Sylla
Charly Keita
Saeid Saharkhizan
Ruben Macedo
Bazoumana Toure
Egas Cacintura
Youssoufa Moukoko
Chemsdine Talbi
Raul
Moritz Broschinski
Brian Mansilla
Mickael Biron
Nokkvi Thorisson
Johan Manzambi
William Balikwisha
Abbosbek Fayzullayev
Jason
Sandro Ramirez
Elif Elmas
Gabri Martinez
Viktor Tsyhankov
Suso
Edon Zhegrova
Ibrahim Mbaye
Sebastiano Esposito
Denilho Cleonise
Baptiste Guillaume
Erencan Yardimci
Fabio Carvalho
Junior Kadile
Carlos Eduardo
Evann Guessand
Jacob Trenskow
Jonathan Ikone
Leon Bailey
Mario Engels
Alessandro Gabrielloni
Mexx Meerdink
Raphinha
Thijs Oosting
Jota
Mario Balotelli
Othmane Maamma
Yanis Begraoui
Joao Pedro
Pablo Duran
Bukayo Saka
Osame Sahraoui
Willian
Florinel Coman
Alex Berenguer
Jovane Cabral
Wilson Odobert
Kacper Kostorz
Christantus Uche
Alvaro Morata
Filip Krastev
Marcus Tavernier
Tim Skarke
Adama Traore
Steve Mounie
Gabriel Martinelli
Sontje Hansen
Joao Marques
Mohammed Fuseini
Ignatius Ganago
Amar Ahmed
Morgan Rogers
Kingstone Mutandwa
Alieu Njie
Thibo Somers
Abde Rebbach
Valentin Mihaila
Alex Millan
Kirill Danilin
Jonas Wind
Yussuf Poulsen
Keito Nakamura
Remy Labeau Lascary
Simon Adingra
Facundo Buonanotte
Vyacheslav Grulyov
Anis Hadj Moussa
Francisco Perez
Brahim Diaz
Muhammed Gumuskaya
Alexander Bernhardsson
Abdallah Sima
Matheusinho
Rui Costa
Alex Iwobi
Eldor Shomurodov
Joshua Zirkzee
Oliver Edvardsen
Jack Grealish
Ruben Garcia
Arnaud Kalimuendo
Jonathan Rowe
Marco Matias
Lee Kang-in
Bernard Berisha
Munir El Haddadi
Dylan Mbayo
Iago Aspas
Sergiu Perciun
Jeremy Agbonifo
Thomas Buitink
Arkaitz Mariezkurrena
Ilyes Housni
Sana Fernandes
Deniz Undav
Ismael Konate
Carlos Martin
