Player
Giovanni Simeone
Promise David
Johannes Eggestein
Armando Broja
Telmo Arcanjo
Madson
Riccardo Orsolini
Dimitris Rallis
Phillip Tietz
Tamerlan Musaev
Luis Diaz
Ousmane Dembele
Andreas Albers
Maroan Sannadi
Manfred Ugalde
Samuel Essende
Oscar Aranda
Leandro Trossard
Amine El Ouazzani
Ollie Watkins
Beto
Samuel Obeng
Elias Mar Omarsson
Roberto Piccoli
El Mehdi Maouhoub
Andrea Pinamonti
Thierry Ambrose
Ilya Sadygov
Walid Cheddira
Marcus Thuram
Caleb Ekuban
Santiago Gimenez
Max Dean
Dango Ouattara
Mohammad Mohebbi
Willian Jose
Theo Bair
Keisuke Goto
Sayfallah Ltaief
Mohamed Nassoh
Jarne Steuckers
Alvaro Rodriguez
Dylan Nandin
Georgi Melkadze
Phil Harres
Tobias Lauritsen
Gaetan Laborde
Jhon Cordoba
Diego
Anton Zabolotny
Vladimir Ilyin
Joel Jorquera
Hugo Ekitike
Imran Aznaurov
Amine Salama
Kevin Behrens
Anders Dreyer
Thierno Barry
Ricky van Wolfswinkel
Ivan Prtajin
Atsamaz Revazov
Serhou Guirassy
Malick Fofana
Shamar Nicholson
Marvin Cuni
Joao Costa
Cedric Bakambu
Arciom Sumanski
Cristhian Stuani
Ze Luis
Anastasios Douvikas
Cucho
Oumar Diakite
Sidiki Cherif
Randy Nteka
Igor Matanovic
Budu Zivzivadze
Camiel Neghli
Wesley Said
Ibrahim Salah
Chico Banza
Bojan Miovski
Andrej Ilic
Parfait Guiagon
Junior Ndiaye
Chuba Akpom
Patrik Schick
Ole Romeny
Chiedozie Ogbene
Adrian Baquerin
Dylan Vente
Mikel Oyarzabal
Yira Sor
Abel Ruiz
Daniel Karlsbakk
Danny Welbeck
Bruny Nsimba
Jack Harrison
Bertug Yildirim
Kasey McAteer
Jader Duran
Didier Lamkel Ze
Moise Kean
Jeremy Bokila
Angel Di Maria
Hugo Duro
Couhaib Driouech
Benjamin Dominguez
Jesper Lindstrom
Bryan Linssen
Luuk de Jong
Taiwo Awoniyi
Noni Madueke
Liam Delap
Mitchell van Bergen
Antoine Semenyo
Timur Suleimanov
Neal Maupay
Oliver McBurnie
Franck Honorat
Ali Al Hamadi
Rafael Leao
Cyril Ngonge
Kasper Dolberg
Ante Budimir
Jacob Murphy
Chidozie Obi-Martin
Justin Cuero
Michael Gregoritsch
Mergim Berisha
Duvan Zapata
Alexander Sorloth
Isaac Romero
Jonathan David
Troy Parrott
Emanuel Emegha
Yoane Wissa
Artem Dzyuba
Makan Aiko
Akor Adams
Julien Ngoy
Ivan Timoshenko
Lautaro Martinez
Ludovic Ajorque
