Player
Stefano Turati
Marc-Andre ter Stegen
Dani Cardenas
Nick Olij
Lucas Perri
Yann Sommer
Maduka Okoye
Alvaro Fernandez
Anthony Lopes
Nikola Vasilj
Nico Mantl
Lorenzo Montipo
Jasper Schendelaar
Devis Vasquez
Mathew Ryan
Kepa Arrizabalaga
Jesus Owono
Marco Carnesecchi
Florian Muller
Andriy Lunin
Zion Suzuki
Matvei Safonov
Michele Di Gregorio
Cezary Miszta
Elia Caprile
Kewin
Yehvann Diouf
Maxime Delanghe
Jonas Urbig
Juan Soriano
Emil Audero
Nikita Kokarev
Jasper Cillessen
Federico Ravaglia
Lukas Hradecky
Moritz Nicolas
Sergio Herrera
Sam Johnstone
Marco Bizot
Andries Noppert
Joao Paulo Santos Costa
Matthieu Epolo
Aleksandr Maksimenko
Andreas Jungdal
Ortwin De Wolf
Anthony Moris
Jean Butez
Aleksandr Vasyutin
Vanja Milinkovic-Savic
Mathieu Gorgelin
Timon Weiner
Anatolii Trubin
Warleson
Franco Israel
Herve Koffi
Oliver Baumann
Bart Verbruggen
Alex Remiro
Simon Mignolet
Jesse Joronen
Gregor Kobel
Rui Silva
Patrick Drewes
Sinan Bolat
Guillermo Ochoa
Alexander Schwolow
Pierluigi Gollini
Stefan Ortega
Filip Stankovic
Stanislav Agkatsev
Rustam Yatimov
Leo Roman
Nick Shinton
Donovan Leon
Guglielmo Vicario
Kevin Muller
Fraser Forster
Ricardo Velho
Gautier Larsonneur
Leo Kokubo
Andre Ferreira
Robert Sanchez
Mile Svilar
Timur Magomedov
Patrick Sequeira
Robin Roefs
Colin Coosemans
Gabriel Batista
Vitali Gudiyev
Christos Mandas
Patrik Gunnarsson
Tiago Cardoso
Mark Flekken
Lukasz Skorupski
Paulo Gazzaniga
Simone Scuffet
Mattia Perin
Simao Bertelli
Alex Palmer
Giorgi Mamardashvili
Aaron Ramsdale
Vicente Guaita
Lucas Pirard
Luca Philipp
Matej Kovar
Davor Matijas
Josep Martinez
Timo Horn
David Volk
Andre Onana
Caio Secco
David Soria
Tobe Leysen
Vladan Kovacevic
Hendrik Van Crombrugge
Kjetil Haug
Jordan Pickford
Manuel Neuer
Mike Penders
Noah Atubolu
Michael Zetterer
Aleksandr Belenov
Djordje Petrovic
Julen Agirrezabala
Pepe Reina
Bruno Brigido
David Raya
Lucas Franca
Tom Vandenberghe
Alexander Nubel
Antonio Sivera
Nordin Jackers
Mattijs Branderhorst
Yevgeni Latyshonok
Maarten Vandevoordt
Fabian de Keijzer
Brice Samba
Gianluigi Donnarumma
Wojciech Szczesny
Jeroen Zoet
Lazar Carevic
Arthur Desmas
Igor Leshchuk
Nikita Medvedev
Marko Dmitrovic
Rome-Jayden Owusu-Oduro
Ionut Radu
Daniil Odoevski
Frederik Ronnow
Jan Oblak
Lars Unnerstall
Razvan Sava
Walter Benitez
Diogo Costa
Dominik Greif
Augusto Batalla
Geronimo Rulli
Michael Verrips
Jari De Busser
Robin Zentner
Mickey van der Hart
Bernd Leno
Joao Valido
Nordin Bakker
Etienne Vaessen
Kevin Trapp
Thibaut Courtois
Matheus
Koen Van Langendonck
Lucas Chevalier
Nikolai Sysuyev
Diego Conde
Mark Travers
Marius Muller
Joel Robles
Filip Jorgensen
Arijanet Muric
Semuel Pizzignacco
Mohamed Kone
Nediljko Labrovic
Jhonatan
Igor Akinfeev
Adrian
Thomas Dahne
Ivan Provedel
Kamil Grabara
Steve Mandanda
Benjamin Lecomte
Wladimiro Falcone
Patrik Carlgren
Jakub Stolarczyk
Alex Padilla
Thomas Didillon
Daniel Bielica
Mike Maignan
Ivan Zlobin
Evgenii Staver
Antonin Kinsky
Ørjan Nyland
Guillaume Restes
Anton Mitryushkin
Yahia Fofana
Martin Dubravka
Radoslaw Majecki
