Player
Ilya Samoshnikov
Federico Valverde
Janik Haberer
Andre Geraldes
Mamadou Loum
Sergio Carreira
Ilnur Alshin
Joe Aribo
Edimilson Fernandes
Nayel Mehssatou
Carlos Gomez
Fahem Benaissa Yahia
Leonardo Lelo
Nair Tiknizyan
Roberto Gagliardini
Simone Pafundi
Mandela Keita
Geny Catamo
Moises Caicedo
Joel silva
Malcolm Viltard
Diogo Calila
Birama Toure
Danil Krugovoy
Ismael Bekhoucha
Lewis Cook
Erick Nunes
Liberato Cacace
Jasper Van Oudenhove
Marco Ribeiro
Rayan Raveloson
Luca Kerber
Gabriel Bares
Yuri Gorshkov
Yannik Engelhardt
Jeffrey Schlupp
Sergio Gomez
Alvaro Tejero
Eduardo Camavinga
Juan Bernat
Robert Andrich
Anton Kavaloŭ
Javier Munoz
Wataru Endo
Thomas Partey
Boris lambert
Michal Sadilek
Khellven
Anton Shvets
Jonas Hofmann
Mohamed Brahimi
Roman Zobnin
Pathe Ciss
Jack Hinshelwood
Anouar El Azzouzi
Soslan Kagermazov
Miodrag Pivas
Matheus Dias
Joey Pelupessy
Marius Courcoul
Naci Unuvar
David Preu
Antonio Sanchez
Andu Kelati
Joao Neves
Guilherme Serrao
Patrick Ciurria
Nuno Santos
Leon Goretzka
Samuel Lino
Jordan Lotomba
Yannick Gerhardt
Renato Tapia
Adrien Tameze
Robbin Weijenberg
Louis Leroux
Jefferson Lerma
Stefan Bajcetic
Geovany Quenda
Ange Martial Tia
Valentin Rongier
Loreintz Rosier
Julian Chicco
Robert-Jan Vanwesemael
Peer Koopmeiners
Matheus Pereira
Mohammed Azzi
Dilane Bakwa
Leander Dendoncker
Iliya Berkovskiy
Theo Leoni
Anton Stach
Manolis Saliakas
Salvador Agra
Matias Soule
Larra
Mario Lemina
Marten de Roon
Kevin Martins
Stephen Eustaquio
Lucas Soares
Brecht Dejaegere
James Garner
Adam Kayed
Temirkhan Sundukov
Pascal Gross
Nicolas Seiwald
