Player
Hwang Hee-chan
Pau Cabanes
Unai Gomez
Danila Kozlov
Gerard Vandeplas
Shavy Babicka
Nikola Cumic
Nicola Sansone
Francisco Trincao
Mehdi Merghem
Zeki Amdouni
Adnan Januzaj
Omari Hutchinson
James Mcatee
Paxten Aaronson
Kader Ouattara
Kees Smit
Connor Metcalfe
Iker Losada
Ringo Meerveld
Mahdi Camara
Butta Magomedov
Reziuan Mirzov
Fredrik Aursnes
Gianluca Caprari
Yaya Kader Fofana
Kristian Nokkvi Hlynsson
Miguel Sousa
Edoardo Bove
Mattia Felici
Yorbe Vertessen
Gaetan Perrin
Antoine Joujou
Juan Manuel Boselli
Aleksandr Golovin
Peio Canales
Pablo Roberto
Braian Mansilla
Patrick Wimmer
Raul Moro
Sami Ouaissa
Vladislav Sarveli
Merlin Rohl
Sebastian Nanasi
Jeong Woo-yeong
Can Uzun
Dennis Geiger
Moussa Kone
Danilo Al Saed
Kazeem Olaigbe
Samuel Grandsir
Alen Halilovic
Luis Rioja
Kamory Doumbia
Svetoslav Kovachev
Junior Dina Ebimbe
Thabo Cele
Fabian Rieder
Adrian Beck
Nikolai Giorgobiani
Kevin Felida
Karim Onisiwo
Chiquinho
Nicolas Dominguez
Tommaso Baldanzi
Chiheb Labidi
Alejandro Garnacho
Laszlo Benes
Lucas Paqueta
Arda Guler
Yari Verschaeren
Jamie Leweling
Jofre
Thomas Bruns
Takefusa Kubo
Teun Koopmeiners
Thibaud Verlinden
Dylan Mertens
Kiryl Zinovic
Amine Gouiri
Zakaria Aboukhlal
Keano Vanrafelghem
Jochem van de Kamp
Andrej Kramaric
Dehmaine Assoumani
Albert Gronbaek
Jorg Schreuders
Valery Fernandez
Yair Mena Palacios
Amad Diallo
Casper Staring
Mikkel Damsgaard
Brandon Aguilera
Kevin De Bruyne
Babatunde Akinsola
Carlos Forbs
Tidiam Gomis
Jeremie Boga
Bilal Bafdili
Yaroslav Gladyshev
Tomas Suslov
John McGinn
Alberto Risco
Ola Solbakken
Rui Mendes
Alex Sola
Marco van Ginkel
Lucas Piazon
Alassane Plea
Diego Collado
Danilo
Amine Adli
Fares Chaibi
Florent Mollet
Lukas Daschner
Aleksei Batrakov
James Rodriguez
Rony Lopes
Alexis Claude-Maurice
Pablo Torre
Pelle Clement
Brenner
Arno Verschueren
Eliesse Ben Seghir
Anuar
Edouard Michut
Lechi Sadulaev
Sergi Darder
Kodai Sano
Isaac Palazon Camacho
Thomas Robinet
Lior Kasa
David Costa
Cole Palmer
Joao Graca
Olivier Dumont
Andre Franco
Franck Surdez
Levi Smans
Duk
Georginio Rutter
Hugo Vetlesen
Jean-Ricner Bellegarde
Javad Hosseinnezhad
Lucas Vera
Aleksandr Rudenko
Eberechi Eze
Yann Gboho
Martin Terrier
Mathieu Cafaro
Morten Thorsby
Abdelkahar Kadri
John Joe
Ezequiel Bullaude
Dejan Kulusevski
Omari Forson
Thiago Almada
Bruninho
Moi Gomez
Richard van der Venne
Abdou Harroui
Sofiane Diop
Ivan Oblyakov
Ivo Rodrigues
Angelo Fulgini
Leo Sauer
Theo Bongonda
Arthur
Daniel Borges
Soren Tengstedt
Bruno Xavier Almeida Costa
Fermin Lopez
Aliou Badara Balde
Arthur Atta
Malik Tillman
Nicolas Paz
Junior Messias
Pere Milla
Phil Foden
Giovani Lo Celso
Anton Zinkovskiy
Yunus Musah
Tom Reyners
Yassine Kechta
Thomas Muller
Omri Gandelman
Pablo Solari
Fisayo Dele-Bashiru
Alex Bermejo
Sergey Pinyaev
Sergio Bermejo
Jacob Bruun Larsen
Dani de Wit
Matheus Cunha
Kenneth Taylor
Noah Edjouma
Isa Sakamoto
Habib Diarra
Ludovic Blas
Moses David Cobnan
Nikola Storm
Vladimir Khubulov
Hamzat Ojediran
Bilal Brahimi
Joao Ferreira Barros
Adi Nalic
Jens Odgaard
Michel Vlap
Chris Fuhrich
Yann Karamoh
Ruslan Malinovskyi
Marcus Edwards
Steven Skrzybski
Miguel Reisinho
Lucas Fernandes
Vito van Crooij
Boulaye Dia
Conor Chaplin
Tjaronn Chery
Remi Oudin
Joe Willock
Florian Wirtz
Roberto Navarro
Dermane Karim
Zelimkhan Bakayev
Ewan Henderson
Sergi Canos
Gianluca Gaetano
Valenti­n Vada
Samuel Bastien
Peter Gonzalez
Takuro Kaneko
Jakob Breum
Moritz-Broni Kwarteng
Mikhail Ignatov
Gavi
Roberto Gonzalez
Kiernan Dewsbury-Hall
Benjamin Rollheiser
Pape Daouda Diongue
Miguel Baeza
Manuel Namora
Jean Matteo Bahoya
Rajiv van La Parra
Cesar Huerta
Brajan Gruda
Carlos Soler
Fabio Vieira
Pablo Sarabia
Julio Enciso
Petter Nosa Dahl
Geoffry Hairemans
Eren Dinkci
Nathan Tella
Marquinhos
Joao Carvalho
Nathan Broadhead
Patrick Joosten
Vasilije Adzic
Kamal Sowah
Paul Wanner
Rafael Barbosa
Tino Kadewere
Badredine Bouanani
Felix Lemarechal
Diego Lopez
Pablo Fornals
Joao Mendes
Fabio Miretti
Himad Abdelli
Rodrigo Zalazar
Jimmy Mari­n
Bernardo Silva
Ilias Akhomach
Dani Olmo
Argyrios Darelas
Darwin Machis
