Player
Mateo Flores
Lennard Hens
Orkun Kokcu
Ylber Ramadani
Aleksandr Kovalenko
Hidemasa Morita
Felix Nmecha
Philipp Sander
Kacper Urbanski
Jordan Veretout
Giuliano Simeone
Mohamed Bamba
Demir Ege Tiknaz
Stefan Loncar
Niklas Dorsch
Martin Payero
Yvan Neyou
Edu Exposito
Kristjan Asllani
Ibrahima Sissoko
Arthur Vermeeren
Urko Gonzalez
Rudy Matondo
Mikhail Shchetinin
Antoine Makoumbou
Adem Zorgane
Joao Gomes
Damian Rodriguez
Mathias Rasmussen
Anton Mukhin
Michel Ndary Adopo
Fredrik Hammer
Oleg Ivanov
Moumi Ngamaleu
Facundo Caseres
Sem Scheperman
Kevin Danois
Luca Mazzitelli
Bryan Heynen
Andreas Pereira
Rob Schoofs
Nikolas Sattlberger
Aleksandr Erokhin
Billy Gilmour
Fran Beltran
Adriano
Youssef Maleh
Renato Sanches
Patrik Hrosovsky
Andy Irving
Giovanni Fabbian
Atsuki Ito
Tika de Jonge
Artur
Yves Bissouma
Ze Carlos
Ivan Oleinikov
Julian Weigl
Daniel Parejo
Bilal El Khannouss
Tijjani Reijnders
Benjamin Bouchouari
Ryan Yates
Dogucan Haspolat
Vitinha
Glen Kamara
Sam Morsy
Jordan Holsgrove
Santiago Garcia
Luiz Henrique
Nahuel Estevez
Francis Abu
Senny Mayulu
Nikita Krivtsov
Luis Milla
Lazar Samardzic
Nicolas Gonzalez
Frenkie de Jong
Conor Gallagher
Joshua Kimmich
Kobbie Mainoo
Zaim Divanovic
Marco Ilaimaharitra
Benat Turrientes
Granit Xhaka
Toby Collyer
Rabby Nzingoula
Sotiris Alexandropoulos
Dmitrii Rybchinskii
Artem Karpukas
Cheikh Niasse
Christian Norgaard
Michel Costa
Max Balard
Jose Campana
Oscar Fraulo
Elisha Owusu
Lucas Bergvall
Youssouf Fofana
Pierre Lees-Melou
Jean-Eudes Aholou
Kevin Castano
Jackson Irvine
Oihan Sancet
Victor Sa
Mamadou Maiga
Rolando Mandragora
Zaydou Youssouf
Nabil Aberdin
Lorenzo Pellegrini
Lewis Ferguson
Pablo Ibanez
Mateo Kovacic
Xavi Simons
Seko Fofana
Elliot Anderson
Frank Onyeka
Enzo Le Fee
Hans Vanaken
Jordy Clasie
Andrey Santos
Ryan Sanusi
Manu Morlanes
Douglas Luiz
Mirko Topic
Olakunle Olusegun
Hans Nicolussi Caviglia
Idrissa Gana Gueye
Daniil Zorin
Sofiane Boufal
Ayyoub Bouaddi
Eduard Spertsyan
Mason Mount
Kirill Shchetinin
Miguel Menino
Thorir Johann Helgason
Vitor Gomes
Alberto Grassi
Ederson
Dmitri Barinov
Guido Rodriguez
Dmytro Ivanisenya
Veldin Hodza
Leonardo da Silva Lopes
Jerdy Schouten
Sidnei Tavares
Cheick Oumar Conde
Birger Verstraete
Jordy Bruijn
Niccolo Pisilli
Charles Vanhoutte
Ibrahim Sulemana
Oier Zarraga
Benat Prados
Aster Vranckx
Ryan Fosso
Kristijan Bistrovic
Mohamed Kaba
Kike Perez
Medon Berisha
Antoni Milambo
Orel Mangala
Andre Sousa
Vitaly Janelt
Corentin Tolisso
Azor Matusiwa
Johann Lepenant
Youri Tielemans
Aleksei Baranovskii
Iker Munoz
Alex Corredera
Ander Herrera
Sergi Roberto
Lars Mol
Luis Manuel Costa Silva
Boubakary Soumare
Pedro Santos
Seydouba Cisse
Pablo Marin
Jordhy Thompson
Harvey Elliott
Baptiste Santamaria
Nicolas Haas
Valentin Atangana Edoa
Alvaro Aguado
Jesse Bosch
Lennard Maloney
Ragnar Oratmangoen
Franco Orozco
Rocco Reitz
Espen van Ee
German Valera
Andrei Mostovoy
Ivan Ilic
Enzo Barrenechea
Denis Suarez
Pol Lozano
Daniil Shantalii
Tygo Land
Etienne Camara
Iver Fossum
Carel Eiting
Ismael Bennacer
Ivan Martin
Saminu Abdullahi
Vasco Sousa
Gustavo sa
Ismael Saibari
Yacine Adli
Jose Luis Garcia Vaya
Romano Schmid
