Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value
Gavin Bazunu,IRL,GK,Standard Liège,22,8,8,720,8.0,15,1.87,32,17,53.1,1,2,5,1,12.5,0,0,0,0,0.0,9.0
Arnaud Bodart,BEL,GK,Standard Liège,26,2,2,180,2.0,1,0.5,6,5,83.3,1,1,0,1,50.0,0,0,0,0,0.0,2.5
Sinan Bolat,TUR,GK,Westerlo,35,11,11,990,11.0,20,1.82,59,41,69.5,4,3,4,1,9.1,2,2,0,0,0.0,0.15
Colin Coosemans,BEL,GK,Anderlecht,31,38,38,3420,38.0,38,1.0,172,136,78.5,17,7,14,17,44.7,4,1,2,1,66.7,1.5
Jo Coppens,BEL,GK,Sint-Truiden,33,3,3,270,3.0,11,3.67,17,7,41.2,0,0,3,0,0.0,1,1,0,0,0.0,0.15
Ortwin De Wolf,BEL,GK,Mechelen,27,39,39,3510,39.0,54,1.38,180,131,72.8,12,14,13,10,25.6,6,5,1,0,16.7,1.5
Theo Defourny,BEL,GK,Charleroi,32,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,0.0,0.3
Maxime Delanghe,BEL,GK,Cercle Brugge,23,24,24,2151,23.9,33,1.38,97,66,68.0,6,10,8,7,29.2,3,2,1,0,33.3,1.2
Martin Delavallee,BEL,GK,Charleroi,20,18,18,1620,18.0,23,1.28,93,70,75.3,8,5,5,5,27.8,0,0,0,0,0.0,1.5
Julien Devriendt,BEL,GK,Dender,25,4,3,315,3.5,9,2.57,25,17,68.0,0,1,2,0,0.0,1,1,0,0,0.0,0.2
Guillaume Dietsch,FRA,GK,Dender,23,4,3,319,3.5,3,0.85,9,5,66.7,1,2,0,2,66.7,0,0,0,0,0.0,0.25
Matthieu Epolo,BEL,GK,Standard Liège,19,27,26,2385,26.5,26,0.98,112,88,77.7,5,12,9,11,42.3,2,1,1,0,50.0,4.0
Nick Gillekens,BEL,GK,Westerlo,29,1,1,90,1.0,3,3.0,11,8,72.7,0,0,1,0,0.0,0,0,0,0,0.0,0.25
Patrik Gunnarsson,ISL,GK,Kortrijk,23,11,11,922,10.2,16,1.56,37,21,56.8,3,2,6,1,9.1,0,0,0,0,0.0,1.0
Laurent Henkinet,BEL,GK,Standard Liège,31,4,4,315,3.5,1,0.29,13,12,92.3,3,1,0,2,50.0,0,0,0,0,0.0,0.25
Marko Ilic,SRB,GK,Kortrijk,26,5,5,425,4.7,9,1.91,28,19,67.9,0,1,4,0,0.0,0,0,0,0,0.0,0.7
Nordin Jackers,BEL,GK,Club Brugge,26,7,5,527,5.9,4,0.68,23,19,82.6,3,2,0,3,60.0,0,0,0,0,0.0,1.2
Andreas Jungdal,DEN,GK,Westerlo,22,17,17,1530,17.0,26,1.53,67,46,65.7,7,6,4,3,17.6,6,3,2,1,40.0,1.5
Mads Kikkenborg,DEN,GK,Anderlecht,24,2,2,180,2.0,2,1.0,10,8,80.0,1,0,1,0,0.0,0,0,0,0,0.0,0.4
Leo Kokubo,JPN,GK,Sint-Truiden,23,33,33,2970,33.0,55,1.67,132,88,65.9,10,11,12,5,15.2,11,10,1,0,9.1,3.0
Mohamed Kone,CIV,GK,Charleroi,22,21,21,1890,21.0,21,1.0,70,53,74.3,8,5,8,6,28.6,4,3,1,0,25.0,1.2
Senne Lammens,BEL,GK,Antwerp,22,40,40,3600,40.0,50,1.25,211,168,78.2,14,13,13,10,25.0,8,4,4,0,50.0,9.0
Tobe Leysen,BEL,GK,OH Leuven,22,38,38,3399,37.8,48,1.27,163,121,73.6,9,18,11,11,28.9,6,5,1,0,16.7,4.0
Davor Matijas,CRO,GK,Beerschot Wilrijk,24,13,12,1122,12.5,28,2.25,62,41,64.5,0,1,11,2,16.7,7,6,1,0,14.3,0.4
Simon Mignolet,BEL,GK,Club Brugge,36,35,35,3073,34.1,38,1.11,111,76,68.5,21,8,6,11,31.4,4,3,1,0,25.0,1.2
Anthony Moris,LUX,GK,Union SG,34,40,40,3600,40.0,28,0.7,113,86,76.1,24,11,5,20,50.0,3,1,1,1,50.0,1.8
Mike Penders,BEL,GK,Genk,19,21,21,1889,21.0,20,0.95,65,52,76.9,12,3,6,5,23.8,7,5,2,0,28.6,12.0
Lucas Pirard,BEL,GK,Kortrijk,29,9,7,693,7.7,12,1.56,35,24,68.6,3,2,2,2,28.6,1,1,0,0,0.0,0.25
Maxence Prevot,FRA,GK,OH Leuven,27,2,2,180,2.0,3,1.5,9,6,66.7,0,0,2,0,0.0,0,0,0,0,0.0,0.4
Davy Roef,BEL,GK,Gent,30,26,26,2340,26.0,30,1.15,145,116,80.0,9,11,6,11,42.3,1,1,0,0,0.0,2.5
Daniel Schmidt,JPN,GK,Gent,32,1,1,90,1.0,0,0.0,5,5,100.0,1,0,0,1,100.0,0,0,0,0,0.0,0.7
Nick Shinton,BEL,GK,Beerschot Wilrijk,23,21,21,1845,20.5,37,1.8,118,85,72.0,3,8,10,4,19.0,4,4,0,0,0.0,0.6
Hendrik Van Crombrugge,BEL,GK,Genk,31,19,19,1710,19.0,24,1.26,71,47,66.2,13,3,3,8,42.1,1,0,0,1,0.0,1.7
Koen Van Langendonck,BEL,GK,Westerlo,35,11,11,990,11.0,16,1.45,38,25,63.2,2,3,6,3,27.3,3,2,1,0,33.3,0.15
Tom Vandenberghe,BEL,GK,Gent,31,22,22,1980,22.0,55,2.5,118,67,56.78,4,2,16,3,0.14,5,3,1,1,25.0,0.4
Michael Verrips,NED,GK,Dender,27,34,34,2966,33.0,60,1.82,166,115,69.3,10,9,15,8,23.5,9,9,0,0,0.0,0.8
Warleson,BRA,GK,Cercle Brugge,27,13,12,1087,12.1,24,1.99,59,38,64.4,3,2,7,0,0.0,3,3,0,0,0.0,2.5
