Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Ahmed Abdullahi,NGA,FW,Gent,20,0.0,0,0,0,0,1,0,0,0,0,,,0
Francis Abu,GHA,MF,Cercle Brugge,23,20.3,3,1,1,23,24,0,12,18,53,,,0
Orseer Achihi,NGA,FW,Antwerp,17,0.3,1,0,0,2,0,0,0,0,0,,,0
Desmond Acquah,BEL,MF,Dender,22,3.4,1,0,0,5,5,2,6,3,10,,,0
Noah Adedeji,BEL,MF,Genk,19,9.7,0,0,0,6,18,4,25,14,13,,,0
Farouck Adekami,CIV,MF,Antwerp,17,1.4,1,0,0,1,1,0,1,0,1,,,0
Mohammed El Г‚dfaoui,BEL,MF,Gent,16,0.1,0,0,0,0,1,0,0,0,1,,,0
Adryelson,BRA,DF,Anderlecht,26,7.8,0,0,0,2,4,0,1,10,7,,,0
Lawrence Agyekum,GHA,MF,Cercle Brugge,20,26.7,2,0,0,23,32,2,29,40,51,,,0
Takahiro Akimoto,JPN,"DF,MF",OH Leuven,26,22.5,6,0,0,18,22,0,12,25,38,,,0
Ali Akman,TUR,FW,Dender,22,0.5,0,0,0,0,2,0,1,0,3,,,0
Josimar Alcocer,CRC,MF,Westerlo,20,19.6,6,0,0,20,27,1,22,20,49,,,0
Toby Alderweireld,BEL,DF,Antwerp,35,27.0,6,0,0,16,11,1,8,26,10,,,0
Ryan Alebiosu,NGA,"MF,DF",Kortrijk,22,6.8,1,0,0,6,0,1,29,7,6,,,0
Sotiris Alexandropoulos,GRE,MF,Standard LiГЁge,22,12.4,7,1,1,23,18,0,10,14,30,,,0
Arthur Alexis,BEL,MF,Sint-Truiden,18,0.1,0,0,0,0,1,0,1,0,1,,,0
Thierry Ambrose,GLP,"FW,MF",Kortrijk,27,23.4,5,0,0,14,28,21,31,3,8,,,0
Francis Amuzu,BEL,"FW,MF",Anderlecht,24,7.9,1,0,0,6,14,6,55,3,8,,,0
Frederic Ananou,TOG,"MF,DF",Sint-Truiden,26,2.2,0,0,0,2,0,1,1,1,6,,,0
Stelios Andreou,CYP,DF,Charleroi,22,34.0,5,1,1,15,7,1,5,43,26,,,0
Nilson Angulo,ECU,"MF,FW",Anderlecht,21,13.0,1,0,0,27,26,4,39,7,29,,,0
Bill Antonio,ZIM,"MF,FW",Mechelen,21,6.5,1,0,0,10,5,3,19,5,5,,,0
Tiago AraГєjo,POR,"MF,DF",Gent,23,14.8,3,0,0,10,10,2,74,3,18,,,1
Kristian Arnstad,NOR,MF,Anderlecht,20,0.3,0,0,0,0,0,0,3,1,0,,,0
Tolu Arokodare,NGA,FW,Genk,23,34.0,2,0,0,42,40,19,6,5,10,,,0
Raymond Asante,GHA,FW,Charleroi,20,1.7,0,0,0,1,4,0,3,1,0,,,0
Majeed Ashimeru,GHA,MF,Anderlecht,26,6.5,4,0,0,14,21,1,0,7,13,,,0
Steeven Assengue,BEL,DF,Standard LiГЁge,19,0.5,0,0,0,0,1,1,0,1,1,,,0
Ludwig Augustinsson,SWE,DF,Anderlecht,30,14.4,1,0,0,18,6,0,66,21,24,,,0
Felipe Augusto,BRA,FW,Cercle Brugge,20,17.4,1,0,0,33,26,15,15,6,10,,,0
Yassine Azzouz,MAR,MF,OH Leuven,17,0.1,0,0,0,1,0,0,0,0,0,,,0
Muhammed Badamosi,GAM,FW,Standard LiГЁge,25,1.3,0,0,0,7,5,1,2,0,2,,,0
Youssouph Badji,SEN,FW,Charleroi,22,2.3,0,0,0,2,2,0,0,0,1,,,0
Bilal Bafdili,BEL,MF,Mechelen,19,11.6,4,0,0,15,8,2,35,4,9,,,0
Michel-Ange Balikwisha,COD,MF,Antwerp,23,12.1,1,0,0,14,19,5,38,8,18,,,0
William Balikwisha,COD,"MF,FW",OH Leuven,25,16.3,3,1,0,13,11,10,42,20,16,,,0
Sacha Banse,BFA,MF,Standard LiГЁge,23,0.4,0,0,0,3,0,0,1,0,1,,,0
Ezechiel Banzuzi,NED,MF,OH Leuven,19,27.6,10,1,1,51,45,0,18,18,51,,,0
Joselpho Barnes,GHA,FW,Sint-Truiden,22,1.3,0,0,0,1,0,1,0,0,0,,,0
