Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Ahmed Abdullahi,NGA,MF,Gent,20,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Francis Abu,GHA,MF,Cercle Brugge,23,29,17,1659,18.4,0,4,4,0,0,0,1,0,0.0,0.22,0.22,0.0,0.22,1.8,22.0,2.0,9.1,1.09,0.1,0.0,0.0,1.0,23.0,24.0,0.0,12.0,18.0,53.0,0.0
Orseer Achihi,NGA,FW,Antwerp,17,1,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.21,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Desmond Acquah,BEL,"MF,DF",Dender,22,13,0,231,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,1.0,25.0,1.17,0.29,0.0,0.0,0.0,5.0,5.0,2.0,6.0,3.0,10.0,0.0
Noah Adedeji,BEL,"FW,MF",Genk,19,23,5,525,5.8,3,3,6,3,0,0,0,0,0.51,0.51,1.03,0.51,1.03,4.5,27.0,12.0,44.4,2.79,1.24,0.15,0.33,0.0,6.0,18.0,4.0,25.0,14.0,13.0,0.0
Farouck Adekami,CIV,"FW,MF",Antwerp,17,3,1,129,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,5.0,2.0,40.0,3.49,1.4,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Adryelson,BRA,DF,Anderlecht,26,7,6,542,6.0,1,0,1,1,0,0,0,0,0.17,0.0,0.17,0.17,0.17,3.5,6.0,3.0,50.0,0.76,0.38,0.17,0.33,0.0,2.0,4.0,0.0,1.0,10.0,7.0,0.0
Lawrence Agyekum,GHA,MF,Cercle Brugge,20,27,23,1963,21.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2.5,40.0,12.0,30.0,1.5,0.45,0.05,0.17,0.0,23.0,32.0,2.0,29.0,40.0,51.0,0.0
Takahiro Akimoto,JPN,DF,OH Leuven,26,25,23,2027,22.5,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,1.5,15.0,2.0,13.3,0.67,0.09,0.0,0.0,0.0,18.0,22.0,0.0,12.0,25.0,38.0,0.0
Ali Akman,TUR,"FW,MF",Dender,22,4,0,44,0.5,1,0,1,1,0,0,0,0,2.05,0.0,2.05,2.05,2.05,0.35,1.0,1.0,100.0,2.05,2.05,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0
Josimar Alcocer,CRC,"FW,MF",Westerlo,20,24,12,1309,14.5,1,0,1,1,0,0,6,0,0.07,0.0,0.07,0.07,0.07,2.2,31.0,12.0,38.7,1.58,0.61,0.03,0.08,0.0,20.0,27.0,1.0,22.0,20.0,49.0,0.0
Toby Alderweireld,BEL,DF,Antwerp,35,27,27,2425,26.9,3,2,5,3,0,0,6,0,0.11,0.07,0.19,0.11,0.19,2.0,27.0,7.0,25.9,1.0,0.26,0.07,0.29,0.0,16.0,11.0,1.0,8.0,26.0,10.0,0.0
Ryan Alebiosu,ENG,DF,Kortrijk,22,13,7,610,6.8,0,2,2,0,0,0,1,0,0.0,0.3,0.3,0.0,0.3,0.5,4.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,6.0,0.0,1.0,29.0,7.0,6.0,0.0
Sotiris Alexandropoulos,GRE,MF,Standard Liège,22,26,6,687,7.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,2.5,16.0,1.0,6.3,1.29,0.08,0.0,0.0,1.0,23.0,18.0,0.0,10.0,14.0,30.0,0.0
Arthur Alexis,BEL,MF,Sint-Truiden,18,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
