Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Ahmed Abdullahi,NGA,FW,Gent,20,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Francis Abu,GHA,MF,Cercle Brugge,23,20.3,0,22,2,9.1,1.09,0.1,0.0,0.0,0,0
Orseer Achihi,NGA,FW,Antwerp,17,0.3,0,1,0,0.0,3.21,0.0,0.0,0.0,0,0
Desmond Acquah,BEL,MF,Dender,22,3.4,0,4,1,25.0,1.17,0.29,0.0,0.0,0,0
Noah Adedeji,BEL,MF,Genk,19,9.7,4,27,12,44.4,2.79,1.24,0.15,0.33,0,0
Farouck Adekami,CIV,MF,Antwerp,17,1.4,0,5,2,40.0,3.49,1.4,0.0,0.0,0,0
Mohammed El Г‚dfaoui,BEL,MF,Gent,16,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Adryelson,BRA,DF,Anderlecht,26,7.8,1,6,3,50.0,0.76,0.38,0.17,0.33,0,0
Lawrence Agyekum,GHA,MF,Cercle Brugge,20,26.7,2,40,12,30.0,1.5,0.45,0.05,0.17,0,0
Takahiro Akimoto,JPN,"DF,MF",OH Leuven,26,22.5,0,15,2,13.3,0.67,0.09,0.0,0.0,0,0
Ali Akman,TUR,FW,Dender,22,0.5,1,1,1,100.0,2.05,2.05,1.0,1.0,0,0
Josimar Alcocer,CRC,MF,Westerlo,20,19.6,1,31,12,38.7,1.58,0.61,0.03,0.08,0,0
Toby Alderweireld,BEL,DF,Antwerp,35,27.0,2,27,7,25.9,1.0,0.26,0.07,0.29,0,0
Ryan Alebiosu,NGA,"MF,DF",Kortrijk,22,6.8,0,4,0,0.0,0.59,0.0,0.0,0.0,0,0
Sotiris Alexandropoulos,GRE,MF,Standard LiГЁge,22,12.4,0,16,1,6.3,1.29,0.08,0.0,0.0,0,0
Arthur Alexis,BEL,MF,Sint-Truiden,18,0.1,0,1,0,0.0,7.5,0.0,0.0,0.0,0,0
Thierry Ambrose,GLP,"FW,MF",Kortrijk,27,23.4,6,58,20,34.5,2.48,0.86,0.09,0.25,1,1
Francis Amuzu,BEL,"FW,MF",Anderlecht,24,7.9,2,18,6,33.3,2.27,0.76,0.11,0.33,0,0
Frederic Ananou,TOG,"MF,DF",Sint-Truiden,26,2.2,0,1,0,0.0,0.45,0.0,0.0,0.0,0,0
Stelios Andreou,CYP,DF,Charleroi,22,34.0,1,11,3,27.3,0.32,0.09,0.09,0.33,0,0
Nilson Angulo,ECU,"MF,FW",Anderlecht,21,13.0,1,21,3,14.3,1.61,0.23,0.05,0.33,0,0
Bill Antonio,ZIM,"MF,FW",Mechelen,21,6.5,1,11,4,36.4,1.7,0.62,0.09,0.25,0,0
Tiago AraГєjo,POR,"MF,DF",Gent,23,14.8,0,27,6,22.2,1.83,0.41,0.0,0.0,0,0
Kristian Arnstad,NOR,MF,Anderlecht,20,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Tolu Arokodare,NGA,FW,Genk,23,34.0,21,157,51,32.5,4.62,1.5,0.13,0.41,0,2
Raymond Asante,GHA,FW,Charleroi,20,1.7,0,4,0,0.0,2.34,0.0,0.0,0.0,0,0
Majeed Ashimeru,GHA,MF,Anderlecht,26,6.5,1,9,2,22.2,1.38,0.31,0.11,0.5,0,0
Steeven Assengue,BEL,DF,Standard LiГЁge,19,0.5,0,1,0,0.0,2.0,0.0,0.0,0.0,0,0
Ludwig Augustinsson,SWE,DF,Anderlecht,30,14.4,1,8,2,25.0,0.56,0.14,0.13,0.5,0,0
Felipe Augusto,BRA,FW,Cercle Brugge,20,17.4,2,51,21,41.2,2.93,1.21,0.04,0.1,0,1
Yassine Azzouz,MAR,MF,OH Leuven,17,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Muhammed Badamosi,GAM,FW,Standard LiГЁge,25,1.3,0,4,3,75.0,3.03,2.27,0.0,0.0,0,0
Youssouph Badji,SEN,FW,Charleroi,22,2.3,0,10,6,60.0,4.39,2.63,0.0,0.0,0,0
Bilal Bafdili,BEL,MF,Mechelen,19,11.6,2,16,4,25.0,1.38,0.35,0.13,0.5,0,0
Michel-Ange Balikwisha,COD,MF,Antwerp,23,12.1,4,14,6,42.9,1.16,0.5,0.29,0.67,0,0
William Balikwisha,COD,"MF,FW",OH Leuven,25,16.3,2,29,8,27.6,1.78,0.49,0.07,0.25,0,0
Sacha Banse,BFA,MF,Standard LiГЁge,23,0.4,0,2,0,0.0,4.5,0.0,0.0,0.0,0,0
Ezechiel Banzuzi,NED,MF,OH Leuven,19,27.6,2,43,14,32.6,1.56,0.51,0.05,0.14,0,0
Joselpho Barnes,GHA,FW,Sint-Truiden,22,1.3,0,3,1,33.3,2.27,0.76,0.0,0.0,0,0
Jelle Bataille,BEL,"DF,MF",Antwerp,25,22.0,0,8,2,25.0,0.36,0.09,0.0,0.0,0,0
David Bates,SCO,DF,Standard LiГЁge,27,8.6,0,3,0,0.0,0.35,0.0,0.0,0.0,0,0
Emin Bayram,TUR,DF,Westerlo,21,24.5,1,11,4,36.4,0.45,0.16,0.09,0.25,0,0
Gavin Bazunu,IRL,GK,Standard LiГЁge,22,8.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Zineddine Belaid,ALG,DF,Sint-Truiden,25,10.1,0,6,2,33.3,0.59,0.2,0.0,0.0,0,0
Rafik Belghali,ALG,"MF,DF",Mechelen,22,26.7,1,39,14,35.9,1.46,0.52,0.03,0.07,0,0
Quentin Benaets,BEL,FW,Charleroi,20,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Mauricio BenГ­tez,ARG,MF,Antwerp,20,4.3,0,3,1,33.3,0.69,0.23,0.0,0.0,0,0
Soufiane Benjdida,MAR,FW,Standard LiГЁge,22,6.3,2,8,4,50.0,1.27,0.64,0.0,0.0,2,2
Antoine Bernier,BEL,MF,Charleroi,26,25.8,5,47,11,23.4,1.82,0.43,0.11,0.45,0,0
Adriano Bertaccini,BEL,"FW,MF",Sint-Truiden,23,30.6,21,113,50,44.2,3.7,1.64,0.17,0.38,2,2
Mohamed Berte,BEL,FW,Dender,22,19.8,9,40,18,45.0,2.02,0.91,0.23,0.5,0,0
MickaГ«l Biron,MTQ,"FW,MF",OH Leuven,26,1.4,0,1,1,100.0,0.74,0.74,0.0,0.0,0,0
Arnaud Bodart,BEL,GK,Standard LiГЁge,26,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Sinan Bolat,TUR,GK,Westerlo,35,11.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Boli Bolingoli-Mbombo,BEL,"MF,DF",Standard LiГЁge,29,8.6,0,4,1,25.0,0.46,0.12,0.0,0.0,0,0
Christopher Bonsu-Baah,GHA,"MF,FW",Genk,19,28.4,3,49,13,26.5,1.73,0.46,0.06,0.23,0,0
Jordy Bos,AUS,"MF,DF",Westerlo,21,11.4,4,31,12,38.7,2.71,1.05,0.13,0.33,0,0
Sofiane Boufal,MAR,MF,Union SG,30,7.5,0,13,2,15.4,1.73,0.27,0.0,0.0,0,0
Amine Boukamir,MAR,MF,Charleroi,17,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Rosen Bozhinov,BUL,DF,Antwerp,19,1.8,0,1,1,100.0,0.57,0.57,0.0,0.0,0,0
Bilal Brahimi,ALG,"FW,MF",Sint-Truiden,24,19.9,2,65,22,33.8,3.27,1.11,0.03,0.09,0,0
Archie Brown,ENG,"DF,MF",Gent,22,29.3,1,25,9,36.0,0.85,0.31,0.04,0.11,0,0
Bruninho,BRA,MF,Cercle Brugge,21,5.7,1,10,2,20.0,1.74,0.35,0.1,0.5,0,0
Paris Brunner,GER,FW,Cercle Brugge,18,5.9,3,16,6,37.5,2.72,1.02,0.13,0.33,1,1
Massimo Bruno,BEL,MF,Kortrijk,30,6.5,0,17,5,29.4,2.62,0.77,0.0,0.0,0,0
Marko Bulat,CRO,"MF,FW",Standard LiГЁge,22,18.1,1,28,10,35.7,1.55,0.55,0.04,0.1,0,0
Christian Burgess,ENG,DF,Union SG,32,30.0,1,11,3,27.3,0.37,0.1,0.09,0.33,0,0
Welat Cagro,BEL,MF,Beerschot Wilrijk,25,10.6,2,11,2,18.2,1.03,0.19,0.09,0.5,1,2
Alexandro Calut,BEL,"DF,MF",Standard LiГЁge,21,3.3,0,2,0,0.0,0.6,0.0,0.0,0.0,0,0
Etienne Camara,FRA,MF,Charleroi,21,16.7,0,9,2,22.2,0.54,0.12,0.0,0.0,0,0
Ilay Camara,SEN,MF,Standard LiГЁge,21,27.5,0,30,9,30.0,1.09,0.33,0.0,0.0,0,0
Shandre Campbell,RSA,MF,Club Brugge,19,0.2,0,4,0,0.0,25.71,0.0,0.0,0.0,0,0
