Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value
Adriel,BRA,GK,Bahia,23,4,3,334,3.7,6,1.62,13,7,53.8,1,1,1,0,0.0,0,0,0,0,0.0,0.2
Alisson,BRA,GK,CriciГєma,28,6,4,421,4.7,7,1.5,25,18,72.0,1,2,1,0,0.0,0,0,0,0,0.0,0.1
Anderson,BRA,GK,Cruzeiro,25,17,17,1530,17.0,22,1.29,72,51,70.8,8,2,7,6,35.3,1,1,0,0,0.0,0.2
Anthoni,BRA,GK,Internacional,22,2,2,180,2.0,1,0.5,3,3,66.7,1,1,0,1,50.0,1,0,1,0,100.0,0.1
Lucas Arcanjo,BRA,GK,VitГіria,25,37,37,3330,37.0,52,1.41,163,112,69.9,12,8,17,8,21.6,3,3,0,0,0.0,0.0
Muriel Becker,BRA,GK,VitГіria,36,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,0.0,0.25
Bento,BRA,GK,Athletico Paranaense,24,7,7,630,7.0,4,0.57,22,18,81.8,4,1,2,4,57.1,1,0,1,0,100.0,6.0
Rafael Cabral,BRA,GK,GrГЄmio,33,6,5,457,5.1,8,1.58,22,15,68.2,1,0,4,1,20.0,1,1,0,0,0.0,0.6
Caique,BRA,GK,GrГЄmio,26,6,5,488,5.4,10,1.84,27,18,66.7,2,0,3,0,0.0,1,1,0,0,0.0,0.0
Cassio,BRA,GK,Corinthians,36,24,24,2160,24.0,22,0.92,114,93,81.58,6,9,9,7,0.29,1,1,0,0,0.0,1.2
Mateus Claus,BRA,GK,Juventude,29,5,4,406,4.5,10,2.22,32,22,68.8,2,1,1,0,0.0,0,0,0,0,0.0,0.7
Matheus Cunha,BRA,GK,Flamengo,22,3,3,270,3.0,3,1.0,12,8,75.0,2,0,1,2,66.7,0,0,0,0,0.0,0.15
Gabriel Delfim,BRA,GK,AtlГ©tico Mineiro,21,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,0.0,0.1
Matheus Donelli,BRA,GK,Corinthians,21,7,7,630,7.0,12,1.71,38,28,71.1,1,2,4,0,0.0,2,1,1,0,50.0,2.5
Vitor Eudes,BRA,GK,Fluminense,25,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,0.0,0.05
Everson,BRA,GK,AtlГ©tico Mineiro,33,25,25,2242,24.9,31,1.24,92,66,70.7,6,12,7,8,32.0,5,4,1,0,20.0,2.5
Fabio,BRA,GK,Fluminense,43,37,37,3330,37.0,37,1.0,163,130,79.8,12,10,15,13,35.1,4,4,0,0,0.0,0.25
Marcos Felipe,BRA,GK,Bahia,27,34,34,2996,33.3,43,1.29,145,105,71.7,13,7,14,9,26.5,3,2,1,0,33.3,1.5
Danilo Fernandes,BRA,GK,Bahia,35,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,0.0,0.5
Gatito Fernandez,PAR,GK,Botafogo (RJ),35,4,4,360,4.0,4,1.0,15,11,73.3,3,0,1,2,50.0,0,0,0,0,0.0,0.7
Gabriel,BRA,GK,Juventude,31,34,34,3014,33.5,50,1.49,146,107,71.9,9,11,14,6,17.6,11,9,2,0,18.2,1.5
Gustavo,BRA,GK,CriciГєma,30,34,34,2997,33.3,54,1.62,168,119,69.6,8,9,17,6,17.6,5,3,2,0,40.0,0.3
Jandrei,BRA,GK,SГЈo Paulo,30,13,13,1170,13.0,16,1.23,56,41,73.2,7,2,4,4,30.8,1,1,0,0,0.0,1.0
Leo Jardim,BRA,GK,Vasco da Gama,28,38,38,3420,38.0,56,1.47,204,148,72.5,14,8,16,8,21.1,0,0,0,0,0.0,3.0
John,BRA,GK,Botafogo (RJ),27,34,34,3060,34.0,25,0.74,112,92,82.1,20,10,4,16,47.1,6,5,1,0,16.7,1.0
Leonardo Linck,BRA,GK,Athletico Paranaense,22,14,14,1223,13.6,21,1.55,65,44,67.7,3,4,7,1,7.1,0,0,0,0,0.0,0.1
Marcelo Lomba,BRA,GK,Palmeiras,37,1,1,90,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,0.0,0.4
Lucao,BRA,GK,RB Bragantino,22,8,6,631,7.0,9,1.28,32,23,71.9,1,2,3,1,16.7,0,0,0,0,0.0,1.5
Matheus Mendes,BRA,GK,AtlГ©tico Mineiro,24,13,12,1087,12.1,22,1.82,65,45,67.7,5,2,5,1,8.3,2,1,1,0,50.0,0.25
Carlos Miguel,BRA,GK,Corinthians,25,6,6,540,6.0,7,1.17,31,25,80.6,1,3,2,2,33.3,1,1,0,0,0.0,0.7
Mycael,BRA,GK,Athletico Paranaense,19,19,17,1565,17.4,21,1.21,81,61,74.1,4,4,9,4,23.5,2,0,2,0,100.0,0.1
