Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Abner,BRA,DF,Juventude,19,1.2,1,0,0,1,1,0,0,2,0,,,0
NicolГЎs Acevedo,URU,DF,Bahia,24,3.0,2,0,0,8,5,0,2,3,3,,,0
Luiz Adriano,BRA,FW,VitГіria,36,2.2,1,0,0,4,5,2,0,0,0,,,0
Adriel,BRA,GK,Bahia,23,3.7,1,0,0,0,0,0,0,0,0,,,0
Adryelson,BRA,DF,Botafogo (RJ),25,6.4,0,0,0,2,0,0,1,10,3,,,0
Adson,BRA,MF,Vasco da Gama,23,13.6,2,0,0,7,18,0,23,7,20,,,0
Braian Aguirre,ARG,DF,Internacional,23,1.0,0,0,0,1,1,0,4,1,3,,,0
Lucas Alario,ARG,FW,Internacional,31,7.1,4,0,0,22,6,9,2,1,1,,,0
Carlos Alberto,BRA,FW,Botafogo (RJ),21,2.4,0,0,0,3,2,0,2,0,2,,,0
Yuri Alberto,BRA,FW,Corinthians,22,24.4,6,1,0,34,38,17,9,7,5,,,0
Carlos Alcaraz,ARG,MF,Flamengo,21,8.3,1,1,0,15,7,1,30,6,11,,,0
Max Alegria,BRA,MF,Vasco da Gama,20,0.9,0,0,0,0,1,0,1,1,0,,,0
Alerrandro,BRA,FW,VitГіria,24,26.5,4,0,0,27,46,4,7,14,16,,,0
Caio Alexandre,BRA,MF,Bahia,24,30.8,6,0,0,55,50,3,29,8,32,,,0
Matheus Alexandre,BRA,DF,CuiabГЎ,24,27.4,6,0,0,26,10,0,47,37,41,,,0
Alexsander,BRA,MF,Fluminense,20,8.8,4,0,0,20,20,0,7,8,12,,,0
Alisson,BRA,GK,CriciГєma,28,4.7,2,0,0,0,1,0,0,0,0,,,0
Alisson,BRA,MF,AtlГ©tico Mineiro,18,9.9,1,0,0,17,28,1,42,4,13,,,0
Alisson,BRA,MF,SГЈo Paulo,30,17.9,5,0,0,26,33,0,17,16,22,,,0
Allan,BRA,MF,Flamengo,26,15.7,7,1,1,30,15,0,4,24,14,,,0
Allan,BRA,MF,Botafogo (RJ),33,3.5,2,0,0,9,6,0,2,5,7,,,0
Allano,BRA,"MF,FW",CriciГєma,28,14.4,10,2,2,35,45,7,20,4,20,,,0
Thiago Almada,ARG,"MF,FW",Botafogo (RJ),22,13.9,1,0,0,5,16,1,58,6,6,,,0
JГєnior Alonso,PAR,DF,AtlГ©tico Mineiro,30,11.6,2,0,0,16,0,0,6,15,12,,,0
Anderson,BRA,GK,Cruzeiro,25,17.0,2,0,0,0,2,0,0,0,0,,,0
Felipe Anderson,BRA,MF,Palmeiras,30,14.6,0,0,0,10,12,1,44,13,24,,,0
Kervin Andrade,VEN,MF,Fortaleza,18,5.4,2,0,0,8,9,0,17,4,2,,,0
Rodrigo Andrade,BRA,"MF,FW",VitГіria,26,4.3,0,0,0,6,4,0,4,3,5,,,0
AndrГ©,BRA,MF,Fluminense,22,11.9,5,0,0,17,26,0,0,14,16,,,0
JosГ© AndrГ©s MartГ­nez,VEN,MF,Corinthians,29,7.0,5,1,0,14,8,0,2,12,11,,,0
Wilker ГЃngel,VEN,DF,CriciГєma,30,10.9,3,0,0,18,3,2,0,13,6,,,0
Anthoni,BRA,GK,Internacional,22,2.0,1,0,0,0,0,0,0,0,0,,,0
Marcos AntГґnio,BRA,MF,SГЈo Paulo,23,9.4,1,0,0,12,10,0,2,5,6,,,0
Guilherme Arana,BRA,"MF,DF",AtlГ©tico Mineiro,26,14.5,5,0,0,14,13,2,71,18,15,,,0
Charles ArГЎnguiz,CHI,MF,Internacional,34,3.2,2,0,0,12,3,0,1,1,4,,,0
Luiz AraГєjo,BRA,MF,Flamengo,27,17.4,3,0,0,24,30,2,88,17,26,,,0
Matheus AraГєjo,BRA,MF,Corinthians,21,0.5,0,0,0,0,1,0,0,0,1,,,0
Michel Araujo,URU,"MF,DF",SГЈo Paulo,27,9.5,4,0,0,15,15,0,23,7,19,,,0
Alexander Aravena,CHI,MF,GrГЄmio,21,8.6,0,0,0,2,15,2,11,2,3,,,0
Robert Arboleda,ECU,DF,SГЈo Paulo,32,25.1,3,0,0,20,11,2,1,21,22,,,0
Lucas Arcanjo,BRA,GK,VitГіria,25,37.0,4,0,0,0,8,0,0,0,0,,,1
Matias Arezo,URU,FW,GrГЄmio,21,1.2,0,0,0,5,4,1,0,0,2,,,0
Jhon Arias,COL,MF,Fluminense,26,26.4,6,0,0,32,62,6,120,13,27,,,0
Santiago Arias,COL,DF,Bahia,32,20.9,2,1,0,26,24,4,68,23,33,,,0
Arthur,BRA,FW,Cruzeiro,25,14.1,1,0,0,23,16,12,35,2,10,,,0
Arthur,BRA,FW,CriciГєma,31,18.6,4,0,0,28,30,16,4,1,2,,,0
Arthur,BRA,FW,RB Bragantino,20,1.9,1,0,0,2,2,0,0,0,0,,,0
Filipe Augusto,BRA,MF,CuiabГЎ,30,9.4,6,0,0,24,6,0,2,10,9,,,0
Renato Augusto,BRA,MF,Fluminense,35,4.9,0,0,0,8,4,4,5,4,5,,,0
Yarlen Augusto,BRA,FW,Botafogo (RJ),17,0.9,1,0,0,2,0,0,0,1,2,,,0
Pablo Baianinho,BRA,MF,VitГіria,20,0.4,1,0,0,3,2,0,6,0,0,,,0
Gabriel Baralhas,BRA,MF,AtlГ©tico Goianiense,25,27.2,9,0,0,30,34,2,12,44,34,,,0
Danilo Barbosa,BRA,MF,Botafogo (RJ),27,12.8,4,0,0,19,17,0,0,26,23,,,0
Diogo Barbosa,BRA,DF,Fluminense,31,20.5,6,0,0,19,27,0,43,18,27,,,0
Gabriel Barbosa,BRA,"FW,MF",Flamengo,27,8.4,2,0,0,2,6,10,10,0,5,,,0
Lucas Barbosa,BRA,MF,Juventude,22,27.1,12,1,0,61,33,6,56,18,40,,,0
Alexander Barboza,ARG,DF,Botafogo (RJ),28,22.6,11,2,1,42,5,1,4,32,18,,,0
Baltasar Barcia,URU,MF,CriciГєma,22,0.3,0,0,0,3,0,0,1,1,3,,,0
ГЃlvaro Barreal,ARG,"MF,FW",Cruzeiro,23,16.5,6,0,0,23,23,2,77,7,25,,,0
Barreto,BRA,MF,CriciГєma,28,25.3,5,0,0,49,24,2,6,16,42,,,0
Gabriel Barros,BRA,MF,AtlГ©tico Goianiense,22,0.9,2,1,1,4,1,0,2,1,1,,,0
Bastos,ANG,DF,Botafogo (RJ),32,29.2,6,0,0,35,7,2,4,31,26,,,0
Rodrigo Battaglia,ARG,"DF,MF",AtlГ©tico Mineiro,32,25.4,7,2,2,31,14,0,1,16,21,,,0
JosГ© Luis RodrГ­guez Bebanz,URU,"DF,MF",Vasco da Gama,26,12.5,1,0,0,6,7,1,65,12,14,,,0
Muriel Becker,BRA,GK,VitГіria,36,1.0,2,0,0,0,1,0,0,0,0,,,0
