Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Abner,BRA,DF,Juventude,19,3,1,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,2,0,0
Nicolas Acevedo,URU,"MF,DF",Bahia,24,8,1,268,3.0,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,5,19,8,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,5.0,0,8,5,0,2,3,3,0
Luiz Adriano,BRA,FW,Vitoria,36,8,1,202,2.2,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,1,4,9,0.0,0.45,0.45,0.0,0.45,0.06,0.04,0.09,0.06,0.09,0.425,0,4,5,2,0,0,0,0
Adriel,BRA,GK,Bahia,23,4,3,334,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0,0,0,0,0,0
Adryelson,BRA,DF,Botafogo (RJ),25,7,6,580,6.4,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.5,2,22,0,0.16,0.0,0.16,0.16,0.16,0.03,0.05,0.08,0.03,0.08,3.0,0,2,0,0,1,10,3,0
Adson,BRA,FW,Vasco da Gama,23,20,14,1224,13.6,2,1,3,2,0,0,2,0,1.5,1.5,2.6,4.1,42,72,80,0.15,0.07,0.22,0.15,0.22,0.11,0.19,0.3,0.11,0.3,5.0,0,7,18,0,23,7,20,0
Braian Aguirre,ARG,DF,Internacional,23,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0,7,4,0.0,0.0,0.0,0.0,0.0,0.06,0.31,0.37,0.06,0.37,2.8,0,1,1,0,4,1,3,0
Lucas Alario,ARG,"FW,MF",Internacional,31,15,6,638,7.1,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,0,7,22,0.0,0.0,0.0,0.0,0.0,0.27,0.02,0.29,0.27,0.29,5.5,0,22,6,9,2,1,1,0
Carlos Alberto,BRA,FW,Botafogo (RJ),21,7,2,212,2.4,1,0,1,1,0,0,0,0,1.6,1.6,0.1,1.7,7,4,7,0.42,0.0,0.42,0.42,0.42,0.67,0.05,0.72,0.67,0.72,0.25,0,3,2,0,2,0,2,0
Yuri Alberto,BRA,FW,Corinthians,22,29,25,2197,24.4,15,4,19,12,3,3,6,1,10.7,8.3,1.9,10.2,52,31,172,0.61,0.16,0.78,0.49,0.66,0.44,0.08,0.51,0.34,0.42,16.0,0,34,38,17,9,7,5,0
