Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Abner,BRA,DF,Juventude,19,1.2,0,0,0,,0.00,0.00,,,0,0
NicolГЎs Acevedo,URU,DF,Bahia,24,3.0,0,5,2,40.0,1.68,0.67,0.00,0.00,0,0
Luiz Adriano,BRA,FW,VitГіria,36,2.2,0,2,1,50.0,0.89,0.45,0.00,0.00,0,0
Adriel,BRA,GK,Bahia,23,3.7,0,0,0,,0.00,0.00,,,0,0
Adryelson,BRA,DF,Botafogo (RJ),25,6.4,1,6,1,16.7,0.93,0.16,0.17,1.00,0,0
Adson,BRA,MF,Vasco da Gama,23,13.6,2,24,9,37.5,1.76,0.66,0.08,0.22,0,0
Braian Aguirre,ARG,DF,Internacional,23,1.0,0,2,0,0.0,2.00,0.00,0.00,,0,0
Lucas Alario,ARG,FW,Internacional,31,7.1,0,13,2,15.4,1.83,0.28,0.00,0.00,0,0
Carlos Alberto,BRA,FW,Botafogo (RJ),21,2.4,1,8,3,37.5,3.40,1.27,0.13,0.33,0,0
Yuri Alberto,BRA,FW,Corinthians,22,24.4,15,82,37,45.1,3.36,1.52,0.15,0.32,3,3
Carlos Alcaraz,ARG,MF,Flamengo,21,8.3,2,24,8,33.3,2.88,0.96,0.00,0.00,2,2
Max Alegria,BRA,MF,Vasco da Gama,20,0.9,0,1,0,0.0,1.14,0.00,0.00,,0,0
Alerrandro,BRA,FW,VitГіria,24,26.5,15,66,31,47.0,2.49,1.17,0.17,0.35,4,4
Caio Alexandre,BRA,MF,Bahia,24,30.8,2,22,4,18.2,0.71,0.13,0.09,0.50,0,0
Matheus Alexandre,BRA,DF,CuiabГЎ,24,27.4,1,7,2,28.6,0.26,0.07,0.14,0.50,0,0
Alexsander,BRA,MF,Fluminense,20,8.8,0,13,3,23.1,1.48,0.34,0.00,0.00,0,0
Alisson,BRA,GK,CriciГєma,28,4.7,0,0,0,,0.00,0.00,,,0,0
Alisson,BRA,MF,AtlГ©tico Mineiro,18,9.9,1,30,9,30.0,3.03,0.91,0.03,0.11,0,0
Alisson,BRA,MF,SГЈo Paulo,30,17.9,1,13,6,46.2,0.73,0.34,0.08,0.17,0,0
Allan,BRA,MF,Flamengo,26,15.7,0,12,4,33.3,0.76,0.25,0.00,0.00,0,0
Allan,BRA,MF,Botafogo (RJ),33,3.5,0,1,0,0.0,0.29,0.00,0.00,,0,0
Allano,BRA,"MF,FW",CriciГєma,28,14.4,1,33,9,27.3,2.29,0.62,0.03,0.11,0,0
Thiago Almada,ARG,"MF,FW",Botafogo (RJ),22,13.9,1,40,11,27.5,2.88,0.79,0.03,0.09,0,1
JГєnior Alonso,PAR,DF,AtlГ©tico Mineiro,30,11.6,1,6,2,33.3,0.52,0.17,0.17,0.50,0,0
Anderson,BRA,GK,Cruzeiro,25,17.0,0,0,0,,0.00,0.00,,,0,0
Felipe Anderson,BRA,MF,Palmeiras,30,14.6,2,24,7,29.2,1.65,0.48,0.08,0.29,0,0
Kervin Andrade,VEN,MF,Fortaleza,18,5.4,1,14,4,28.6,2.60,0.74,0.07,0.25,0,0
Rodrigo Andrade,BRA,"MF,FW",VitГіria,26,4.3,0,2,0,0.0,0.47,0.00,0.00,,0,0
AndrГ©,BRA,MF,Fluminense,22,11.9,0,3,0,0.0,0.25,0.00,0.00,,0,0
JosГ© AndrГ©s MartГ­nez,VEN,MF,Corinthians,29,7.0,0,2,0,0.0,0.28,0.00,0.00,,0,0
Wilker ГЃngel,VEN,DF,CriciГєma,30,10.9,1,10,5,50.0,0.91,0.46,0.10,0.20,0,0
Anthoni,BRA,GK,Internacional,22,2.0,0,0,0,,0.00,0.00,,,0,0
Marcos AntГґnio,BRA,MF,SГЈo Paulo,23,9.4,0,2,0,0.0,0.21,0.00,0.00,,0,0
Guilherme Arana,BRA,"MF,DF",AtlГ©tico Mineiro,26,14.5,1,23,9,39.1,1.59,0.62,0.04,0.11,0,0
Charles ArГЎnguiz,CHI,MF,Internacional,34,3.2,0,3,2,66.7,0.94,0.63,0.00,0.00,0,0
Luiz AraГєjo,BRA,MF,Flamengo,27,17.4,4,53,17,32.1,3.05,0.98,0.08,0.24,0,0
Matheus AraГєjo,BRA,MF,Corinthians,21,0.5,0,0,0,,0.00,0.00,,,0,0
Michel Araujo,URU,"MF,DF",SГЈo Paulo,27,9.5,0,13,3,23.1,1.36,0.31,0.00,0.00,0,0
Alexander Aravena,CHI,MF,GrГЄmio,21,8.6,2,17,9,52.9,1.99,1.05,0.12,0.22,0,0
Robert Arboleda,ECU,DF,SГЈo Paulo,32,25.1,2,14,5,35.7,0.56,0.20,0.14,0.40,0,0
Lucas Arcanjo,BRA,GK,VitГіria,25,37.0,0,0,0,,0.00,0.00,,,0,0
Matias Arezo,URU,FW,GrГЄmio,21,1.2,0,8,4,50.0,6.43,3.21,0.00,0.00,0,0
Jhon Arias,COL,MF,Fluminense,26,26.4,7,60,26,43.3,2.27,0.98,0.12,0.27,0,2
Santiago Arias,COL,DF,Bahia,32,20.9,0,11,2,18.2,0.53,0.10,0.00,0.00,0,0
Arthur,BRA,FW,Cruzeiro,25,14.1,2,30,13,43.3,2.12,0.92,0.07,0.15,0,0
Arthur,BRA,FW,CriciГєma,31,18.6,5,44,13,29.5,2.37,0.70,0.11,0.38,0,0
Arthur,BRA,FW,Corinthians,20,0.2,0,0,0,,0.00,0.00,,,0,0
Arthur,BRA,FW,RB Bragantino,20,1.7,0,1,0,0.0,0.59,0.00,0.00,,0,0
Filipe Augusto,BRA,MF,CuiabГЎ,30,9.4,0,6,2,33.3,0.64,0.21,0.00,0.00,0,0
Renato Augusto,BRA,MF,Fluminense,35,4.9,1,8,3,37.5,1.63,0.61,0.13,0.33,0,0
Yarlen Augusto,BRA,FW,Botafogo (RJ),17,0.9,0,1,0,0.0,1.14,0.00,0.00,,0,0
Pablo Baianinho,BRA,MF,VitГіria,20,0.4,0,2,0,0.0,4.86,0.00,0.00,,0,0
Gabriel Baralhas,BRA,MF,AtlГ©tico Goianiense,25,27.2,1,46,15,32.6,1.69,0.55,0.02,0.07,0,0
Danilo Barbosa,BRA,MF,Botafogo (RJ),27,12.8,3,13,5,38.5,1.01,0.39,0.23,0.60,0,0
Diogo Barbosa,BRA,DF,Fluminense,31,20.5,0,4,0,0.0,0.19,0.00,0.00,,0,0
Gabriel Barbosa,BRA,"FW,MF",Flamengo,27,8.4,4,27,11,40.7,3.22,1.31,0.07,0.18,2,2
Lucas Barbosa,BRA,MF,Juventude,22,27.1,7,70,25,35.7,2.58,0.92,0.10,0.28,0,0
Alexander Barboza,ARG,DF,Botafogo (RJ),28,22.6,0,25,6,24.0,1.11,0.27,0.00,0.00,0,0
Baltasar Barcia,URU,MF,CriciГєma,22,0.3,0,0,0,,0.00,0.00,,,0,0
ГЃlvaro Barreal,ARG,"MF,FW",Cruzeiro,23,16.5,2,38,11,28.9,2.30,0.67,0.05,0.18,0,0
Barreto,BRA,MF,CriciГєma,28,25.3,2,20,7,35.0,0.79,0.28,0.10,0.29,0,0
Gabriel Barros,BRA,MF,AtlГ©tico Goianiense,22,0.9,0,0,0,,0.00,0.00,,,0,0
Bastos,ANG,DF,Botafogo (RJ),32,29.2,3,20,4,20.0,0.68,0.14,0.15,0.75,0,0
Rodrigo Battaglia,ARG,"DF,MF",AtlГ©tico Mineiro,32,25.4,0,10,4,40.0,0.39,0.16,0.00,0.00,0,0
JosГ© Luis RodrГ­guez Bebanz,URU,"DF,MF",Vasco da Gama,26,12.5,1,22,4,18.2,1.76,0.32,0.05,0.25,0,0
Muriel Becker,BRA,GK,VitГіria,36,1.0,0,0,0,,0.00,0.00,,,0,0
Lucas Belezi,BRA,DF,Athletico Paranaense,20,8.8,1,5,2,40.0,0.57,0.23,0.20,0.50,0,0
Ramiro Benetti,BRA,MF,Cruzeiro,30,16.0,2,12,3,25.0,0.75,0.19,0.17,0.67,0,0
Bento,BRA,GK,Athletico Paranaense,24,7.0,0,0,0,,0.00,0.00,,,0,0
Alexandro Bernabei,ARG,DF,Internacional,23,22.9,3,24,8,33.3,1.05,0.35,0.13,0.38,0,0
Facundo Bernal,URU,MF,Fluminense,20,10.5,0,17,4,23.5,1.62,0.38,0.00,0.00,0,0
Bernard,BRA,"MF,FW",AtlГ©tico Mineiro,31,10.0,0,6,0,0.0,0.60,0.00,0.00,,0,0
Matheus Bidu,BRA,"DF,MF",Corinthians,24,16.7,2,24,9,37.5,1.44,0.54,0.08,0.22,0,0
Biel,BRA,"FW,MF",Bahia,22,10.0,5,28,10,35.7,2.79,1.00,0.18,0.50,0,0
Biro,BRA,DF,Corinthians,19,0.2,0,2,0,0.0,11.25,0.00,0.00,,0,0
DamiГЎn Bobadilla,PAR,MF,SГЈo Paulo,22,11.5,1,14,2,14.3,1.22,0.17,0.07,0.50,0,0
Yannick Bolasie,COD,FW,CriciГєma,34,26.4,8,75,36,48.0,2.84,1.36,0.11,0.22,0,0
Thiago Borbas,URU,FW,RB Bragantino,21,10.6,2,19,9,47.4,1.79,0.85,0.11,0.22,0,0
Marllon Borges,BRA,DF,CuiabГЎ,31,32.0,1,16,5,31.3,0.50,0.16,0.06,0.20,0,0
Pedro Borges,BRA,MF,Fortaleza,26,13.0,0,5,2,40.0,0.39,0.15,0.00,0.00,0,0
Rafael BorrГ©,COL,FW,Internacional,28,20.8,9,54,27,50.0,2.60,1.30,0.17,0.33,0,1
Danilo Boza,BRA,DF,Juventude,25,31.4,3,28,10,35.7,0.89,0.32,0.11,0.30,0,0
Martin Braithwaite,DEN,FW,GrГЄmio,32,16.2,8,39,17,43.6,2.40,1.05,0.21,0.47,0,0
Breno,BRA,MF,Fortaleza,28,21.1,5,53,20,37.7,2.51,0.95,0.09,0.25,0,0
Breno,BRA,MF,Corinthians,18,19.8,0,21,8,38.1,1.06,0.40,0.00,0.00,0,0
JosГ© Breno,BRA,MF,VitГіria,19,0.1,0,0,0,,0.00,0.00,,,0,0
Emanuel BrГ­tez,ARG,DF,Fortaleza,31,27.8,0,24,4,16.7,0.86,0.14,0.00,0.00,0,0
Bruninho,BRA,FW,RB Bragantino,20,0.9,0,3,0,0.0,3.42,0.00,0.00,,0,0
FabrГ­cio Bruno,BRA,DF,Flamengo,27,25.7,1,15,5,33.3,0.58,0.19,0.07,0.20,0,0
Fabricio Bustos,ARG,DF,Internacional,27,9.6,1,8,1,12.5,0.83,0.10,0.13,1.00,0,0
Rafael Cabral,BRA,GK,GrГЄmio,33,5.1,0,0,0,,0.00,0.00,,,0,0
CacГЎ,BRA,DF,Corinthians,24,25.5,4,23,6,26.1,0.90,0.23,0.17,0.67,0,0
RaГєl CГЎceres,PAR,DF,VitГіria,32,18.8,0,3,0,0.0,0.16,0.00,0.00,,0,0
Cadu,BRA,"FW,MF",AtlГ©tico Mineiro,19,11.2,3,17,7,41.2,1.52,0.62,0.18,0.43,0,0
Caetano,BRA,DF,Corinthians,24,3.1,0,1,0,0.0,0.32,0.00,0.00,,0,0
Jonathan Cafu,BRA,"MF,FW",CuiabГЎ,32,15.5,1,14,7,50.0,0.91,0.45,0.07,0.14,0,0
