Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Max Aarons,ENG,DF,Valencia,24,1.3,2,0,0,0,2,0,5,0,4,,,0
Rodrigo Abajas,ESP,DF,Valencia,21,0.7,1,0,0,2,0,1,1,1,2,,,0
Nabil Aberdin,FRA,MF,Getafe,21,2.9,1,0,0,7,5,0,0,1,5,,,0
Abdel Abqar,MAR,DF,AlavГ©s,25,27.4,13,0,0,47,32,2,5,36,22,,,0
Akor Adams,NGA,FW,Sevilla,24,1.5,0,0,0,1,0,1,0,0,0,,,0
AdriГЎn,ESP,GK,Real Betis,37,19.0,3,0,0,0,4,0,0,0,0,,,0
Julen Agirrezabala,ESP,GK,Athletic Club,23,13.4,1,1,0,3,1,0,0,0,0,,,0
Lucien Agoume,FRA,MF,Sevilla,22,23.5,5,1,0,49,6,2,17,40,32,,,0
ГЃlvaro Aguado,ESP,MF,Espanyol,28,4.9,3,0,0,5,8,0,12,4,2,,,0
Lorenzo Aguado,ESP,DF,Real Madrid,21,0.1,0,0,0,0,0,0,0,0,0,,,0
Nayef Aguerd,MAR,DF,Real Sociedad,28,19.6,5,0,0,11,19,0,2,12,26,,,0
Joseph Aidoo,GHA,DF,Celta Vigo,28,6.5,0,0,0,4,2,0,0,6,5,,,0
Ilias Akhomach,MAR,MF,Villarreal,20,6.5,1,0,0,9,21,1,19,2,8,,,0
David Alaba,AUT,DF,Real Madrid,32,3.5,1,0,0,2,0,0,3,6,0,,,0
Ibrahim Alani,NGA,MF,Valladolid,18,1.8,0,0,0,2,5,0,0,1,7,,,0
RaГєl Albiol,ESP,DF,Villarreal,38,13.2,5,0,0,11,6,0,0,5,8,,,1
Omar Alderete,PAR,DF,Getafe,27,33.0,8,0,0,33,12,8,6,37,27,,,0
Carles AleГ±ГЎ,ESP,MF,AlavГ©s,26,17.1,2,0,0,19,35,2,37,1,15,,,0
Alfon,ESP,"FW,MF",Celta Vigo,25,15.2,1,1,0,15,31,6,39,4,3,,,0
Tadeo Allende,ARG,MF,Celta Vigo,25,0.0,1,0,0,0,0,0,0,0,0,,,0
Domingos AndrГ© Ribeiro Almeida,POR,"MF,FW",Valencia,24,22.0,2,0,0,28,38,2,67,7,32,,,0
Iker Almena,ESP,MF,Girona,20,0.5,0,0,0,0,1,0,4,0,0,,,0
Marcos Alonso,ESP,DF,Celta Vigo,33,29.4,10,2,1,31,28,2,41,33,21,,,0
AdriГ Altimira,ESP,"DF,MF",LeganГ©s,23,18.1,6,0,0,27,28,3,27,16,24,,,0
Sergi Altimira,ESP,MF,Real Betis,22,21.9,4,0,0,35,33,0,5,22,37,,,0
Hugo ГЃlvarez,ESP,MF,Celta Vigo,21,17.5,6,0,0,25,16,3,30,9,10,,,0
JuliГЎn ГЃlvarez,ARG,FW,AtlГ©tico Madrid,24,27.9,5,0,0,26,9,9,69,2,17,,,0
Yeray ГЃlvarez,ESP,DF,Athletic Club,29,19.8,4,0,0,15,15,0,3,35,13,,,0
Selim Amallah,MAR,MF,Valladolid,27,15.3,6,0,0,32,28,1,31,14,19,,,0
Amath,SEN,"FW,MF",Valladolid,28,4.2,1,0,0,4,7,2,6,2,0,,,0
Marcos AndrГ©,BRA,FW,Valladolid,27,13.2,5,0,0,12,28,5,1,3,6,,,0
Leandro Antonetti,PUR,FW,Sevilla,21,0.3,0,0,0,0,0,0,0,0,0,,,0
Antoniu,ESP,MF,Espanyol,21,11.4,3,0,0,19,23,4,21,8,9,,,0
Antony,BRA,MF,Real Betis,24,15.1,2,1,0,15,27,1,41,9,10,,,0
Anuar,MAR,"MF,FW",Valladolid,29,19.1,7,0,0,30,48,10,22,17,27,,,0
Aritz Arambarri,ESP,DF,LeganГ©s,26,2.0,0,0,0,0,0,0,0,3,1,,,0
Mauro Arambarri,URU,MF,Getafe,28,29.6,10,0,0,51,52,3,14,16,33,,,0
Jon Aramburu,VEN,DF,Real Sociedad,22,27.3,8,0,0,50,42,3,46,28,68,,,0
Ronald AraГєjo,URU,DF,Barcelona,25,8.4,3,0,0,9,4,0,0,9,9,,,0
Adu Ares,ESP,MF,Athletic Club,22,0.2,0,0,0,0,0,0,1,0,0,,,0
JesГєs Areso,ESP,DF,Osasuna,25,34.2,9,0,0,31,20,8,170,8,41,,,0
David ArgГјelles,ESP,DF,Getafe,22,0.1,0,0,0,0,0,0,0,0,0,,,0
JosГ© Arnaiz,ESP,MF,Osasuna,29,1.5,0,0,0,0,5,4,17,4,5,,,0
Sergio Arribas,ESP,DF,Real Betis,21,1.0,0,0,0,0,0,0,0,3,4,,,0
Takuma Asano,JPN,"MF,FW",Mallorca,29,11.7,0,0,0,5,15,6,20,8,9,,,0
RaГєl Asencio,ESP,DF,Real Madrid,21,18.6,3,0,0,12,19,1,0,16,17,,,0
Iago Aspas,ESP,"FW,MF",Celta Vigo,36,19.4,6,1,1,16,34,5,16,8,7,,,0
Yaser Asprilla,COL,"MF,FW",Girona,20,15.6,2,0,0,12,23,1,93,7,12,,,0
Ezequiel ГЃvila,ARG,"MF,FW",Real Betis,30,7.5,5,1,0,13,18,5,29,3,5,,,0
Adam Aznou,MAR,"DF,MF",Valladolid,18,9.7,1,0,0,14,17,0,11,10,22,,,0
CГ©sar Azpilicueta,ESP,DF,AtlГ©tico Madrid,34,9.7,1,0,0,8,6,3,5,6,14,,,0
Papa Ba,ESP,FW,Girona,19,0.5,0,0,0,1,4,0,1,0,1,,,0
LoГЇc Bade,FRA,DF,Sevilla,24,29.8,7,1,0,26,10,0,8,27,27,,,0
Alex Baena,ESP,"MF,FW",Villarreal,23,28.8,9,0,0,43,47,5,208,23,16,,,0
Eric Bailly,CIV,DF,Villarreal,30,6.9,2,1,0,7,1,0,0,6,4,,,0
Stefan Bajcetic,ESP,"MF,DF",Las Palmas,19,10.8,4,0,0,21,14,0,4,15,14,,,0
CГ©dric Bakambu,COD,FW,Real Betis,33,7.9,4,0,0,23,7,12,3,0,3,,,0
Alejandro Balde,ESP,DF,Barcelona,20,25.4,2,0,0,16,37,0,68,7,10,,,0
IvГЎn Balliu,ALB,DF,Rayo Vallecano,32,13.3,3,0,0,19,15,1,20,12,15,,,0
Jonathan Bamba,CIV,"MF,FW",Celta Vigo,28,9.0,1,0,0,7,17,4,25,4,7,,,0
Adrian Baquerin,ESP,FW,Valladolid,17,0.5,0,0,0,0,2,0,0,0,1,,,0
ValentГ­n Barco,ARG,DF,Sevilla,20,3.2,0,0,0,7,5,0,25,2,9,,,0
Borna BariЕЎiД‡,CRO,DF,LeganГ©s,31,0.1,0,0,0,0,0,0,0,0,0,,,0
Kike Barja,ESP,"FW,MF",Osasuna,27,3.5,3,0,0,9,4,1,37,3,4,,,0
Enzo Barrenechea,ARG,MF,Valencia,23,24.3,6,0,0,25,47,0,3,27,30,,,0
Ander Barrenetxea,ESP,MF,Real Sociedad,22,14.0,6,0,0,33,13,6,52,11,19,,,0
Pablo Barrios,ESP,MF,AtlГ©tico Madrid,21,25.9,4,1,0,28,27,0,26,33,26,,,0
Thierno Barry,FRA,FW,Villarreal,21,25.8,4,0,0,47,51,20,5,0,9,,,0
Marc Bartra,ESP,DF,Real Betis,33,23.3,2,0,0,15,14,2,1,35,19,,,0
Aboubacar Bassinga,CIV,MF,Las Palmas,19,0.0,0,0,0,1,0,0,0,0,0,,,0
