Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Max Aarons,ENG,"DF,MF",Valencia,24,4,1,120,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,6.0,0,0,2,0,5,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0
Rodrigo Abajas,ESP,DF,Valencia,21,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0,2,0,1,1,1,2,0,1,0,0.0,1.38,0.0,0.0,0.0
Nabil Aberdin,FRA,MF,Getafe,21,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,0.7,0,7,5,0,0,1,5,0,2,0,0.0,0.68,0.0,0.0,0.0
Abdel Abqar,MAR,DF,Alavés,25,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.0,0.04,0.04,0.0,0.04,0.03,0.01,0.04,0.03,0.04,7.5,0,47,32,2,5,36,22,0,12,1,8.3,0.44,0.04,0.0,0.0
Akor Adams,NGA,FW,Sevilla,24,4,1,134,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,5,5,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,5.0,0,1,0,1,0,0,0,0,2,2,100.0,1.34,1.34,0.0,0.0
Adrian,ESP,GK,Betis,37,19,19,1710,19.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Julen Agirrezabala,ESP,GK,Athletic Club,23,14,14,1206,13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,3,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,FRA,MF,Sevilla,22,35,24,2114,23.5,1,3,4,1,0,0,5,1,0.9,0.9,2.5,3.3,29,135,23,0.04,0.13,0.17,0.04,0.17,0.04,0.11,0.14,0.04,0.14,8.0,0,49,6,2,17,40,32,0,10,2,20.0,0.43,0.09,0.1,0.5
Alvaro Aguado,ESP,MF,Espanyol,28,16,4,443,4.9,0,1,1,0,0,0,3,0,0.6,0.6,0.6,1.2,15,37,4,0.0,0.2,0.2,0.0,0.2,0.12,0.12,0.24,0.12,0.24,1.8,0,5,8,0,12,4,2,0,10,1,10.0,2.03,0.2,0.0,0.0
Lorenzo Aguado,ESP,DF,Real Madrid,21,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Nayef Aguerd,MAR,DF,Real Sociedad,28,21,21,1760,19.6,0,0,0,0,0,0,5,0,2.4,2.4,0.1,2.5,26,75,1,0.0,0.0,0.0,0.0,0.0,0.12,0.01,0.13,0.12,0.13,18.0,0,11,19,0,2,12,26,0,15,5,33.3,0.77,0.26,0.0,0.0
Joseph Aidoo,GHA,DF,Celta Vigo,28,9,6,585,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0,4,2,0,0,6,5,0,1,0,0.0,0.15,0.0,0.0,0.0
Ilias Akhomach,MAR,"MF,FW",Villarreal,20,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,30,12,64,0.15,0.0,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23,15.0,0,9,21,1,19,2,8,0,17,6,35.3,2.62,0.92,0.06,0.17
David Alaba,AUT,DF,Real Madrid,32,7,4,317,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,6.0,0,2,0,0,3,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ibrahim Alani,NGA,MF,Valladolid,18,3,1,160,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.5,0,2,5,0,0,1,7,0,1,0,0.0,0.56,0.0,0.0,0.0
Raul Albiol,ESP,DF,Villarreal,38,15,14,1188,13.2,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,3,34,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,1.0,0,11,6,0,0,5,8,1,2,0,0.0,0.15,0.0,0.0,0.0
Omar Alderete,PAR,DF,Getafe,27,34,34,2971,33.0,1,0,1,1,0,0,8,0,1.7,1.7,0.9,2.6,25,112,7,0.03,0.0,0.03,0.03,0.03,0.05,0.03,0.08,0.05,0.08,8.0,0,33,12,8,6,37,27,0,38,10,26.3,1.15,0.3,0.03,0.1
Carles Alena,ESP,"MF,FW",Alavés,26,24,18,1542,17.1,0,2,2,0,0,0,2,0,1.6,1.6,1.4,3.0,21,70,53,0.0,0.12,0.12,0.0,0.12,0.09,0.08,0.18,0.09,0.18,2.5,0,19,35,2,37,1,15,0,20,5,25.0,1.17,0.29,0.0,0.0
Alfon,ESP,"FW,MF",Celta Vigo,25,26,14,1371,15.2,5,2,7,5,0,0,1,1,4.6,4.6,2.6,7.2,89,22,170,0.33,0.13,0.46,0.33,0.46,0.3,0.17,0.47,0.3,0.47,5.0,0,15,31,6,39,4,3,0,45,21,46.7,2.95,1.38,0.11,0.24
Tadeo Allende,ARG,FW,Celta Vigo,25,1,0,2,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Domingos Andre Ribeiro Almeida,POR,"MF,FW",Valencia,24,34,24,1977,22.0,0,4,4,0,0,0,2,0,1.2,1.2,3.2,4.4,45,142,77,0.0,0.18,0.18,0.0,0.18,0.05,0.14,0.2,0.05,0.2,10.0,0,28,38,2,67,7,32,0,18,5,27.8,0.82,0.23,0.0,0.0
Iker Almena,ESP,"FW,DF",Girona,20,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.0,1.87,1.87,0.0,1.87,0.06,1.27,1.33,0.06,1.33,1.3,0,0,1,0,4,0,0,0,1,0,0.0,1.87,0.0,0.0,0.0
