Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Max Aarons,ENG,DF,Valencia,24,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Rodrigo Abajas,ESP,DF,Valencia,21,0.7,0,1,0,0.0,1.38,0.0,0.0,0.0,0,0
Nabil Aberdin,FRA,MF,Getafe,21,2.9,0,2,0,0.0,0.68,0.0,0.0,0.0,0,0
Abdel Abqar,MAR,DF,AlavГ©s,25,27.4,0,12,1,8.3,0.44,0.04,0.0,0.0,0,0
Akor Adams,NGA,FW,Sevilla,24,1.5,0,2,2,100.0,1.34,1.34,0.0,0.0,0,0
AdriГЎn,ESP,GK,Real Betis,37,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Julen Agirrezabala,ESP,GK,Athletic Club,23,13.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Lucien Agoume,FRA,MF,Sevilla,22,23.5,1,10,2,20.0,0.43,0.09,0.1,0.5,0,0
ГЃlvaro Aguado,ESP,MF,Espanyol,28,4.9,0,10,1,10.0,2.03,0.2,0.0,0.0,0,0
Lorenzo Aguado,ESP,DF,Real Madrid,21,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Nayef Aguerd,MAR,DF,Real Sociedad,28,19.6,0,15,5,33.3,0.77,0.26,0.0,0.0,0,0
Joseph Aidoo,GHA,DF,Celta Vigo,28,6.5,0,1,0,0.0,0.15,0.0,0.0,0.0,0,0
Ilias Akhomach,MAR,MF,Villarreal,20,6.5,1,17,6,35.3,2.62,0.92,0.06,0.17,0,0
David Alaba,AUT,DF,Real Madrid,32,3.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ibrahim Alani,NGA,MF,Valladolid,18,1.8,0,1,0,0.0,0.56,0.0,0.0,0.0,0,0
RaГєl Albiol,ESP,DF,Villarreal,38,13.2,0,2,0,0.0,0.15,0.0,0.0,0.0,0,0
Omar Alderete,PAR,DF,Getafe,27,33.0,1,38,10,26.3,1.15,0.3,0.03,0.1,0,0
Carles AleГ±ГЎ,ESP,MF,AlavГ©s,26,17.1,0,20,5,25.0,1.17,0.29,0.0,0.0,0,0
Alfon,ESP,"FW,MF",Celta Vigo,25,15.2,5,45,21,46.7,2.95,1.38,0.11,0.24,0,0
Tadeo Allende,ARG,MF,Celta Vigo,25,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Domingos AndrГ© Ribeiro Almeida,POR,"MF,FW",Valencia,24,22.0,0,18,5,27.8,0.82,0.23,0.0,0.0,0,0
Iker Almena,ESP,MF,Girona,20,0.5,0,1,0,0.0,1.87,0.0,0.0,0.0,0,0
Marcos Alonso,ESP,DF,Celta Vigo,33,29.4,3,34,13,38.2,1.16,0.44,0.0,0.0,3,3
AdriГ Altimira,ESP,"DF,MF",LeganГ©s,23,18.1,0,7,2,28.6,0.39,0.11,0.0,0.0,0,0
Sergi Altimira,ESP,MF,Real Betis,22,21.9,0,21,4,19.0,0.96,0.18,0.0,0.0,0,0
Hugo ГЃlvarez,ESP,MF,Celta Vigo,21,17.5,4,25,9,36.0,1.43,0.52,0.16,0.44,0,0
JuliГЎn ГЃlvarez,ARG,FW,AtlГ©tico Madrid,24,27.9,17,73,40,54.8,2.62,1.43,0.18,0.33,4,4
Yeray ГЃlvarez,ESP,DF,Athletic Club,29,19.8,1,9,2,22.2,0.45,0.1,0.11,0.5,0,0
Selim Amallah,MAR,MF,Valladolid,27,15.3,3,23,8,34.8,1.5,0.52,0.09,0.25,1,1
Amath,SEN,"FW,MF",Valladolid,28,4.2,0,5,1,20.0,1.2,0.24,0.0,0.0,0,0
Marcos AndrГ©,BRA,FW,Valladolid,27,13.2,1,22,2,9.1,1.67,0.15,0.05,0.5,0,0
Leandro Antonetti,PUR,FW,Sevilla,21,0.3,0,1,1,100.0,3.21,3.21,0.0,0.0,0,0
Antoniu,ESP,MF,Espanyol,21,11.4,0,10,4,40.0,0.88,0.35,0.0,0.0,0,0
Antony,BRA,MF,Real Betis,24,15.1,5,43,17,39.5,2.84,1.12,0.12,0.29,0,0
Anuar,MAR,"MF,FW",Valladolid,29,19.1,2,11,6,54.5,0.58,0.31,0.18,0.33,0,0
Aritz Arambarri,ESP,DF,LeganГ©s,26,2.0,0,1,0,0.0,0.51,0.0,0.0,0.0,0,0
Mauro Arambarri,URU,MF,Getafe,28,29.6,10,56,19,33.9,1.89,0.64,0.13,0.37,3,3
Jon Aramburu,VEN,DF,Real Sociedad,22,27.3,1,11,3,27.3,0.4,0.11,0.09,0.33,0,0
Ronald AraГєjo,URU,DF,Barcelona,25,8.4,1,4,2,50.0,0.48,0.24,0.25,0.5,0,0
Adu Ares,ESP,MF,Athletic Club,22,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
JesГєs Areso,ESP,DF,Osasuna,25,34.2,0,8,0,0.0,0.23,0.0,0.0,0.0,0,0
