Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value
Dimitry Bertaud,COD,GK,Montpellier,26,4,4,360,4.0,11,2.75,19,10,52.6,1,0,3,0,0.0,2,2,0,0,0.0,1.0
Marco Bizot,NED,GK,Brest,33,32,32,2880,32.0,54,1.69,121,76,62.0,14,5,13,10,31.3,10,8,1,1,11.1,3.0
Marcin Bulka,POL,GK,Nice,24,34,34,3060,34.0,41,1.21,158,120,75.3,17,9,8,8,23.5,3,2,1,0,33.3,20.0
Patrik Carlgren,SWE,GK,Nantes,32,5,4,417,4.6,7,1.51,28,21,75.0,1,2,1,1,25.0,0,0,0,0,0.0,0.6
Lucas Chevalier,FRA,GK,Lille,22,34,34,3060,34.0,36,1.06,127,94,74.8,17,9,8,11,32.4,4,4,0,0,0.0,30.0
Gregoire Coudert,FRA,GK,Brest,25,2,2,180,2.0,5,2.5,14,9,64.3,1,0,1,0,0.0,0,0,0,0,0.0,0.5
Theo De Percin,MTQ,GK,Auxerre,23,2,2,180,2.0,3,1.5,6,5,66.7,0,1,1,1,50.0,2,1,1,0,50.0,0.3
Remy Descamps,FRA,GK,Lyon,28,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,0.0,1.2
Arthur Desmas,FRA,GK,Le Havre,30,18,18,1620,18.0,38,2.11,91,56,60.4,5,0,13,3,16.7,3,2,1,0,33.3,1.2
Yehvann Diouf,SEN,GK,Reims,24,34,34,3060,34.0,47,1.38,176,133,75.6,8,9,17,7,20.6,5,4,1,0,20.0,12.0
Alex Dominguez,ESP,GK,Toulouse,26,1,0,19,0.2,0,0.0,0,0,,0,0,0,1,,0,0,0,0,0.0,0.3
Gianluigi Donnarumma,ITA,GK,Paris Saint-Germain,25,24,24,2091,23.2,25,1.08,75,50,68.0,18,5,1,4,16.7,1,1,0,0,0.0,40.0
Yahia Fofana,CIV,GK,Angers,23,33,33,2970,33.0,51,1.55,184,136,73.9,10,6,17,7,21.2,4,3,0,1,0.0,7.0
Gauthier Gallon,FRA,GK,Rennes,31,1,0,45,0.5,0,0.0,0,0,,0,0,0,0,,0,0,0,0,0.0,0.8
Mathieu Gorgelin,FRA,GK,Le Havre,33,16,16,1440,16.0,33,2.06,80,50,62.5,5,4,7,1,6.3,3,3,0,0,0.0,0.3
Kjetil Haug,NOR,GK,Toulouse,26,6,5,498,5.5,7,1.27,16,9,56.3,2,2,1,1,20.0,0,0,0,0,0.0,0.6
Karl-Johan Johnsson,SWE,GK,Strasbourg,34,3,3,270,3.0,6,2.0,21,16,76.2,1,1,1,0,0.0,1,1,0,0,0.0,0.3
Herve Koffi,BFA,GK,Lens,27,5,5,450,5.0,8,1.6,24,18,75.0,1,0,4,0,0.0,2,2,0,0,0.0,1.2
Philipp Kohn,SUI,GK,Monaco,26,19,19,1710,19.0,19,1.0,64,45,71.9,11,5,3,8,42.1,1,1,0,0,0.0,5.0
Alban Lafont,CIV,GK,Nantes,25,12,12,1080,12.0,19,1.58,48,32,66.7,2,4,6,2,16.7,3,3,0,0,0.0,3.0
Gautier Larsonneur,FRA,GK,Saint-Étienne,27,34,34,3060,34.0,77,2.26,195,133,67.2,8,6,20,5,14.7,15,13,2,0,13.3,3.0
Benjamin Lecomte,FRA,GK,Montpellier,33,30,30,2700,30.0,68,2.27,169,108,63.3,3,4,23,1,3.3,7,6,1,0,14.3,1.5
Donovan Leon,GUF,GK,Auxerre,31,32,32,2880,32.0,48,1.5,163,121,73.6,11,8,13,9,28.1,6,5,1,0,16.7,1.0
Anthony Lopes,POR,GK,Nantes,33,18,18,1563,17.4,26,1.5,69,47,68.1,5,6,7,3,16.7,5,4,0,1,0.0,1.2
Radoslaw Majecki,POL,GK,Monaco,24,15,15,1350,15.0,22,1.47,63,43,68.3,7,2,6,3,20.0,2,2,0,0,0.0,6.0
Steve Mandanda,FRA,GK,Rennes,39,18,17,1486,16.5,24,1.45,50,29,56.0,6,2,9,6,35.3,3,2,1,0,33.3,0.5
Lucas Perri,BRA,GK,Lyon,26,33,33,2970,33.0,44,1.33,157,116,73.9,17,6,10,10,30.3,3,3,0,0,0.0,10.0
Djordje Petrovic,SRB,GK,Strasbourg,24,31,31,2790,31.0,38,1.23,140,110,77.9,15,8,8,10,32.3,8,7,1,0,12.5,20.0
Guillaume Restes,FRA,GK,Toulouse,19,29,29,2543,28.3,36,1.27,92,58,62.0,9,7,13,9,31.0,2,1,1,0,50.0,20.0
Geronimo Rulli,ARG,GK,Marseille,32,34,34,3060,34.0,47,1.38,130,89,66.2,20,5,9,5,14.7,6,3,3,0,50.0,8.0
Mathew Ryan,AUS,GK,Lens,32,14,14,1260,14.0,17,1.21,57,43,73.7,8,1,5,6,42.9,3,2,1,0,33.3,2.5
Matvei Safonov,RUS,GK,Paris Saint-Germain,25,10,9,879,9.8,9,0.92,24,17,70.8,7,1,1,3,33.3,2,2,0,0,0.0,20.0
Brice Samba,FRA,GK,Lens,30,32,32,2879,32.0,41,1.28,132,98,74.24,13,6,13,12,0.38,7,5,2,0,28.57,12.0
Arnau Tenas,ESP,GK,Paris Saint-Germain,23,1,1,90,1.0,1,1.0,4,3,75.0,1,0,0,0,0.0,0,0,0,0,0.0,3.0
Melvin Zinga,FRA,GK,Angers,22,1,1,90,1.0,2,2.0,3,2,66.7,0,0,1,0,0.0,1,1,0,0,0.0,0.3
