Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Keyliane Abdallah,FRA,FW,Marseille,18.0,0.0,0,0,0,0,0,0,0,0,1,,,0
Yunis Abdelhamid,MAR,DF,Saint-Г‰tienne,36.0,11.5,2,0,0,16,6,0,0,14,11,,,0
Himad Abdelli,ALG,MF,Angers,24.0,31.6,4,0,0,47,32,3,45,27,32,,,0
Mohamed Abdelmoneim,EGY,DF,Nice,25.0,9.5,2,0,0,9,10,0,2,15,14,,,0
Ali Abdi,TUN,MF,Nice,30.0,15.5,2,0,0,28,14,5,51,20,27,,,0
Matthis Abline,FRA,FW,Nantes,21.0,30.8,3,0,0,34,55,5,31,6,4,,,0
Abner,BRA,"DF,MF",Lyon,24.0,12.1,1,0,0,16,4,0,31,6,20,,,0
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24.0,21.1,4,0,0,35,25,13,33,6,14,,,0
Akor Adams,NGA,FW,Montpellier,24.0,11.9,2,0,0,17,8,16,5,1,3,,,0
Martin Adeline,FRA,MF,Reims,20.0,0.3,0,0,0,0,1,0,0,0,1,,,0
Adryelson,BRA,DF,Lyon,26.0,0.0,1,0,0,0,0,0,0,1,0,,,0
Emmanuel Agbadou,CIV,DF,Reims,27.0,14.0,3,0,0,13,6,0,1,18,17,,,0
Jeremy Agbonifo,SWE,FW,Lens,18.0,3.3,1,0,0,14,5,2,7,1,5,,,0
Ruben Aguilar,FRA,"MF,DF",Lens,31.0,12.5,4,0,0,14,15,5,46,12,19,,,0
Naouirou Ahamada,FRA,MF,Rennes,22.0,0.6,0,0,0,1,0,0,1,3,0,,,0
Jean-Eudes Aholou,CIV,MF,Angers,30.0,21.8,7,0,0,50,25,1,2,34,36,,,0
Ayman Aiki,FRA,MF,Saint-Г‰tienne,19.0,1.4,0,0,0,4,1,0,1,1,3,,,0
Ludovic Ajorque,FRA,FW,Brest,30.0,27.7,5,0,0,61,26,11,7,5,18,,,0
Гњmit Akdag,ROU,DF,Toulouse,20.0,5.6,2,0,0,8,1,0,3,12,4,,,0
Sergio Akieme,ESP,DF,Reims,26.0,28.0,5,0,0,25,21,1,95,17,23,,,0
Maghnes Akliouche,FRA,MF,Monaco,22.0,26.7,2,0,0,31,38,8,52,15,32,,,0
Paul Akouokou,CIV,MF,Lyon,26.0,0.2,1,0,0,3,0,0,0,1,0,,,0
