Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Keyliane Abdallah,FRA,FW,Marseille,18.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Yunis Abdelhamid,MAR,DF,Saint-Г‰tienne,36.0,11.5,0,2,1,50.0,0.17,0.09,0.0,0.0,0,0
Himad Abdelli,ALG,MF,Angers,24.0,31.6,6,38,12,31.6,1.2,0.38,0.08,0.25,3,4
Mohamed Abdelmoneim,EGY,DF,Nice,25.0,9.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ali Abdi,TUN,MF,Nice,30.0,15.5,5,29,11,37.9,1.87,0.71,0.17,0.45,0,0
Matthis Abline,FRA,FW,Nantes,21.0,30.8,9,73,27,37.0,2.37,0.88,0.11,0.3,1,1
Abner,BRA,"DF,MF",Lyon,24.0,12.1,1,7,3,42.9,0.58,0.25,0.14,0.33,0,0
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24.0,21.1,7,63,29,46.0,2.98,1.37,0.1,0.21,1,2
Akor Adams,NGA,FW,Montpellier,24.0,11.9,3,26,12,46.2,2.18,1.0,0.12,0.25,0,0
Martin Adeline,FRA,MF,Reims,20.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Adryelson,BRA,DF,Lyon,26.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Emmanuel Agbadou,CIV,DF,Reims,27.0,14.0,0,15,3,20.0,1.07,0.21,0.0,0.0,0,0
Jeremy Agbonifo,SWE,FW,Lens,18.0,3.3,1,6,4,66.7,1.8,1.2,0.17,0.25,0,0
Ruben Aguilar,FRA,"MF,DF",Lens,31.0,12.5,1,11,3,27.3,0.88,0.24,0.09,0.33,0,0
Naouirou Ahamada,FRA,MF,Rennes,22.0,0.6,0,1,0,0.0,1.55,0.0,0.0,0.0,0,0
Jean-Eudes Aholou,CIV,MF,Angers,30.0,21.8,2,27,7,25.9,1.24,0.32,0.07,0.29,0,0
Ayman Aiki,FRA,MF,Saint-Г‰tienne,19.0,1.4,0,3,1,33.3,2.13,0.71,0.0,0.0,0,0
Ludovic Ajorque,FRA,FW,Brest,30.0,27.7,13,54,27,50.0,1.95,0.97,0.24,0.48,0,1
Гњmit Akdag,ROU,DF,Toulouse,20.0,5.6,0,2,0,0.0,0.36,0.0,0.0,0.0,0,0
Sergio Akieme,ESP,DF,Reims,26.0,28.0,2,26,7,26.9,0.93,0.25,0.08,0.29,0,0
Maghnes Akliouche,FRA,MF,Monaco,22.0,26.7,5,61,18,29.5,2.28,0.67,0.07,0.22,1,1
Paul Akouokou,CIV,MF,Lyon,26.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
ClГ©ment Akpa,CIV,DF,Auxerre,22.0,27.6,0,6,1,16.7,0.22,0.04,0.0,0.0,0,0
Chuba Akpom,ENG,FW,Lille,28.0,7.1,3,20,11,55.0,2.82,1.55,0.1,0.18,1,2
Mohamed Ali Cho,FRA,"FW,MF",Nice,20.0,18.0,3,37,15,40.5,2.05,0.83,0.08,0.2,0,0
Jim Allevinah,GAB,MF,Angers,29.0,19.4,1,35,10,28.6,1.8,0.51,0.03,0.1,0,0
Thiago Almada,ARG,MF,Lyon,23.0,10.6,1,23,5,21.7,2.18,0.47,0.04,0.2,0,0
Jordan Amavi,FRA,DF,Brest,30.0,8.8,0,8,3,37.5,0.91,0.34,0.0,0.0,0,0
Kelvin Amian,FRA,DF,Nantes,26.0,24.1,1,7,4,57.1,0.29,0.17,0.14,0.25,0,0
Michael Amir Murillo,PAN,DF,Marseille,28.0,27.1,1,13,4,30.8,0.48,0.15,0.08,0.25,0,0
Samuel Amo-Ameyaw,ENG,MF,Strasbourg,18.0,3.6,2,9,7,77.8,2.53,1.97,0.22,0.29,0,0
Mathis Amougou,FRA,MF,Saint-Г‰tienne,18.0,9.5,0,7,1,14.3,0.73,0.1,0.0,0.0,0,0
Benjamin AndrГ©,FRA,MF,Lille,33.0,29.9,0,16,4,25.0,0.53,0.13,0.0,0.0,0,0
Kyllian Antonio,FRA,"MF,DF",Lens,16.0,1.5,0,1,0,0.0,0.65,0.0,0.0,0.0,0,0
Dennis Appiah,FRA,DF,Saint-Г‰tienne,32.0,23.6,0,5,2,40.0,0.21,0.08,0.0,0.0,0,0
Carlens Arcus,HAI,DF,Angers,28.0,22.7,0,3,0,0.0,0.13,0.0,0.0,0.0,0,0
Marco Asensio,ESP,"FW,MF",Paris Saint-Germain,28.0,6.9,2,26,15,57.7,3.79,2.18,0.08,0.13,0,0
Lorenz Assignon,TOG,"MF,DF",Rennes,24.0,26.2,3,22,5,22.7,0.84,0.19,0.14,0.6,0,0
Dehmaine Assoumani,FRA,FW,Nantes,19.0,1.1,0,3,2,66.7,2.76,1.84,0.0,0.0,0,0
Valentin Atangana Edoa,FRA,MF,Reims,18.0,31.7,1,33,6,18.2,1.04,0.19,0.03,0.17,0,0
Florian AyГ©,FRA,FW,Auxerre,27.0,6.4,2,12,4,33.3,1.88,0.63,0.17,0.5,0,0
AndrГ© Ayew,GHA,FW,Le Havre,34.0,16.1,4,22,9,40.9,1.36,0.56,0.18,0.44,0,0
Neil El Aynaoui,MAR,MF,Lens,23.0,17.6,8,19,10,52.6,1.08,0.57,0.26,0.5,3,3
Shavy Babicka,GAB,MF,Toulouse,24.0,13.2,4,20,9,45.0,1.52,0.68,0.2,0.44,0,0
Theo Bair,CAN,FW,Auxerre,24.0,10.4,2,26,14,53.8,2.49,1.34,0.08,0.14,0,0
Mitchel Bakker,NED,"MF,DF",Lille,24.0,12.7,3,23,10,43.5,1.82,0.79,0.13,0.3,0,0
Darryl Bakola,FRA,MF,Marseille,16.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Dilane Bakwa,FRA,MF,Strasbourg,21.0,27.7,6,52,22,42.3,1.87,0.79,0.12,0.27,0,0
Leonardo Balerdi,ARG,DF,Marseille,25.0,25.3,0,15,2,13.3,0.59,0.08,0.0,0.0,0,0
FodГ© Ballo-TourГ©,SEN,"DF,MF",Le Havre,27.0,6.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Folarin Balogun,USA,FW,Monaco,23.0,6.8,4,31,10,32.3,4.54,1.46,0.13,0.4,0,0
Abdoulaye Bamba,CIV,DF,Angers,34.0,16.8,0,1,0,0.0,0.06,0.0,0.0,0.0,0,0
Mohamed Bamba,CIV,MF,Reims,19.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
ValentГ­n Barco,ARG,MF,Strasbourg,20.0,12.9,0,10,1,10.0,0.78,0.08,0.0,0.0,0,0
Bradley Barcola,FRA,FW,Paris Saint-Germain,21.0,24.2,14,74,39,52.7,3.05,1.61,0.19,0.36,0,0
Melvin Bard,FRA,"DF,MF",Nice,23.0,21.5,2,23,8,34.8,1.07,0.37,0.09,0.25,0,0
Gabriel Bares,SUI,MF,Montpellier,23.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
TГ©o Barisic,CRO,DF,Lyon,19.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Dylan Batubinsika,COD,DF,Saint-Г‰tienne,28.0,22.4,1,7,2,28.6,0.31,0.09,0.14,0.5,0,0
Haris Belkebla,ALG,MF,Angers,30.0,19.9,0,3,0,0.0,0.15,0.0,0.0,0.0,0,0
Yassin Belkhdim,FRA,MF,Angers,22.0,16.9,1,9,5,55.6,0.53,0.3,0.11,0.2,0,0
Eliesse Ben Seghir,MAR,MF,Monaco,19.0,19.4,6,61,22,36.1,3.14,1.13,0.07,0.18,2,2
IsmaГ«l Bennacer,ALG,MF,Marseille,26.0,7.2,0,3,0,0.0,0.42,0.0,0.0,0.0,0,0
SaГЇd Benrahma,ALG,"FW,MF",Lyon,28.0,8.2,1,17,4,23.5,2.08,0.49,0.06,0.25,0,0
Nabil Bentaleb,ALG,MF,Lille,29.0,3.7,1,5,1,20.0,1.37,0.27,0.2,1.0,0,0
Lucas Beraldo,BRA,DF,Paris Saint-Germain,20.0,22.3,1,12,4,33.3,0.54,0.18,0.08,0.25,0,0
Maxime Bernauer,FRA,DF,Saint-Г‰tienne,26.0,8.5,0,2,0,0.0,0.24,0.0,0.0,0.0,0,0
Dimitry Bertaud,COD,GK,Montpellier,26.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Mika Biereth,DEN,FW,Monaco,21.0,13.6,13,42,24,57.1,3.08,1.76,0.29,0.5,1,2
Emmanuel Biumla,FRA,DF,Angers,19.0,14.8,1,4,2,50.0,0.27,0.13,0.25,0.5,0,0
Marco Bizot,NED,GK,Brest,33.0,32.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ludovic Blas,FRA,"MF,FW",Rennes,26.0,25.5,6,57,26,45.6,2.24,1.02,0.11,0.23,0,0
Augustine Boakye,GHA,"MF,FW",Saint-Г‰tienne,23.0,8.1,3,24,9,37.5,2.95,1.11,0.13,0.33,0,0
MathГ©o Bodmer,FRA,DF,Le Havre,20.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Jeremie Boga,CIV,"MF,FW",Nice,27.0,11.7,1,29,17,58.6,2.48,1.45,0.03,0.06,0,0
MoГЇse Bombito,CAN,DF,Nice,24.0,24.4,0,8,1,12.5,0.33,0.04,0.0,0.0,0,0
SaГЇmon BouabrГ©,FRA,MF,Monaco,18.0,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ayyoub Bouaddi,FRA,MF,Lille,16.0,12.8,0,3,1,33.3,0.23,0.08,0.0,0.0,0,0
Badredine Bouanani,ALG,"MF,FW",Nice,19.0,12.2,3,31,15,48.4,2.54,1.23,0.06,0.13,1,1
Benjamin Bouchouari,MAR,MF,Saint-Г‰tienne,22.0,19.7,1,16,3,18.8,0.81,0.15,0.06,0.33,0,0
Hicham Boudaoui,ALG,MF,Nice,24.0,27.1,2,39,19,48.7,1.44,0.7,0.05,0.11,0,0
Justin Bourgault,FRA,DF,Brest,18.0,1.4,1,2,1,50.0,1.48,0.74,0.5,1.0,0,0
Benjamin Bourigeaud,FRA,MF,Rennes,30.0,0.9,1,2,1,50.0,2.25,1.13,0.5,1.0,0,0
Bilal Brahimi,ALG,MF,Nice,24.0,0.8,0,1,1,100.0,1.18,1.18,0.0,0.0,0,0
Lilian Brassier,FRA,DF,Rennes,24.0,22.4,1,19,3,15.79,0.85,0.13,0.05,0.33,0,0
Anthony BrianГ§on,FRA,"DF,MF",Saint-Г‰tienne,29.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
AurГ©lio Buta,POR,DF,Reims,27.0,21.9,0,8,1,12.5,0.37,0.05,0.0,0.0,0,0
Marcin BuЕ‚ka,POL,GK,Nice,24.0,34.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
RГ©my Cabella,FRA,MF,Lille,34.0,11.2,1,30,7,23.3,2.67,0.62,0.03,0.14,0,0
Mathieu Cafaro,FRA,"MF,FW",Saint-Г‰tienne,27.0,8.1,1,23,10,43.5,2.83,1.23,0.04,0.1,0,0
Duje Д†aleta-Car,CRO,DF,Lyon,27.0,17.6,1,11,1,9.1,0.62,0.06,0.09,1.0,0,0
Issiaga Camara,GUI,MF,Nice,19.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Lamine Camara,SEN,MF,Monaco,20.0,22.8,2,26,9,34.6,1.14,0.39,0.08,0.22,0,0
Mahdi Camara,FRA,MF,Brest,26.0,29.5,5,49,20,40.8,1.66,0.68,0.1,0.25,0,0
Ousmane Camara,MLI,DF,Angers,21.0,2.8,0,1,0,0.0,0.36,0.0,0.0,0.0,0,0
Axel Camblan,FRA,FW,Brest,20.0,0.3,0,1,0,0.0,3.46,0.0,0.0,0.0,0,0
