Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value
Alisson,BRA,GK,Liverpool,31,28,28,2508,27.9,29,1.04,106,74,73.6,18,7,3,10,35.7,1,1,0,0,0.0,20.0
Alphonse Areola,FRA,GK,West Ham United,31,26,25,2260,25.1,41,1.63,121,80,66.1,5,7,13,5,20.0,0,0,0,0,0.0,9.0
Kepa Arrizabalaga,ESP,GK,Bournemouth,29,31,31,2790,31.0,39,1.26,132,97,73.5,13,7,11,8,25.8,4,4,0,0,0.0,10.0
Brandon Austin,ENG,GK,Tottenham Hotspur,25,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,0.0,0.6
Daniel Bentley,ENG,GK,Wolves,31,2,2,180,2.0,4,2.0,12,8,66.7,1,0,1,1,50.0,0,0,0,0,0.0,1.5
Martin Dubravka,SVK,GK,Newcastle United,35,10,10,900,10.0,12,1.2,41,29,70.7,7,0,3,5,50.0,0,0,0,0,0.0,1.0
Ederson,BRA,GK,Manchester City,30,26,26,2320,25.8,26,1.01,78,54,69.2,16,4,6,10,38.5,2,2,0,0,0.0,20.0
Lukasz Fabianski,POL,GK,West Ham United,39,14,13,1160,12.9,21,1.63,68,50,73.5,6,3,4,3,23.1,3,3,0,0,0.0,0.5
Mark Flekken,NED,GK,Brentford,31,37,37,3275,36.4,55,1.51,207,152,73.9,16,8,13,8,21.6,1,1,0,0,0.0,10.0
Fraser Forster,ENG,GK,Tottenham Hotspur,36,7,7,630,7.0,15,2.14,42,28,69.0,1,2,4,1,14.3,2,2,0,0,0.0,1.0
Dean Henderson,ENG,GK,Crystal Palace,27,38,38,3420,38.0,51,1.34,152,102,67.1,13,14,11,11,28.9,2,1,1,0,50.0,20.0
Mads Hermansen,DEN,GK,Leicester City,24,27,27,2385,26.5,58,2.19,156,102,64.7,3,6,18,1,3.7,4,3,1,0,25.0,15.0
Vitezslav Jaros,CZE,GK,Liverpool,23,1,0,12,0.1,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,0.0,4.0
