Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Max Aarons,ENG,DF,Bournemouth,24.0,1.0,0,0,0,0,2,0,2,1,2,,,0
Joshua Acheampong,ENG,DF,Chelsea,18.0,1.9,1,0,0,1,1,0,0,1,1,,,0
Tyler Adams,USA,MF,Bournemouth,25.0,21.8,7,0,0,46,21,0,2,30,56,,,0
Tosin Adarabioyo,ENG,DF,Chelsea,26.0,15.7,4,0,0,8,9,1,0,10,13,,,0
Simon Adingra,CIV,MF,Brighton,22.0,12.2,0,0,0,13,4,4,42,9,16,,,0
Emmanuel Agbadou,CIV,DF,Wolves,27.0,15.7,3,0,0,8,4,1,2,12,19,,,0
Asher Agbinone,ENG,MF,Crystal Palace,18.0,0.1,0,0,0,0,0,0,1,0,1,,,0
Ola Aina,NGA,DF,Nottingham Forest,27.0,33.3,5,0,0,23,35,2,59,31,41,,,0
Rayan AГЇt-Nouri,ALG,"MF,DF",Wolves,23.0,34.5,7,1,1,30,46,6,94,24,55,,,0
Kristoffer Ajer,NOR,DF,Brentford,26.0,16.0,5,0,0,13,6,2,14,11,19,,,0
Manuel Akanji,SUI,"DF,MF",Manchester City,29.0,22.4,3,0,0,17,9,0,11,9,11,,,0
Nathan AkГ©,NED,DF,Manchester City,29.0,7.5,0,0,0,2,0,0,1,3,6,,,0
Carlos Alcaraz,ARG,MF,Everton,21.0,8.6,4,0,0,14,12,1,12,6,4,,,0
Trent Alexander-Arnold,ENG,DF,Liverpool,25.0,26.3,5,0,0,11,9,1,154,31,49,,,0
Alisson,BRA,GK,Liverpool,31.0,27.9,0,0,0,0,2,0,0,0,0,,,0
Miguel AlmirГіn,PAR,FW,Newcastle United,30.0,1.7,0,0,0,1,3,2,0,0,2,,,0
Olabade Aluko,,DF,Leicester City,,0.0,0,0,0,0,0,0,0,0,1,,,0
Edson ГЃlvarez,MEX,MF,West Ham United,26.0,19.7,9,1,1,42,18,4,7,18,26,,,0
Will Alves,ENG,MF,Leicester City,19.0,0.0,0,0,0,0,0,0,0,0,0,,,0
Harry Amass,ENG,MF,Manchester Utd,17.0,3.8,0,0,0,2,4,1,9,2,2,,,0
Samuel Amo-Ameyaw,ENG,"FW,MF",Southampton,18.0,0.3,1,0,0,1,2,0,2,0,0,,,0
Mathis Amougou,FRA,MF,Chelsea,18.0,0.1,0,0,0,0,0,0,0,0,0,,,0
Joachim Andersen,DEN,DF,Fulham,28.0,29.7,7,1,0,20,19,0,13,33,17,,,1
Elliot Anderson,ENG,MF,Nottingham Forest,21.0,30.3,10,0,0,47,57,4,86,29,55,,,0
AndrГ©,BRA,MF,Wolves,23.0,27.5,7,0,0,36,34,0,0,37,55,,,0
Michail Antonio,JAM,FW,West Ham United,34.0,9.3,1,0,0,12,7,4,25,0,2,,,0
Antony,BRA,"FW,MF",Manchester Utd,24.0,1.6,0,0,0,2,5,0,5,2,3,,,0
Julian Araujo,MEX,DF,Bournemouth,22.0,5.5,2,0,0,7,2,1,9,5,5,,,0
Cameron Archer,ENG,FW,Southampton,23.0,16.0,0,0,0,16,13,8,4,1,9,,,0
Alphonse Areola,FRA,GK,West Ham United,31.0,25.1,0,0,0,0,0,0,0,0,2,,,1
Joe Aribo,NGA,MF,Southampton,28.0,22.4,1,0,0,20,27,1,10,20,34,,,0
Adam Armstrong,ENG,"FW,MF",Southampton,27.0,13.9,4,0,0,12,5,9,14,4,3,,,0
Harrison Armstrong,ENG,MF,Everton,17.0,0.5,1,0,0,2,2,0,1,0,0,,,0
Kepa Arrizabalaga,ESP,GK,Bournemouth,29.0,31.0,3,0,0,2,6,0,0,0,0,,,0
Marco Asensio,ESP,MF,Aston Villa,28.0,8.3,2,0,0,11,8,2,38,2,5,,,0
Brandon Austin,ENG,GK,Tottenham Hotspur,25.0,1.0,0,0,0,0,2,0,0,0,0,,,0
Taiwo Awoniyi,NGA,FW,Nottingham Forest,26.0,4.6,0,0,0,8,10,1,2,0,4,,,0
Yasin Ayari,SWE,MF,Brighton,20.0,21.8,3,0,0,36,26,3,70,20,32,,,0
Jordan Ayew,GHA,MF,Leicester City,32.0,18.4,6,0,0,31,58,7,58,11,14,,,0
BenoГ®t Badiashile,FRA,DF,Chelsea,23.0,3.7,0,0,0,6,2,0,1,6,6,,,0
Leon Bailey,JAM,MF,Aston Villa,26.0,12.7,3,0,0,12,18,3,34,4,4,,,0
Carlos Baleba,CMR,MF,Brighton,20.0,29.6,8,1,1,39,47,0,9,49,44,,,0
Ross Barkley,ENG,MF,Aston Villa,30.0,6.5,3,0,0,8,3,0,1,10,4,,,0
Harvey Barnes,ENG,"FW,MF",Newcastle United,26.0,19.5,0,0,0,15,23,5,47,6,9,,,0
Calvin Bassey,NGA,DF,Fulham,24.0,34.2,7,0,0,26,31,2,9,19,33,,,0
Altay BayД±ndД±r,TUR,GK,Manchester Utd,26.0,4.0,0,0,0,0,1,0,0,0,0,,,0
Jan Bednarek,POL,DF,Southampton,28.0,28.1,7,0,0,31,13,0,1,55,19,,,0
Armel Bella Kotchap,GER,DF,Southampton,22.0,3.7,0,0,0,3,2,0,0,5,5,,,0
Jean-Ricner Bellegarde,HAI,MF,Wolves,26.0,18.6,3,0,0,31,46,1,42,8,23,,,0
Rodrigo Bentancur,URU,MF,Tottenham Hotspur,27.0,18.3,9,0,0,34,10,1,4,38,22,,,0
Daniel Bentley,ENG,GK,Wolves,31.0,2.0,0,0,0,0,0,0,0,0,0,,,0
Sander Berge,NOR,MF,Fulham,26.0,24.7,6,0,0,30,10,0,3,21,32,,,0
Lucas Bergvall,SWE,MF,Tottenham Hotspur,18.0,13.5,3,0,0,20,17,0,21,21,18,,,0
Victor Bernth Kristiansen,DEN,"DF,MF",Leicester City,21.0,27.6,1,0,0,19,18,3,96,37,51,,,1
Beto,GNB,FW,Everton,26.0,17.0,2,0,0,33,23,16,4,4,7,,,0
Philip Billing,DEN,MF,Bournemouth,28.0,2.0,1,0,0,3,2,0,10,5,6,,,0
Yves Bissouma,MLI,MF,Tottenham Hotspur,27.0,15.6,7,0,0,29,18,0,2,16,29,,,0
Oscar Bobb,NOR,"FW,MF",Manchester City,21.0,0.2,0,0,0,0,1,0,0,0,0,,,0
Lamare Bogarde,NED,"DF,MF",Aston Villa,20.0,5.3,2,0,0,8,11,0,0,1,6,,,0
Willy Boly,CIV,DF,Nottingham Forest,33.0,1.7,1,0,0,1,0,0,0,3,1,,,0
Sven Botman,NED,DF,Newcastle United,24.0,4.6,1,0,0,5,4,0,0,5,8,,,0
Jarrod Bowen,ENG,"MF,FW",West Ham United,27.0,33.0,1,0,0,20,51,10,106,16,25,,,0
Conor Bradley,NIR,DF,Liverpool,21.0,8.4,4,0,0,12,14,1,7,3,10,,,0
Jarrad Branthwaite,ENG,DF,Everton,22.0,27.9,4,0,0,12,18,2,6,24,21,,,0
James Bree,ENG,"DF,MF",Southampton,26.0,11.9,0,0,0,4,5,0,29,5,13,,,0
Ben Brereton,CHI,"FW,MF",Southampton,25.0,5.0,1,0,0,4,8,1,5,0,2,,,0
Nathan Broadhead,WAL,MF,Ipswich Town,26.0,7.8,1,0,0,4,13,2,9,4,4,,,0
Armando Broja,ALB,FW,Everton,22.0,3.7,1,0,0,6,4,3,1,1,1,,,0
David Brooks,WAL,MF,Bournemouth,27.0,10.7,3,0,0,11,18,0,51,5,6,,,0
Emi BuendГ­a,ARG,"FW,MF",Aston Villa,27.0,1.1,1,0,0,4,6,0,0,0,5,,,0
Santiago Bueno,URU,DF,Wolves,25.0,18.7,2,0,0,27,5,0,0,13,20,,,0
Facundo Buonanotte,ARG,"MF,FW",Leicester City,19.0,16.9,8,0,0,36,35,3,43,13,33,,,0
Cameron Burgess,AUS,DF,Ipswich Town,28.0,17.1,0,0,0,6,4,1,0,10,13,,,0
Dan Burn,ENG,DF,Newcastle United,32.0,37.0,11,0,0,34,12,5,3,27,25,,,2
Wes Burns,WAL,MF,Ipswich Town,29.0,10.3,1,0,0,4,11,0,45,10,11,,,0
Nathan Butler-Oyedeji,ENG,FW,Arsenal,21.0,0.1,0,0,0,0,0,0,0,0,0,,,0
MoisГ©s Caicedo,ECU,"MF,DF",Chelsea,22.0,37.2,11,0,0,69,58,0,10,47,74,,,0
Tom Cairney,SCO,MF,Fulham,33.0,7.0,3,1,0,8,19,0,20,4,4,,,0
Jens Cajuste,SWE,MF,Ipswich Town,24.0,21.8,2,0,0,23,22,0,10,29,22,,,0
Riccardo Calafiori,ITA,DF,Arsenal,22.0,10.9,4,0,0,15,6,3,11,8,18,,,0
Dominic Calvert-Lewin,ENG,FW,Everton,27.0,17.9,2,0,0,27,23,27,6,7,7,,,0
Diego Carlos,BRA,DF,Aston Villa,31.0,9.2,1,0,0,11,1,1,0,5,2,,,0
Fabio Carvalho,POR,"FW,MF",Brentford,21.0,5.1,1,0,0,5,10,1,10,3,9,,,0
Casemiro,BRA,MF,Manchester Utd,32.0,16.6,5,0,0,20,19,3,20,15,52,,,0
Kaelan Casey,ENG,DF,West Ham United,19.0,0.0,0,0,0,0,0,0,0,0,0,,,0
Matty Cash,POL,DF,Aston Villa,26.0,23.0,7,0,0,27,20,1,40,22,31,,,0
Eiran Cashin,IRL,DF,Brighton,22.0,0.2,0,0,0,0,0,0,1,0,0,,,0
Timothy Castagne,BEL,"DF,MF",Fulham,28.0,18.3,1,0,0,15,6,1,38,23,31,,,0
Trevoh Chalobah,ENG,DF,Chelsea,25.0,21.9,3,0,0,19,22,1,10,29,22,,,0
Conor Chaplin,ENG,"MF,FW",Ipswich Town,27.0,9.5,2,0,0,11,7,0,9,3,5,,,0
Youssef Chermiti,POR,FW,Everton,20.0,0.5,1,0,0,1,1,2,1,0,0,,,0
Federico Chiesa,ITA,FW,Liverpool,26.0,1.2,0,0,0,3,2,0,2,0,0,,,0
