Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Max Aarons,ENG,DF,Bournemouth,24.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Joshua Acheampong,ENG,DF,Chelsea,18.0,1.9,0,2,0,0.0,1.06,0.0,0.0,0.0,0,0
Tyler Adams,USA,MF,Bournemouth,25.0,21.8,0,9,2,22.2,0.41,0.09,0.0,0.0,0,0
Tosin Adarabioyo,ENG,DF,Chelsea,26.0,15.7,1,13,2,15.4,0.83,0.13,0.08,0.5,0,0
Simon Adingra,CIV,MF,Brighton,22.0,12.2,2,33,8,24.2,2.71,0.66,0.06,0.25,0,0
Emmanuel Agbadou,CIV,DF,Wolves,27.0,15.7,1,7,2,28.6,0.45,0.13,0.14,0.5,0,0
Asher Agbinone,ENG,MF,Crystal Palace,18.0,0.1,0,1,0,0.0,15.0,0.0,0.0,0.0,0,0
Ola Aina,NGA,DF,Nottingham Forest,27.0,33.3,2,11,2,18.2,0.33,0.06,0.18,1.0,0,0
Rayan AГЇt-Nouri,ALG,"MF,DF",Wolves,23.0,34.5,4,36,13,36.1,1.04,0.38,0.11,0.31,0,0
Kristoffer Ajer,NOR,DF,Brentford,26.0,16.0,0,9,3,33.3,0.56,0.19,0.0,0.0,0,0
Manuel Akanji,SUI,"DF,MF",Manchester City,29.0,22.4,0,15,2,13.3,0.67,0.09,0.0,0.0,0,0
Nathan AkГ©,NED,DF,Manchester City,29.0,7.5,0,3,0,0.0,0.4,0.0,0.0,0.0,0,0
Carlos Alcaraz,ARG,MF,Everton,21.0,8.6,2,27,12,44.44,3.14,1.4,0.07,0.17,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,25.0,26.3,3,45,8,17.8,1.71,0.3,0.07,0.38,0,0
Alisson,BRA,GK,Liverpool,31.0,27.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Miguel AlmirГіn,PAR,FW,Newcastle United,30.0,1.7,0,6,2,33.3,3.44,1.15,0.0,0.0,0,0
Olabade Aluko,0,DF,Leicester City,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Edson ГЃlvarez,MEX,MF,West Ham United,26.0,19.7,0,12,1,8.3,0.61,0.05,0.0,0.0,0,0
Will Alves,ENG,MF,Leicester City,19.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Harry Amass,ENG,MF,Manchester Utd,17.0,3.8,0,3,0,0.0,0.78,0.0,0.0,0.0,0,0
