Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value
Emil Audero,IDN,GK,Como,27,8,8,720,8.0,18,2.25,31,17,54.8,2,2,4,0,0.0,4,4,0,0,0.0,3.2
Jean Butez,FRA,GK,Como,29,19,18,1666,18.5,20,1.08,67,49,73.1,8,4,6,5,27.8,2,2,0,0,0.0,3.5
Elia Caprile,ITA,GK,Cagliari,22,22,21,1945,21.6,23,1.06,75,53,70.67,8,4,9,8,0.38,1,1,0,0,0.0,9.0
Marco Carnesecchi,ITA,GK,Atalanta,24,34,34,3060,34.0,34,1.0,130,98,75.4,19,7,8,13,38.2,2,2,0,0,0.0,25.0
Leandro Chichizola,ARG,GK,Parma,34,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,0.0,0.25
Giuseppe Ciocci,ITA,GK,Cagliari,22,1,0,9,0.1,0,0.0,0,0,,0,0,0,0,,0,0,0,0,0.0,0.1
Michele Di Gregorio,ITA,GK,Juventus,27,33,33,2970,33.0,32,0.97,99,71,72.7,16,13,4,14,42.4,5,5,0,0,0.0,18.0
Wladimiro Falcone,ITA,GK,Lecce,29,38,38,3420,38.0,58,1.53,177,127,71.8,8,10,20,9,23.7,10,8,1,1,11.1,3.5
David de Gea,ESP,GK,Fiorentina,33,35,35,3150,35.0,38,1.09,131,96,71.8,19,5,11,11,31.4,3,1,2,0,66.7,5.0
Pierluigi Gollini,ITA,GK,Genoa,29,7,7,630,7.0,15,2.14,28,17,57.1,1,2,4,1,14.3,4,3,1,0,25.0,1.0
Jesse Joronen,FIN,GK,Venezia,31,8,7,703,7.8,15,1.92,39,27,69.2,1,1,5,2,28.6,3,3,0,0,0.0,0.5
Nicola Leali,ITA,GK,Genoa,31,29,29,2610,29.0,31,1.07,112,83,75.0,8,10,11,10,34.5,4,3,1,0,25.0,1.5
Mike Maignan,FRA,GK,Milan,29,37,37,3294,36.6,41,1.12,137,98,70.8,17,9,11,13,35.1,2,1,1,0,50.0,25.0
Christos Mandas,GRE,GK,Lazio,22,9,9,810,9.0,7,0.78,27,20,74.1,3,5,1,4,44.4,0,0,0,0,0.0,10.0
Josep Martinez,ESP,GK,Inter,26,5,5,450,5.0,3,0.6,15,12,80.0,4,1,0,3,60.0,0,0,0,0,0.0,12.0
Andrea Mazza,ITA,GK,Monza,20,1,0,8,0.1,0,0.0,0,0,,0,0,0,0,,0,0,0,0,0.0,0.075
Alex Meret,ITA,GK,Napoli,27,34,34,3005,33.4,25,0.75,81,59,70.4,21,9,4,17,50.0,4,1,2,1,66.7,18.0
Vanja Milinkovic-Savic,SRB,GK,Torino,27,37,37,3330,37.0,42,1.14,166,131,76.5,10,14,13,10,27.0,7,3,4,0,57.1,16.0
Lorenzo Montipo,ITA,GK,Hellas Verona,28,36,36,3240,36.0,64,1.78,161,100,61.5,9,7,20,8,22.2,4,2,1,1,33.3,2.0
Juan Musso,ARG,GK,Atalanta,30,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,0.0,3.5
Maduka Okoye,NGA,GK,Udinese,24,25,25,2250,25.0,40,1.6,109,73,67.0,6,4,15,4,16.0,5,4,0,1,0.0,7.5
Daniele Padelli,ITA,GK,Udinese,38,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,0.0,0.15
Alberto Paleari,ITA,GK,Torino,31,1,1,90,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,0.0,0.5
Rui Patricio,POR,GK,Atalanta,36,3,3,270,3.0,3,1.0,14,11,78.6,2,1,0,1,33.3,0,0,0,0,0.0,0.8
Simone Perilli,ITA,GK,Hellas Verona,29,2,2,180,2.0,2,1.0,11,9,81.8,1,0,1,0,0.0,0,0,0,0,0.0,0.4
Mattia Perin,ITA,GK,Juventus,31,5,5,450,5.0,3,0.6,16,13,81.3,2,3,0,3,60.0,0,0,0,0,0.0,2.5
Semuel Pizzignacco,ITA,GK,Monza,22,9,8,736,8.2,17,2.08,40,23,57.5,1,2,5,1,12.5,0,0,0,0,0.0,0.8
Ivan Provedel,ITA,GK,Lazio,30,29,29,2610,29.0,42,1.45,91,53,58.2,15,6,8,5,17.2,4,4,0,0,0.0,3.0
Ionut Radu,ROU,GK,Venezia,27,15,15,1350,15.0,18,1.2,63,47,76.2,2,7,6,4,26.7,3,3,0,0,0.0,2.5
Federico Ravaglia,ITA,GK,Bologna,24,12,11,1056,11.7,14,1.19,23,10,43.5,5,2,4,4,36.4,1,1,0,0,0.0,1.5
Pepe Reina,ESP,GK,Como,41,12,12,1034,11.5,14,1.22,41,28,68.3,3,4,5,2,16.7,1,1,0,0,0.0,0.5
Razvan Sava,ROU,GK,Udinese,22,12,12,1080,12.0,16,1.33,51,38,74.5,5,4,3,4,33.3,3,3,0,0,0.0,2.5
Simone Scuffet,ITA,GK,Napoli,28,14,14,1260,14.0,24,1.71,55,36,65.45,3,4,7,1,0.07,5,5,0,0,0.0,2.0
Jacopo Seghetti,ITA,GK,Empoli,19,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,0.0,1.0
Alen Sherri,ALB,GK,Cagliari,26,7,7,621,6.9,11,1.59,31,20,64.5,1,2,4,1,14.3,0,0,0,0,0.0,1.0
Benjamin Siegrist,SUI,GK,Genoa,32,2,2,152,1.7,2,1.18,12,10,83.3,1,1,0,0,0.0,0,0,0,0,0.0,0.65
Marco Silvestri,ITA,GK,Empoli,33,5,5,450,5.0,11,2.2,27,16,59.3,0,1,4,0,0.0,0,0,0,0,0.0,0.5
Lukasz Skorupski,POL,GK,Bologna,33,27,27,2364,26.3,33,1.26,83,51,61.4,11,12,4,8,29.6,2,1,1,0,50.0,2.5
Daniele Sommariva,ITA,GK,Genoa,27,1,0,28,0.3,1,3.21,3,2,66.7,0,0,0,0,,0,0,0,0,0.0,0.1
Yann Sommer,SUI,GK,Inter,35,33,33,2970,33.0,32,0.97,112,84,74.1,20,8,5,13,39.4,4,3,1,0,25.0,4.0
Marco Sportiello,ITA,GK,Milan,32,2,1,126,1.4,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0,0.0,1.0
Filip Stankovic,SRB,GK,Venezia,22,16,16,1367,15.2,23,1.51,79,61,75.9,2,6,8,0,0.0,5,4,1,0,20.0,6.0
Zion Suzuki,JPN,GK,Parma,21,36,36,3240,36.8,53,1.47,143,95,66.4,7,15,14,7,19.4,5,5,0,0,0.0,20.0
Mile Svilar,SRB,GK,Roma,24,38,38,3420,38.0,35,0.92,149,118,79.2,20,9,9,16,42.1,4,4,0,0,0.0,25.0
Pietro Terracciano,ITA,GK,Fiorentina,34,3,3,270,3.0,3,1.0,14,10,78.6,0,3,0,1,33.3,0,0,0,0,0.0,1.0
Stefano Turati,ITA,GK,Monza,22,30,30,2676,29.7,52,1.75,141,93,64.5,2,7,21,2,6.7,4,2,2,0,50.0,6.5
Devis Vasquez,COL,GK,Empoli,26,32,32,2880,32.0,45,1.41,125,82,64.8,6,12,14,6,18.8,2,1,1,0,50.0,2.0
