Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
James Abankwah,IRL,DF,Udinese,20,1.0,1,0,0,4,3,0,0,1,1,,,0
Saud Abdulhamid,KSA,MF,Roma,25,2.3,0,0,0,2,5,0,7,2,2,,,0
Oliver Abildgaard,DEN,MF,Como,28,0.1,0,0,0,0,1,0,0,0,0,,,0
Tammy Abraham,ENG,FW,Milan,26,13.1,1,0,0,23,12,6,3,2,11,,,0
Federico Accornero,ITA,MF,Genoa,20,0.1,0,0,0,0,0,0,1,0,0,,,0
Francesco Acerbi,ITA,DF,Inter,36,19.0,0,0,0,11,18,2,10,28,17,,,0
Che Adams,SCO,FW,Torino,28,29.5,2,0,0,29,40,23,10,1,6,,,0
Yacine Adli,FRA,MF,Fiorentina,24,13.7,3,1,1,9,20,0,62,5,20,,,0
Vasilije AdЕѕiД‡,MNE,MF,Juventus,18,0.5,0,0,0,1,1,0,0,0,2,,,0
Michel Aebischer,SUI,MF,Bologna,27,8.0,2,0,0,16,16,0,13,7,13,,,0
Honest Ahanor,ITA,"MF,DF",Genoa,16,3.0,0,0,0,2,8,0,4,1,4,,,0
Junior Ajayi,CIV,FW,Hellas Verona,19,0.1,0,0,0,1,1,0,0,0,0,,,0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,31,10.7,4,0,0,24,18,0,6,11,19,,,0
David Akpan Ankeye,NGA,FW,Genoa,22,0.5,0,0,0,3,1,0,0,0,0,,,0
Faride Alidou,GER,FW,Hellas Verona,23,0.8,0,0,0,1,0,0,3,1,0,,,0
Dele Alli,ENG,"FW,MF",Como,28,0.1,0,1,0,1,0,0,0,0,0,,,0
Pontus Almqvist,SWE,"FW,MF",Parma,25,12.4,5,0,0,15,15,2,11,20,14,,,0
Giorgio Altare,ITA,DF,Venezia,25,8.4,2,0,0,10,2,0,7,18,12,,,1
Sofyan Amrabat,MAR,MF,Fiorentina,27,2.0,0,0,0,4,1,0,3,0,2,,,0
AngeliГ±o,ESP,"MF,DF",Roma,27,35.3,1,0,0,32,33,5,119,28,24,,,0
Lorenzo AnghelГЁ,ITA,FW,Juventus,19,0.1,0,0,0,0,0,0,0,0,0,,,0
Faustino Anjorin,ENG,MF,Empoli,22,12.4,3,0,0,24,19,0,17,13,15,,,0
Marko ArnautoviД‡,AUT,FW,Inter,35,6.1,1,0,0,4,6,8,5,1,6,,,0
Kristjan Asllani,ALB,MF,Inter,22,11.0,4,0,0,9,19,0,41,8,4,,,0
Arthur Atta,FRA,"MF,FW",Udinese,21,13.9,5,0,0,15,14,1,24,7,10,,,0
Emil Audero,IDN,GK,Como,27,8.0,0,0,0,0,1,0,0,0,0,,,0
Tommaso Augello,ITA,"MF,DF",Cagliari,29,30.1,3,0,0,15,11,3,208,14,27,,,0
Carlos Augusto,BRA,"DF,MF",Inter,25,18.8,1,0,0,10,12,3,21,11,14,,,0
Yann Aurel Bisseck,GER,DF,Inter,23,18.3,4,0,0,16,9,1,8,18,13,,,0
Paulo Azzi,BRA,MF,Cagliari,30,4.7,2,0,0,5,3,0,22,4,9,,,0
Oussama El Azzouzi,MAR,MF,Bologna,23,0.2,0,0,0,0,2,0,0,2,0,,,0
Jacopo Bacci,ITA,MF,Empoli,19,0.3,0,0,0,0,1,0,0,1,0,,,0
Milan Badelj,CRO,MF,Genoa,35,16.4,2,0,0,18,19,0,5,22,16,,,0
Mitchel Bakker,NED,"DF,MF",Atalanta,24,0.2,0,0,0,1,0,0,1,0,0,,,0
Tommaso Baldanzi,ITA,"MF,FW",Roma,21,9.2,2,0,0,7,16,0,6,6,6,,,0
Keita BaldГ©,SEN,FW,Monza,29,7.1,2,0,0,7,23,3,6,2,1,,,0
Botond Balogh,HUN,DF,Parma,22,22.8,5,0,0,17,7,0,1,25,17,,,0
Mario Balotelli,ITA,FW,Genoa,33,0.7,2,0,0,2,2,0,3,0,0,,,0
Lameck Banda,ZAM,"MF,FW",Lecce,23,6.8,1,0,0,10,20,2,23,3,5,,,0
Daniel Bandeira,POR,MF,Hellas Verona,24,4.5,1,0,0,4,4,0,8,5,0,,,0
Mattia Bani,ITA,DF,Genoa,30,16.7,3,0,0,7,11,1,4,21,11,,,0
AntonГ­n BarГЎk,CZE,MF,Fiorentina,29,0.6,0,0,0,0,0,0,1,0,0,,,0
Federico Barba,ITA,DF,Como,30,4.8,0,0,0,3,1,0,3,4,2,,,0
NicolГІ Barella,ITA,MF,Inter,27,27.7,4,0,0,25,33,4,67,12,31,,,0
Davide Bartesaghi,ITA,DF,Milan,18,1.3,0,1,0,1,0,1,10,3,2,,,0
Federico Baschirotto,ITA,DF,Lecce,27,38.0,3,0,0,31,7,0,5,22,26,,,0
Daniele Baselli,ITA,MF,Como,32,0.2,0,0,0,0,1,0,0,1,0,,,0
Alessandro Bastoni,ITA,DF,Inter,25,26.7,6,1,1,44,39,1,62,23,23,,,0
Reda Belahyane,MAR,MF,Lazio,20,20.599999999999998,6,2,1,35,10,0,3,11,32,,,0
Raoul Bellanova,ITA,MF,Atalanta,24,27.7,3,0,0,16,34,0,160,19,13,,,0
Andrea Belotti,ITA,FW,Como,30,6.6,1,0,0,9,19,5,5,1,5,,,0
Lucas BeltrГЎn,ARG,"MF,FW",Fiorentina,23,21.7,6,0,0,32,50,4,7,5,11,,,0
Adrian Benedyczak,POL,MF,Parma,23,2.4,0,0,0,4,5,1,1,0,0,,,0
IsmaГ«l Bennacer,ALG,MF,Milan,26,3.3,2,0,0,5,5,0,6,3,4,,,0
Medon Berisha,ALB,MF,Lecce,20,8.0,5,0,0,16,11,0,29,11,8,,,0
Adrian Bernabe,ESP,MF,Parma,23,16.1,1,0,0,9,36,0,29,7,19,,,0
Antoine Bernede,FRA,MF,Hellas Verona,25,6.6,2,0,0,16,4,0,14,5,8,,,0
Sam Beukema,NED,DF,Bologna,25,33.5,1,0,0,28,36,2,8,30,28,,,0
Alessandro Bianco,ITA,MF,Fiorentina,21,29.099999999999998,9,0,0,43,55,3,23,24,29,,,0
Jaka Bijol,SVN,DF,Udinese,25,32.9,13,1,1,49,8,2,2,36,26,,,1
Philip Billing,DEN,MF,Napoli,28,2.2,1,0,0,10,1,0,2,4,6,,,0
Cristiano Biraghi,ITA,"DF,MF",Fiorentina,31,17.7,1,0,0,13,19,2,136,11,14,,,1
Samuele Birindelli,ITA,MF,Monza,25,16.3,2,0,0,16,15,5,65,10,14,,,0
Bjarki Bjarkason,ISL,MF,Venezia,24,1.8,2,0,0,2,8,0,7,3,2,,,0
Emil Bohinen,NOR,MF,Genoa,25,1.8,0,0,0,3,3,0,0,1,4,,,0
Warren Bondo,FRA,MF,Milan,20,19.8,6,1,1,32,40,1,8,6,28,,,0
Kevin Bonifazi,ITA,DF,Lecce,28,0.7,0,0,0,0,0,0,0,3,1,,,0
Ange-Yoan Bonny,FRA,FW,Parma,20,28.1,2,0,0,20,47,14,14,3,18,,,0
Edoardo Bove,ITA,MF,Fiorentina,22,9.5,3,0,0,16,21,0,2,6,16,,,0
Domagoj BradariД‡,CRO,"MF,DF",Hellas Verona,24,21.5,6,0,0,21,14,3,79,16,30,,,0
Matthias BraunГ¶der,AUT,MF,Como,22,3.0,3,1,1,10,5,0,0,2,4,,,0
Iker Bravo,ESP,FW,Udinese,19,7.6,3,0,0,12,10,2,8,1,5,,,0
Gleison Bremer,BRA,DF,Juventus,27,6.0,2,0,0,9,5,0,0,6,8,,,0
Brenner,BRA,"MF,FW",Udinese,24,4.3,0,0,0,0,5,0,11,1,4,,,0
Marco Brescianini,ITA,MF,Atalanta,24,11.0,1,0,0,22,9,2,19,2,11,,,0
Arvid Brorsson,SWE,DF,Monza,25,4.0,0,0,0,1,4,0,0,2,3,,,0
Tajon Buchanan,CAN,"DF,MF",Inter,25,1.1,0,0,0,2,4,0,3,0,0,,,0
Alessandro Buongiorno,ITA,DF,Napoli,25,21.4,2,0,0,17,21,1,2,33,23,,,0
