Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
James Abankwah,IRL,"DF,MF",Udinese,20,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,1.0,0,4,3,0,0,1,1,0,1,0,0.0,1.02,0.0,0.0,0.0
Saud Abdulhamid,KSA,DF,Roma,25,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.0,0.44,0.44,0.0,0.44,0.01,0.08,0.09,0.01,0.09,3.0,0,2,5,0,7,2,2,0,1,0,0.0,0.44,0.0,0.0,0.0
Oliver Abildgaard,DEN,MF,Como,28,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Tammy Abraham,ENG,FW,Milan,26,29,12,1184,13.1,3,4,7,2,1,2,1,0,7.1,5.4,2.2,7.6,8,27,71,0.23,0.31,0.53,0.15,0.46,0.54,0.17,0.71,0.41,0.58,15.0,0,23,12,6,3,2,11,0,28,13,46.43,2.14,0.99,0.11,0.23
Federico Accornero,ITA,MF,Genoa,20,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Francesco Acerbi,ITA,DF,Inter,36,23,20,1710,19.0,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1.0,19,62,22,0.0,0.05,0.05,0.0,0.05,0.02,0.03,0.05,0.02,0.05,3.0,0,11,18,2,10,28,17,0,5,1,20.0,0.26,0.05,0.0,0.0
Che Adams,SCO,FW,Torino,28,36,30,2652,29.5,9,3,12,9,0,1,2,0,9.0,8.2,2.0,10.2,23,40,153,0.31,0.1,0.41,0.31,0.41,0.31,0.07,0.37,0.28,0.35,15.0,0,29,40,23,10,1,6,0,64,26,40.6,2.17,0.88,0.14,0.35
Yacine Adli,FRA,MF,Fiorentina,24,26,15,1234,13.7,4,6,10,4,0,0,3,1,1.0,1.0,2.4,3.4,24,103,30,0.29,0.44,0.73,0.29,0.73,0.08,0.17,0.25,0.08,0.25,11.0,1,9,20,0,62,5,20,0,14,5,35.7,1.02,0.36,0.29,0.8
Vasilije Adzic,MNE,"MF,FW",Juventus,18,6,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,4.0,0,1,1,0,0,0,2,0,1,1,100.0,2.14,2.14,0.0,0.0
Michel Aebischer,SUI,MF,Bologna,27,14,9,724,8.0,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,8,33,17,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,7.5,0,16,16,0,13,7,13,0,10,5,50.0,1.24,0.62,0.0,0.0
