Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
James Abankwah,IRL,DF,Udinese,20,1.0,0,1,0,0.0,1.02,0.0,0.0,0.0,0,0
Saud Abdulhamid,KSA,MF,Roma,25,2.3,0,1,0,0.0,0.44,0.0,0.0,0.0,0,0
Oliver Abildgaard,DEN,MF,Como,28,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Tammy Abraham,ENG,FW,Milan,26,13.1,3,28,13,46.43,2.14,0.99,0.11,0.23,1,2
Federico Accornero,ITA,MF,Genoa,20,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Francesco Acerbi,ITA,DF,Inter,36,19.0,0,5,1,20.0,0.26,0.05,0.0,0.0,0,0
Che Adams,SCO,FW,Torino,28,29.5,9,64,26,40.6,2.17,0.88,0.14,0.35,0,1
Yacine Adli,FRA,MF,Fiorentina,24,13.7,4,14,5,35.7,1.02,0.36,0.29,0.8,0,0
Vasilije AdЕѕiД‡,MNE,MF,Juventus,18,0.5,0,1,1,100.0,2.14,2.14,0.0,0.0,0,0
Michel Aebischer,SUI,MF,Bologna,27,8.0,0,10,5,50.0,1.24,0.62,0.0,0.0,0,0
Honest Ahanor,ITA,"MF,DF",Genoa,16,3.0,0,3,1,33.3,1.0,0.33,0.0,0.0,0,0
Junior Ajayi,CIV,FW,Hellas Verona,19,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Jean-Daniel Akpa-Akpro,CIV,MF,Monza,31,10.7,0,4,2,50.0,0.37,0.19,0.0,0.0,0,0
David Akpan Ankeye,NGA,FW,Genoa,22,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Faride Alidou,GER,FW,Hellas Verona,23,0.8,0,1,0,0.0,1.27,0.0,0.0,0.0,0,0
Dele Alli,ENG,"FW,MF",Como,28,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Pontus Almqvist,SWE,"FW,MF",Parma,25,12.4,1,26,10,38.5,2.1,0.81,0.04,0.1,0,0
Giorgio Altare,ITA,DF,Venezia,25,8.4,0,3,1,33.3,0.36,0.12,0.0,0.0,0,0
