Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Junior Adamu,AUT,FW,Freiburg,23,17.2,5,1,0,37,22,17,5,11,3,,,0
Karim Adeyemi,GER,"MF,FW",Dortmund,22,15.9,4,0,0,27,18,4,27,8,13,,,0
Amine Adli,MAR,"MF,FW",Leverkusen,24,8.5,3,0,0,15,9,7,33,1,9,,,0
Oladapo Afolayan,ENG,"FW,MF",St Pauli,26,18.2,3,0,0,21,42,9,50,8,8,,,0
Felix Agu,NGA,MF,Werder Bremen,24,19.5,1,0,0,11,43,4,50,19,16,,,1
Erik Ahlstrand,SWE,MF,St Pauli,22,0.5,0,0,0,0,0,1,0,1,0,,,0
Kevin Akpoguma,NGA,DF,Hoffenheim,29,24.7,3,0,0,24,23,1,12,25,26,,,0
Andreas Albers,DEN,"FW,MF",St Pauli,34,0.7,0,0,0,3,2,0,0,0,0,,,0
Ben Alexander Voll,GER,GK,St Pauli,23,1.0,1,0,0,0,0,0,0,0,0,,,0
Skelly Alvero,FRA,MF,Werder Bremen,22,2.6,1,0,0,7,5,0,0,2,6,,,0
Aurele Amenda,SUI,DF,Eintracht Frankfurt,21,1.1,1,0,0,3,2,0,0,2,0,,,0
Nadiem Amiri,GER,MF,Mainz 05,27,27.5,9,2,1,44,51,2,165,19,28,,,0
Mohamed Amoura,ALG,"FW,MF",Wolfsburg,24,27.4,6,0,0,31,20,23,36,9,21,,,0
Robert Andrich,GER,"MF,DF",Leverkusen,29,17.8,7,0,0,29,17,0,12,27,12,,,0
Waldemar Anton,GER,DF,Dortmund,28,21.7,4,0,0,20,20,1,23,32,21,,,1
Maximilian Arnold,GER,MF,Wolfsburg,30,26.2,7,1,0,30,52,0,153,24,21,,,0
Jann-Fiete Arp,GER,FW,Holstein Kiel,24,7.9,8,1,1,20,18,2,24,3,10,,,0
Arthur,BRA,"MF,DF",Leverkusen,21,8.4,1,0,0,20,6,0,16,9,12,,,0
Noah Atubolu,GER,GK,Freiburg,22,25.6,2,0,0,0,0,0,0,0,0,,,0
Ayman Azhil,MAR,MF,Dortmund,23,0.3,1,0,0,2,0,1,0,0,1,,,0
Adam Aznou,MAR,DF,Bayern Munich,18,0.2,0,0,0,0,0,0,1,0,0,,,0
Aliou Badara BaldГ©,GUI,FW,Bochum,21,1.0,1,0,0,1,0,2,4,0,1,,,0
Ridle Baku,GER,MF,RB Leipzig,26,27.2,3,0,0,26,24,4,69,25,35,,,0
Samuel Bamba,GER,FW,Bochum,20,0.3,0,0,0,0,1,1,5,0,1,,,0
Noahkai Banks,USA,DF,Augsburg,17,3.1,2,0,0,2,1,0,2,5,5,,,1
Scott Banks,SCO,MF,St Pauli,22,1.3,1,0,0,2,4,0,6,2,1,,,0
Aymen Barkok,MAR,MF,Mainz 05,26,0.8,0,0,0,2,1,0,5,2,1,,,0
Michy Batshuayi,BEL,FW,Eintracht Frankfurt,30,3.3,2,0,0,6,2,4,1,1,1,,,0
Maximilian Bauer,GER,DF,Augsburg,24,7.3,1,0,0,7,13,1,4,5,9,,,0
Oliver Baumann,GER,GK,Hoffenheim,34,28.0,1,0,0,0,6,0,0,0,2,,,0
Christoph Baumgartner,AUT,"MF,FW",RB Leipzig,24,17.9,5,0,0,44,29,4,14,12,25,,,0
Ihlas Bebou,TOG,"FW,MF",Hoffenheim,30,0.1,0,0,0,0,0,0,0,0,0,,,0
Adrian Beck,GER,"MF,FW",Heidenheim,27,17.8,1,0,0,16,14,2,31,9,17,,,0
Timo Becker,GER,"DF,MF",Holstein Kiel,27,27.2,2,0,0,9,9,0,22,17,35,,,0
Hannes Behrens,GER,DF,Hoffenheim,19,0.3,0,0,0,0,1,0,0,2,1,,,0
Kevin Behrens,GER,FW,Wolfsburg,33,1.9,2,0,0,4,1,0,0,1,1,,,0
Maximilian Beier,GER,"MF,FW",Dortmund,21,17.7,2,0,0,17,16,9,18,7,15,,,0
Stefan Bell,GER,DF,Mainz 05,32,16.0,4,0,0,24,10,3,0,28,11,,,0
JeanuГ«l Belocian,FRA,DF,Leverkusen,19,0.8,1,0,0,1,4,0,0,0,1,,,0
LГЎszlГі BГ©nes,SVK,"MF,FW",Union Berlin,26,6.5,4,0,0,10,4,1,49,4,3,,,0
Ramy Bensebaini,ALG,DF,Dortmund,29,22.5,6,0,0,28,24,0,35,27,27,,,0
Mergim Berisha,GER,FW,Augsburg,26,4.1000000000000005,2,0,0,7,5,3,4,0,2,,,0
Bernardo,BRA,DF,Bochum,29,19.8,5,0,0,24,11,0,15,26,26,,,0
Alexander Bernhardsson,SWE,"FW,MF",Holstein Kiel,25,14.0,3,0,0,21,15,2,34,5,14,,,0
MatГєЕЎ Bero,SVK,MF,Bochum,28,28.5,11,0,0,50,34,1,123,18,36,,,0
Jan-Niklas Beste,GER,"DF,MF",Freiburg,25,2.4,0,0,0,3,6,1,20,0,3,,,0
El Bilal TourГ©,MLI,FW,Stuttgart,22,4.0,0,0,0,9,3,1,0,0,1,,,0
Tom Bischof,GER,MF,Hoffenheim,19,28.4,5,0,0,46,33,1,145,32,54,,,0
Leonardo Bittencourt,GER,MF,Werder Bremen,30,10.9,3,0,0,15,19,2,23,15,8,,,0
Myron Boadu,NED,FW,Bochum,23,11.6,2,0,0,11,6,12,2,1,1,,,0
Sacha Boey,FRA,DF,Bayern Munich,23,6.6,1,0,0,7,7,0,12,2,6,,,0
Victor Boniface,NGA,FW,Leverkusen,23,11.2,2,0,0,14,8,6,6,0,4,,,0
Sebastiaan Bornauw,BEL,DF,Wolfsburg,25,8.8,2,0,0,12,2,0,1,12,6,,,0
Carlo Boukhalfa,MAR,MF,St Pauli,25,18.3,1,0,0,18,17,2,11,10,11,,,0
Julian Brandt,GER,MF,Dortmund,28,25.6,1,0,0,8,9,5,68,14,12,,,0
Tim Breithaupt,GER,MF,Augsburg,22,1.3,0,0,0,2,3,0,1,2,1,,,0
Maximilian Breunig,GER,FW,Heidenheim,23,3.9,0,0,0,8,5,1,1,1,4,,,0
Moritz Broschinski,GER,"FW,MF",Bochum,23,15.4,1,0,0,28,18,5,28,1,16,,,0
Nathaniel Brown,GER,"MF,DF",Eintracht Frankfurt,21,21.6,2,0,0,15,22,0,93,16,42,,,0
Jacob Bruun Larsen,DEN,MF,Stuttgart,25,9.0,1,0,0,4,4,9,36,2,4,,,0
Emi BuendГ­a,ARG,MF,Leverkusen,27,2.9,0,0,0,6,7,0,3,1,5,,,0
Marius BГјlter,GER,"MF,FW",Hoffenheim,31,19.2,4,0,0,11,36,6,86,4,10,,,0
Jonathan Burkardt,GER,FW,Mainz 05,24,23.4,0,0,0,23,24,11,27,1,7,,,0
Oliver Burke,SCO,FW,Werder Bremen,27,10.1,4,0,0,12,2,8,20,2,4,,,0
Marnon Busch,GER,"DF,MF",Heidenheim,29,15.5,1,0,0,8,7,0,50,14,15,,,0
Anthony Caci,FRA,MF,Mainz 05,27,29.8,6,0,0,37,11,15,134,27,37,,,0
Cole Campbell,USA,FW,Dortmund,18,0.2,0,0,0,1,1,0,1,0,0,,,0
Emre Can,GER,"DF,MF",Dortmund,30,23.4,4,1,0,25,19,0,10,20,27,,,0
Tiago Cardoso,LUX,GK,Gladbach,18,4.2,0,0,0,0,0,0,0,0,0,,,0
Abdoulie Ceesay,GAM,FW,St Pauli,20,0.7,1,0,0,2,3,0,0,0,3,,,0
Julian Chabot,GER,DF,Stuttgart,26,25.2,11,1,1,35,28,5,2,35,25,,,0
El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19,12.6,2,1,0,8,2,0,4,13,19,,,0
Fares ChaГЇbi,ALG,MF,Eintracht Frankfurt,21,11.3,2,0,0,5,7,1,72,10,10,,,0
Timothy Chandler,USA,"DF,MF",Eintracht Frankfurt,34,0.3,0,0,0,0,2,0,1,2,0,,,0
Anrie Chase,JPN,DF,Stuttgart,20,8.2,1,0,0,12,2,0,4,9,5,,,0
Arthur Chaves,BRA,DF,Hoffenheim,23,24.3,8,0,0,38,19,1,8,38,35,,,0
Fabio Chiarodia,ITA,DF,Gladbach,19,4.2,0,0,0,7,0,0,0,9,4,,,0
Carney Chukwuemeka,ENG,MF,Dortmund,20,2.8,1,0,0,4,5,1,1,1,5,,,0
Alexis Claude-Maurice,FRA,"MF,FW",Augsburg,26,23.4,4,0,0,26,42,3,21,15,26,,,0
Nnamdi Collins,GER,"DF,MF",Eintracht Frankfurt,20,16.5,4,0,0,26,22,0,17,18,24,,,0
Kingsley Coman,FRA,MF,Bayern Munich,28,14.2,0,0,0,9,12,8,47,8,11,,,0
Sirlord Conteh,GER,"MF,FW",Heidenheim,28,9.9,2,0,0,8,11,4,21,0,5,,,0
Danny da Costa,GER,DF,Mainz 05,31,22.3,0,0,0,19,4,0,22,29,24,,,0
Yan Couto,BRA,"DF,MF",Dortmund,22,9.9,5,0,0,12,7,0,53,10,16,,,0
TomГЎЕЎ ДЊvanДЌara,CZE,"MF,FW",Gladbach,23,9.2,5,1,1,11,6,1,15,4,0,,,0
Finn Dahmen,GER,GK,Augsburg,26,19.0,0,0,0,0,1,0,0,0,0,,,0
Thomas DГ¤hne,GER,GK,Holstein Kiel,30,9.0,0,0,0,1,1,0,0,0,0,,,0
Mahmoud Dahoud,GER,MF,Eintracht Frankfurt,28,4.0,2,0,0,10,2,0,4,2,4,,,0
Ameen Al-Dakhil,BEL,DF,Stuttgart,22,4.8,0,1,0,4,5,0,0,9,6,,,0
Bence DГЎrdai,HUN,MF,Wolfsburg,18,14.5,0,0,0,9,16,0,10,12,14,,,0
Lukas Daschner,GER,"FW,MF",Bochum,25,4.6,0,0,0,4,2,0,19,0,2,,,0
Alphonso Davies,CAN,DF,Bayern Munich,23,17.3,0,0,0,8,26,3,19,13,16,,,0
Olivier Deman,BEL,"FW,MF",Werder Bremen,24,0.7,1,0,0,1,2,0,6,4,3,,,0
Ermedin DemiroviД‡,BIH,FW,Stuttgart,26,20.6,2,0,0,24,27,18,3,1,7,,,0
Justin Diehl,GER,MF,Stuttgart,19,1.2,0,0,0,2,0,0,10,0,0,,,0
Eric Dier,ENG,DF,Bayern Munich,30,16.3,1,0,0,16,4,1,2,14,12,,,0
Junior Dina Ebimbe,CMR,MF,Eintracht Frankfurt,23,3.3,0,0,0,10,4,1,8,7,2,,,0
Eren DinkГ§i,GER,MF,Freiburg,22,13.3,1,0,0,9,6,1,16,7,14,,,0
Ritsu Doan,JPN,MF,Freiburg,26,31.8,2,0,0,27,56,8,80,14,43,,,0
Danilho Doekhi,NED,DF,Union Berlin,26,34.0,4,0,0,36,14,2,10,44,23,,,0
Niklas Dorsch,GER,MF,Heidenheim,26,15.200000000000001,5,1,0,15,22,0,37,16,18,,,0
Patrick Drewes,GER,GK,Bochum,31,21.0,2,0,0,1,3,0,0,0,0,,,0
Tim Drexler,GER,DF,Hoffenheim,19,4.0,2,0,0,8,2,0,1,0,8,,,0
Marvin Ducksch,GER,FW,Werder Bremen,30,26.9,3,0,0,6,17,14,169,7,6,,,0
Julien Duranville,BEL,MF,Dortmund,18,3.1,3,0,0,10,7,2,13,0,0,,,0
Adam DЕєwigaЕ‚a,POL,DF,St Pauli,28,4.1,2,1,0,5,3,0,3,3,10,,,0
Johannes Eggestein,GER,FW,St Pauli,26,20.6,3,0,0,12,12,14,35,0,4,,,0
Maximilian Eggestein,GER,MF,Freiburg,27,31.6,4,0,0,22,24,1,9,39,31,,,0
Hugo Ekitike,FRA,FW,Eintracht Frankfurt,22,28.5,1,0,0,39,17,19,17,5,12,,,0
