Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Junior Adamu,AUT,FW,Freiburg,23,25,19,1545,17.2,2,2,4,2,0,0,5,1,5.5,5.5,2.4,7.9,8,14,84,0.12,0.12,0.23,0.12,0.23,0.32,0.14,0.46,0.32,0.46,5.0,0,37,22,17,5,11,3,0,37,12,32.4,2.16,0.7,0.05,0.17
Karim Adeyemi,GER,"FW,MF",Dortmund,22,25,17,1433,15.9,7,6,13,7,0,0,4,0,5.5,5.5,6.0,11.5,68,28,153,0.44,0.38,0.82,0.44,0.82,0.34,0.38,0.72,0.34,0.72,45.0,0,27,18,4,27,8,13,0,46,18,39.1,2.89,1.13,0.15,0.39
Amine Adli,MAR,"MF,FW",Leverkusen,24,20,6,766,8.5,2,0,2,2,0,0,3,0,2.7,2.7,0.7,3.4,37,24,100,0.23,0.0,0.23,0.23,0.23,0.32,0.08,0.4,0.32,0.4,18.0,0,15,9,7,33,1,9,0,20,7,35.0,2.35,0.82,0.1,0.29
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,26,32,17,1639,18.2,3,1,4,3,0,0,3,0,3.1,3.1,3.8,7.0,53,32,108,0.16,0.05,0.22,0.16,0.22,0.17,0.21,0.38,0.17,0.38,4.0,0,21,42,9,50,8,8,0,38,13,34.2,2.09,0.71,0.08,0.23
Felix Agu,NGA,DF,Werder Bremen,24,22,21,1751,19.5,3,0,3,3,0,0,1,0,1.4,1.4,1.8,3.2,33,43,105,0.15,0.0,0.15,0.15,0.15,0.07,0.09,0.17,0.07,0.17,8.0,0,11,43,4,50,19,16,1,10,5,50.0,0.51,0.26,0.3,0.6
Erik Ahlstrand,SWE,"FW,MF",St. Pauli,22,5,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Kevin Akpoguma,NGA,DF,Hoffenheim,29,32,23,2220,24.7,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,14,98,16,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,2.5,0,24,23,1,12,25,26,0,5,1,20.0,0.2,0.04,0.0,0.0
Andreas Albers,DEN,FW,St. Pauli,34,14,0,62,0.7,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,1,3,6,1.45,0.0,1.45,1.45,1.45,0.9,0.14,1.04,0.9,1.04,0.3,0,3,2,0,0,0,0,0,3,1,33.3,4.35,1.45,0.33,1.0
Ben Alexander Voll,GER,GK,St. Pauli,23,2,1,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Skelly Alvero,FRA,MF,Werder Bremen,22,12,1,236,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,2.5,0,7,5,0,0,2,6,0,1,0,0.0,0.38,0.0,0.0,0.0
