Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Junior Adamu,AUT,FW,Freiburg,23,17.2,2,37,12,32.4,2.16,0.7,0.05,0.17,0,0
Karim Adeyemi,GER,"MF,FW",Dortmund,22,15.9,7,46,18,39.1,2.89,1.13,0.15,0.39,0,0
Amine Adli,MAR,"MF,FW",Leverkusen,24,8.5,2,20,7,35.0,2.35,0.82,0.1,0.29,0,0
Oladapo Afolayan,ENG,"FW,MF",St Pauli,26,18.2,3,38,13,34.2,2.09,0.71,0.08,0.23,0,0
Felix Agu,NGA,MF,Werder Bremen,24,19.5,3,10,5,50.0,0.51,0.26,0.3,0.6,0,0
Erik Ahlstrand,SWE,MF,St Pauli,22,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,29,24.7,0,5,1,20.0,0.2,0.04,0.0,0.0,0,0
Andreas Albers,DEN,"FW,MF",St Pauli,34,0.7,1,3,1,33.3,4.35,1.45,0.33,1.0,0,0
Ben Alexander Voll,GER,GK,St Pauli,23,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Skelly Alvero,FRA,MF,Werder Bremen,22,2.6,0,1,0,0.0,0.38,0.0,0.0,0.0,0,0
Aurele Amenda,SUI,DF,Eintracht Frankfurt,21,1.1,0,1,0,0.0,0.94,0.0,0.0,0.0,0,0
Nadiem Amiri,GER,MF,Mainz 05,27,27.5,7,62,26,41.9,2.26,0.95,0.08,0.19,2,2
Mohamed Amoura,ALG,"FW,MF",Wolfsburg,24,27.4,10,76,28,36.8,2.77,1.02,0.11,0.29,2,2
Robert Andrich,GER,"MF,DF",Leverkusen,29,17.8,2,21,5,23.8,1.18,0.28,0.1,0.4,0,0
Waldemar Anton,GER,DF,Dortmund,28,21.7,2,19,3,15.8,0.88,0.14,0.11,0.67,0,0
Maximilian Arnold,GER,MF,Wolfsburg,30,26.2,3,27,12,44.4,1.03,0.46,0.11,0.25,0,0
Jann-Fiete Arp,GER,FW,Holstein Kiel,24,7.9,2,22,11,50.0,2.78,1.39,0.05,0.09,1,2
Arthur,BRA,"MF,DF",Leverkusen,21,8.4,0,1,0,0.0,0.12,0.0,0.0,0.0,0,0
Noah Atubolu,GER,GK,Freiburg,22,25.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ayman Azhil,MAR,MF,Dortmund,23,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Adam Aznou,MAR,DF,Bayern Munich,18,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Aliou Badara BaldГ©,GUI,FW,Bochum,21,1.0,0,4,1,25.0,3.96,0.99,0.0,0.0,0,0
Ridle Baku,GER,MF,RB Leipzig,26,27.2,4,35,11,31.43,1.29,0.4,0.11,0.36,0,0
Samuel Bamba,GER,FW,Bochum,20,0.3,0,2,1,50.0,6.67,3.33,0.0,0.0,0,0
Noahkai Banks,USA,DF,Augsburg,17,3.1,0,1,0,0.0,0.32,0.0,0.0,0.0,0,0
Scott Banks,SCO,MF,St Pauli,22,1.3,0,3,0,0.0,2.33,0.0,0.0,0.0,0,0
Aymen Barkok,MAR,MF,Mainz 05,26,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Michy Batshuayi,BEL,FW,Eintracht Frankfurt,30,3.3,3,5,3,60.0,1.5,0.9,0.6,1.0,0,0
Maximilian Bauer,GER,DF,Augsburg,24,7.3,0,1,1,100.0,0.14,0.14,0.0,0.0,0,0
Oliver Baumann,GER,GK,Hoffenheim,34,28.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Christoph Baumgartner,AUT,"MF,FW",RB Leipzig,24,17.9,2,39,15,38.5,2.18,0.84,0.05,0.13,0,0
Ihlas Bebou,TOG,"FW,MF",Hoffenheim,30,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Adrian Beck,GER,"MF,FW",Heidenheim,27,17.8,4,39,13,33.3,2.2,0.73,0.1,0.31,0,0
Timo Becker,GER,"DF,MF",Holstein Kiel,27,27.2,0,17,4,23.5,0.63,0.15,0.0,0.0,0,0
Hannes Behrens,GER,DF,Hoffenheim,19,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Kevin Behrens,GER,FW,Wolfsburg,33,1.9,1,9,3,33.3,4.76,1.59,0.11,0.33,0,0
Maximilian Beier,GER,"MF,FW",Dortmund,21,17.7,8,42,13,31.0,2.38,0.74,0.19,0.62,0,0
Stefan Bell,GER,DF,Mainz 05,32,16.0,0,12,4,33.3,0.75,0.25,0.0,0.0,0,0
JeanuГ«l Belocian,FRA,DF,Leverkusen,19,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
LГЎszlГі BГ©nes,SVK,"MF,FW",Union Berlin,26,6.5,2,19,7,36.8,2.9,1.07,0.11,0.29,0,0
Ramy Bensebaini,ALG,DF,Dortmund,29,22.5,1,20,2,10.0,0.89,0.09,0.05,0.5,0,0
Mergim Berisha,GER,FW,Augsburg,26,4.1000000000000005,1,14,4,28.57,3.41,0.98,0.07,0.25,0,0
Bernardo,BRA,DF,Bochum,29,19.8,0,8,2,25.0,0.4,0.1,0.0,0.0,0,0
Alexander Bernhardsson,SWE,"FW,MF",Holstein Kiel,25,14.0,7,27,14,51.9,1.92,1.0,0.26,0.5,0,0
MatГєЕЎ Bero,SVK,MF,Bochum,28,28.5,5,32,13,40.6,1.12,0.46,0.16,0.38,0,1
Jan-Niklas Beste,GER,"DF,MF",Freiburg,25,2.4,0,6,2,33.3,2.55,0.85,0.0,0.0,0,0
El Bilal TourГ©,MLI,FW,Stuttgart,22,4.0,2,14,4,28.6,3.54,1.01,0.14,0.5,0,0
Tom Bischof,GER,MF,Hoffenheim,19,28.4,5,51,18,35.3,1.79,0.63,0.1,0.28,0,0
Leonardo Bittencourt,GER,MF,Werder Bremen,30,10.9,2,27,9,33.3,2.47,0.82,0.07,0.22,0,0
Myron Boadu,NED,FW,Bochum,23,11.6,9,28,15,53.6,2.42,1.3,0.29,0.53,1,1
Sacha Boey,FRA,DF,Bayern Munich,23,6.6,0,3,1,33.3,0.46,0.15,0.0,0.0,0,0
Victor Boniface,NGA,FW,Leverkusen,23,11.2,8,51,18,35.3,4.55,1.61,0.16,0.44,0,1
Sebastiaan Bornauw,BEL,DF,Wolfsburg,25,8.8,2,8,3,37.5,0.91,0.34,0.25,0.67,0,0
Carlo Boukhalfa,MAR,MF,St Pauli,25,18.3,2,21,4,19.0,1.15,0.22,0.1,0.5,0,0
Julian Brandt,GER,MF,Dortmund,28,25.6,5,45,15,33.3,1.76,0.59,0.11,0.33,0,0
Tim Breithaupt,GER,MF,Augsburg,22,1.3,0,1,0,0.0,0.75,0.0,0.0,0.0,0,0
Maximilian Breunig,GER,FW,Heidenheim,23,3.9,2,11,3,27.3,2.83,0.77,0.09,0.33,1,1
Moritz Broschinski,GER,"FW,MF",Bochum,23,15.4,1,38,12,31.6,2.46,0.78,0.03,0.08,0,0
Nathaniel Brown,GER,"MF,DF",Eintracht Frankfurt,21,21.6,3,13,5,38.5,0.6,0.23,0.23,0.6,0,0
Jacob Bruun Larsen,DEN,MF,Stuttgart,25,9.0,3,20,10,50.0,2.22,1.11,0.15,0.3,0,0
Emi BuendГ­a,ARG,MF,Leverkusen,27,2.9,2,7,4,57.1,2.45,1.4,0.29,0.5,0,0
Marius BГјlter,GER,"MF,FW",Hoffenheim,31,19.2,7,38,16,42.1,1.98,0.83,0.18,0.44,0,0
Jonathan Burkardt,GER,FW,Mainz 05,24,23.4,18,72,30,41.7,3.07,1.28,0.22,0.53,2,2
Oliver Burke,SCO,FW,Werder Bremen,27,10.1,5,35,13,37.1,3.47,1.29,0.14,0.38,0,0
Marnon Busch,GER,"DF,MF",Heidenheim,29,15.5,0,13,3,23.1,0.84,0.19,0.0,0.0,0,0
Anthony Caci,FRA,MF,Mainz 05,27,29.8,1,32,12,37.5,1.07,0.4,0.03,0.08,0,0
Cole Campbell,USA,FW,Dortmund,18,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Emre Can,GER,"DF,MF",Dortmund,30,23.4,3,9,3,33.3,0.38,0.13,0.11,0.33,2,2
Tiago Cardoso,LUX,GK,Gladbach,18,4.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Abdoulie Ceesay,GAM,FW,St Pauli,20,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Julian Chabot,GER,DF,Stuttgart,26,25.2,3,19,4,21.1,0.75,0.16,0.16,0.75,0,0
El Chadaille Bitshiabu,FRA,DF,RB Leipzig,19,12.6,0,5,3,60.0,0.4,0.24,0.0,0.0,0,0
Fares ChaГЇbi,ALG,MF,Eintracht Frankfurt,21,11.3,1,25,6,24.0,2.22,0.53,0.04,0.17,0,0
Timothy Chandler,USA,"DF,MF",Eintracht Frankfurt,34,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Anrie Chase,JPN,DF,Stuttgart,20,8.2,0,5,0,0.0,0.61,0.0,0.0,0.0,0,0
Arthur Chaves,BRA,DF,Hoffenheim,23,24.3,1,11,2,18.2,0.45,0.08,0.09,0.5,0,0
Fabio Chiarodia,ITA,DF,Gladbach,19,4.2,1,4,1,25.0,0.95,0.24,0.25,1.0,0,0
Carney Chukwuemeka,ENG,MF,Dortmund,20,2.8,1,8,2,25.0,2.85,0.71,0.13,0.5,0,0
Alexis Claude-Maurice,FRA,"MF,FW",Augsburg,26,23.4,9,59,22,37.3,2.52,0.94,0.15,0.41,0,0
Nnamdi Collins,GER,"DF,MF",Eintracht Frankfurt,20,16.5,1,5,2,40.0,0.3,0.12,0.2,0.5,0,0
Kingsley Coman,FRA,MF,Bayern Munich,28,14.2,5,44,17,38.6,3.09,1.19,0.11,0.29,0,0
Sirlord Conteh,GER,"MF,FW",Heidenheim,28,9.9,1,13,5,38.5,1.31,0.5,0.08,0.2,0,0
Danny da Costa,GER,DF,Mainz 05,31,22.3,0,5,1,20.0,0.22,0.04,0.0,0.0,0,0
Yan Couto,BRA,"DF,MF",Dortmund,22,9.9,0,6,2,33.3,0.6,0.2,0.0,0.0,0,0
TomГЎЕЎ ДЊvanДЌara,CZE,"MF,FW",Gladbach,23,9.2,2,24,9,37.5,2.6,0.97,0.08,0.22,0,0
Finn Dahmen,GER,GK,Augsburg,26,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Thomas DГ¤hne,GER,GK,Holstein Kiel,30,9.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Mahmoud Dahoud,GER,MF,Eintracht Frankfurt,28,4.0,1,7,2,28.6,1.73,0.49,0.14,0.5,0,0
Ameen Al-Dakhil,BEL,DF,Stuttgart,22,4.8,0,1,0,0.0,0.21,0.0,0.0,0.0,0,0
Bence DГЎrdai,HUN,MF,Wolfsburg,18,14.5,1,11,1,9.1,0.76,0.07,0.09,1.0,0,0
Lukas Daschner,GER,"FW,MF",Bochum,25,4.6,1,9,6,66.7,1.97,1.31,0.11,0.17,0,1
Alphonso Davies,CAN,DF,Bayern Munich,23,17.3,1,17,3,17.6,0.98,0.17,0.06,0.33,0,0
Olivier Deman,BEL,"FW,MF",Werder Bremen,24,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ermedin DemiroviД‡,BIH,FW,Stuttgart,26,20.6,15,65,30,46.2,3.15,1.46,0.23,0.5,0,2
Justin Diehl,GER,MF,Stuttgart,19,1.2,1,7,1,14.3,6.06,0.87,0.14,1.0,0,0
Eric Dier,ENG,DF,Bayern Munich,30,16.3,2,9,6,66.7,0.55,0.37,0.22,0.33,0,0
Junior Dina Ebimbe,CMR,MF,Eintracht Frankfurt,23,3.3,0,8,0,0.0,2.46,0.0,0.0,0.0,0,0
