Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value
Plamen Andreev,BUL,GK,Feyenoord,19,1,1,90,1.0,2,2.0,3,2,66.7,0,0,1,0,0.0,1,1,0,0,0.0,1.5
Nordin Bakker,NED,GK,Almere City,26,34,34,3050,33.9,64,1.89,183,119,65.0,4,10,20,7,20.6,0,0,0,0,0.0,0.7
Vasilios Barkas,GRE,GK,Utrecht,30,31,31,2790,31.0,44,1.42,140,99,70.7,16,9,6,7,22.6,3,3,0,0,0.0,3.5
Walter Benitez,ARG,GK,PSV,31,34,34,3015,33.5,39,1.16,102,65,63.7,25,4,5,9,26.5,2,2,0,0,0.0,7.5
Daniel Bielica,POL,GK,NAC Breda,25,32,32,2880,32.0,52,1.62,158,112,70.9,8,9,15,5,15.6,6,6,0,0,0.0,1.0
Justin Bijlow,NED,GK,Feyenoord,26,4,4,360,4.0,8,2.0,16,8,50.0,1,1,2,0,0.0,0,0,0,0,0.0,5.0
Mattijs Branderhorst,NED,GK,Fortuna Sittard,30,28,28,2520,28.0,39,1.39,130,93,71.5,10,7,11,10,35.7,2,2,0,0,0.0,0.8
Michael Brouwer,NED,GK,Utrecht,31,3,3,270,3.0,1,0.33,9,9,100.0,2,1,0,2,66.7,1,1,0,0,0.0,0.4
Jari De Busser,BEL,GK,Go Ahead Eagles,24,16,16,1440,16.0,23,1.44,89,67,75.3,7,5,4,5,31.3,1,1,0,0,0.0,2.0
Mickey van der Hart,NED,GK,Heerenveen,30,19,18,1695,18.8,33,1.75,103,72,70.9,5,6,7,3,16.7,3,3,0,0,0.0,0.5
Thomas Didillon,FRA,GK,Willem II,28,34,34,3060,34.0,56,1.65,178,128,71.9,6,8,20,5,14.7,6,6,0,0,0.0,0.9
Joel Drommel,NED,GK,PSV,27,1,0,45,0.5,0,0.0,0,0,,0,0,0,0,,0,0,0,0,0.0,1.5
Stijn van Gassel,NED,GK,NEC Nijmegen,27,2,2,180,2.0,4,2.0,14,11,78.6,0,0,2,0,0.0,1,1,0,0,0.0,0.45
Mike Hauptmeijer,NED,GK,Zwolle,27,4,4,360,4.0,6,1.5,16,10,62.5,2,1,1,0,0.0,1,0,0,1,0.0,0.1
Jeroen Houwen,NED,GK,RKC Waalwijk,28,24,24,2160,24.0,48,2.0,134,88,65.7,4,4,16,4,16.7,2,2,0,0,0.0,0.4
Hidde Jurjus,NED,GK,Groningen,30,2,2,180,2.0,3,1.5,7,4,57.1,0,0,2,0,0.0,0,0,0,0,0.0,0.3
Fabian de Keijzer,NED,GK,Heracles Almelo,24,34,34,3060,34.0,63,1.85,186,129,69.4,9,11,14,6,17.6,6,6,0,0,0.0,1.5
Joey Kesting,NED,GK,RKC Waalwijk,23,3,3,270,3.0,5,1.67,10,8,80.0,0,2,1,0,0.0,3,3,0,0,0.0,0.05
Luuk Koopmans,NED,GK,Fortuna Sittard,30,6,6,540,6.0,15,2.5,32,19,56.3,1,1,4,0,0.0,2,1,1,0,50.0,0.2
Roy Kortsmit,NED,GK,NAC Breda,31,1,1,90,1.0,3,3.0,3,1,33.3,0,0,1,0,0.0,1,1,0,0,0.0,0.2
Kostas Lamprou,GRE,GK,NAC Breda,32,1,1,90,1.0,3,3.0,5,2,40.0,0,0,1,0,0.0,0,0,0,0,0.0,0.2
Matheus,BRA,GK,Ajax,32,9,9,810,9.0,9,1.0,24,15,62.5,6,2,1,4,44.4,0,0,0,0,0.0,2.5
Andries Noppert,NED,GK,Heerenveen,30,16,16,1365,15.2,24,1.58,67,44,65.7,7,1,8,4,25.0,1,1,0,0,0.0,1.0
Nick Olij,NED,GK,Sparta Rotterdam,28,34,34,3060,34.0,43,1.26,147,109,73.5,9,12,13,6,17.6,5,4,1,0,20.0,3.5
Yanick van Osch,NED,GK,RKC Waalwijk,27,3,3,270,3.0,9,3.0,24,16,66.7,0,1,2,0,0.0,1,1,0,0,0.0,0.35
Rome-Jayden Owusu-Oduro,NED,GK,AZ Alkmaar,20,28,28,2520,28.0,34,1.21,85,53,61.2,11,9,8,9,32.1,3,1,1,1,50.0,6.0
Remko Pasveer,NED,GK,Ajax,40,24,24,2160,24.0,23,0.96,90,67,74.4,17,4,3,11,45.8,0,0,0,0,0.0,0.15
Luca Plogmann,GER,GK,Go Ahead Eagles,24,18,18,1620,18.0,32,1.78,78,49,62.8,7,4,7,4,22.2,3,3,0,0,0.0,0.5
Diant Ramaj,GER,GK,Ajax,22,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,0.0,7.0
Robin Roefs,NED,GK,NEC Nijmegen,21,32,32,2880,32.0,42,1.31,154,113,73.4,12,7,13,10,31.3,1,1,0,0,0.0,4.0
