Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Uriel van Aalst,,MF,Willem II,,0.3,0,0,0,1,0,0,0,0,0,,,0
Patrick van Aanholt,NED,DF,Sparta Rotterdam,33.0,18.4,4,0,0,14,4,2,23,20,19,,,0
Paxten Aaronson,USA,MF,Utrecht,20.0,29.9,8,0,0,42,32,3,50,40,72,,,0
Jayden Addai,NED,"MF,FW",AZ Alkmaar,18.0,3.6,1,0,0,2,13,1,4,0,3,,,0
Bobby Adekanye,NED,"MF,FW",Go Ahead Eagles,25.0,8.6,2,0,0,9,13,1,33,0,8,,,0
Aske Adelgaard,DEN,DF,Go Ahead Eagles,20.0,13.6,5,0,0,17,14,0,58,8,11,,,0
Shawn Adewoye,BEL,DF,Fortuna Sittard,24.0,19.4,3,0,0,29,13,0,2,29,17,,,0
Olivier Aertssen,NED,DF,Zwolle,19.0,12.4,0,0,0,12,6,0,7,14,20,,,0
Amar Ahmed,SWE,MF,Willem II,20.0,7.8,3,0,0,10,12,0,28,9,4,,,0
Isaiah Ahmed,CUW,DF,Heerenveen,18.0,0.1,0,0,0,1,0,0,0,0,0,,,0
Makan Aiko,FRA,"FW,MF",Fortuna Sittard,23.0,13.1,4,0,0,20,16,8,14,7,3,,,0
Chuba Akpom,ENG,FW,Ajax,28.0,9.2,0,0,0,10,22,4,7,0,7,,,0
Hamdi Akujobi,NED,DF,Almere City,24.0,26.0,5,0,0,28,24,0,45,24,38,,,0
Gerald Alders,NED,DF,Twente,19.0,0.3,0,0,0,0,0,0,0,0,1,,,0
Hussein Ali,IRQ,DF,Heerenveen,22.0,2.4,0,0,0,1,3,0,3,2,5,,,0
Jaydon Amauri Banel,NED,FW,Ajax,19.0,0.7,0,0,0,2,3,0,5,0,0,,,0
Jamal Amofa,NED,DF,Go Ahead Eagles,25.0,1.8,1,0,0,2,0,0,0,1,1,,,0
Silas Andersen,DEN,MF,Utrecht,20.0,0.0,0,0,0,0,0,0,0,0,0,,,0
Plamen Andreev,BUL,GK,Feyenoord,19.0,1.0,0,0,0,0,0,0,0,0,1,,,0
Oliver Antman,FIN,MF,Go Ahead Eagles,22.0,26.8,1,0,0,10,18,8,57,10,16,,,0
Anouar El Azzouzi,NED,MF,Zwolle,23.0,32.0,7,0,0,45,38,0,24,39,54,,,0
Julian Baas,NED,MF,Sparta Rotterdam,22.0,9.4,1,0,0,8,8,0,50,13,10,,,0
Youri Baas,NED,DF,Ajax,21.0,22.7,2,0,0,16,24,1,3,32,10,,,0
Isaac Babadi,NED,MF,PSV,19.0,1.9,0,0,0,2,0,0,4,2,6,,,0
Leandro Bacuna,CUW,"DF,MF",Groningen,32.0,25.9,8,0,0,20,9,0,86,23,25,,,1
Thibo Baeten,BEL,"FW,MF",Go Ahead Eagles,22.0,0.1,0,0,0,0,0,0,0,0,0,,,0
Esmir Bajraktarevic,BIH,MF,PSV,19.0,0.3,0,0,0,0,1,0,3,0,0,,,0
SaГЇd Bakari,COM,DF,Sparta Rotterdam,29.0,23.8,3,0,0,18,7,1,43,32,34,,,0
Johan Bakayoko,BEL,"FW,MF",PSV,21.0,17.5,1,0,0,23,13,7,90,8,13,,,0
Nordin Bakker,NED,GK,Almere City,26.0,33.9,0,0,0,0,1,0,0,0,0,,,1
Max Balard,AUS,MF,NAC Breda,23.0,32.6,6,0,0,26,31,0,2,46,42,,,0
Alex Balboa,EQG,MF,Almere City,23.0,4.5,3,0,0,10,12,0,1,2,3,,,0
ThГ©o Barbet,FRA,DF,Almere City,23.0,9.6,1,0,0,10,9,0,1,16,10,,,1
Vasilios Barkas,GRE,GK,Utrecht,30.0,31.0,1,0,0,0,3,0,0,0,1,,,0
Samuel Bastien,COD,MF,Fortuna Sittard,27.0,14.4,0,0,0,7,12,0,28,3,12,,,0
Riechedly Bazoer,CUW,"DF,MF",AZ Alkmaar,27.0,0.0,1,0,0,0,0,0,0,1,2,,,0
Guus Beaumont,NED,MF,Almere City,22.0,0.1,0,0,0,0,1,0,0,1,0,,,0
Thomas Beelen,NED,DF,Feyenoord,23.0,18.9,1,0,0,15,9,2,3,28,18,,,0
Raffael Behounek,AUT,DF,Willem II,27.0,30.9,5,1,0,14,10,1,4,28,19,,,1
Kristijan Belic,SRB,MF,AZ Alkmaar,23.0,6.5,4,0,0,17,9,0,1,11,19,,,0
Mimeirhel Benita,NED,DF,Heracles Almelo,20.0,22.6,3,0,0,16,32,1,41,40,38,,,1
Walter BenГ­tez,ARG,GK,PSV,31.0,33.5,0,0,0,0,2,0,0,0,1,,,0
Mitchell van Bergen,NED,"MF,FW",Twente,24.0,21.4,0,0,0,5,14,9,149,7,12,,,0
Thom van Bergen,NED,FW,Groningen,20.0,27.4,3,0,0,44,43,7,8,12,24,,,1
Steven Berghuis,NED,"FW,MF",Ajax,32.0,15.9,2,0,0,12,10,4,110,6,9,,,0
Steven Bergwijn,NED,"FW,MF",Ajax,26.0,0.2,0,0,0,0,0,0,1,0,0,,,0
Gijs Besselink,NED,MF,Twente,20.0,3.6,2,0,0,10,3,0,1,3,3,,,0
Daniel Bielica,POL,GK,NAC Breda,25.0,32.0,2,0,0,0,2,0,0,0,1,,,0
Justin Bijlow,NED,GK,Feyenoord,26.0,4.0,0,0,0,0,0,0,0,0,0,,,0
Adrian Blake,ENG,"MF,FW",Utrecht,19.0,5.2,1,0,0,5,12,0,15,2,8,,,0
Thijmen Blokzijl,NED,DF,Groningen,19.0,24.7,1,1,0,11,7,0,1,36,20,,,0
Ofosu Boakye,,FW,Go Ahead Eagles,,0.0,0,0,0,0,0,0,0,0,0,,,0
PaweЕ‚ Bochniewicz,POL,DF,Heerenveen,28.0,12.3,3,0,0,8,7,2,2,18,5,,,0
Jeremy Bokila,COD,FW,Willem II,35.0,15.3,7,1,1,52,25,10,7,1,7,,,0
Ruben van Bommel,NED,"MF,FW",AZ Alkmaar,19.0,16.6,4,0,0,31,20,2,24,12,22,,,0
Taylor Booth,USA,MF,Twente,23.0,5.9,0,0,0,6,11,6,23,2,5,,,0
Olivier Boscagli,FRA,DF,PSV,26.0,28.5,2,0,0,18,23,1,17,34,39,,,0
Jesse Bosch,NED,MF,Willem II,24.0,30.1,7,0,0,41,26,0,27,23,37,,,0
Sven Bouland,NED,DF,Groningen,,0.5,0,0,0,1,0,0,0,0,0,,,0
Rayane Bounida,BEL,MF,Ajax,18.0,0.2,0,0,0,1,0,0,0,0,0,,,0
Can Bozdogan,GER,MF,Utrecht,23.0,4.5,2,0,0,8,7,0,3,4,6,,,0
Mattijs Branderhorst,NED,GK,Fortuna Sittard,30.0,28.0,1,0,0,0,3,0,0,2,0,,,0
Oliver Braude,NOR,DF,Heerenveen,20.0,29.0,10,0,0,44,54,0,45,35,68,,,0
Myron van Brederode,NED,MF,AZ Alkmaar,21.0,1.9,0,0,0,3,4,0,0,0,0,,,0
Michael Bresser,NED,DF,PSV,17.0,0.0,0,0,0,0,0,0,0,0,0,,,0
Jakob Breum,DEN,MF,Go Ahead Eagles,20.0,22.9,4,0,0,8,31,6,88,6,13,,,0
Brian Brobbey,NED,FW,Ajax,22.0,17.3,6,0,0,36,50,9,1,3,4,,,0
