Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Uriel van Aalst,,FW,Willem II,,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Patrick van Aanholt,NED,DF,Sparta R'dam,33.0,21,20,1656,18.4,0,0,0,0,0,0,4,0,0.6,0.6,1.3,1.9,39,86,64,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.11,0.04,0.11,0.5,0,14,4,2,23,20,19,0,19,1,5.3,1.03,0.05,0.0,0.0
Paxten Aaronson,USA,"MF,FW",Utrecht,20.0,33,30,2689,29.9,8,4,12,8,0,0,8,0,5.3,5.3,2.9,8.2,51,116,80,0.27,0.13,0.4,0.27,0.4,0.18,0.1,0.28,0.18,0.28,8.0,0,42,32,3,50,40,72,0,60,14,23.3,2.01,0.47,0.13,0.57
Jayden Addai,NED,"FW,DF",AZ Alkmaar,18.0,17,3,324,3.6,1,0,1,1,0,0,1,0,1.0,1.0,0.4,1.4,18,15,44,0.28,0.0,0.28,0.28,0.28,0.28,0.11,0.4,0.28,0.4,1.5,0,2,13,1,4,0,3,0,13,5,38.5,3.61,1.39,0.08,0.2
Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,25.0,13,10,778,8.6,1,0,1,1,0,0,2,0,1.3,1.3,0.9,2.2,31,22,60,0.12,0.0,0.12,0.12,0.12,0.15,0.11,0.26,0.15,0.26,0.65,0,9,13,1,33,0,8,0,18,5,27.8,2.08,0.58,0.06,0.2
Aske Adelgaard,DEN,DF,Go Ahead Eag,20.0,22,14,1224,13.6,0,1,1,0,0,0,5,0,0.3,0.3,1.3,1.6,25,39,61,0.0,0.07,0.07,0.0,0.07,0.02,0.1,0.12,0.02,0.12,0.85,0,17,14,0,58,8,11,0,5,1,20.0,0.37,0.07,0.0,0.0
Shawn Adewoye,BEL,DF,Fortuna Sittard,24.0,24,20,1748,19.4,1,0,1,1,0,0,3,0,1.5,1.5,0.1,1.6,13,59,0,0.05,0.0,0.05,0.05,0.05,0.08,0.01,0.08,0.08,0.08,1.3,0,29,13,0,2,29,17,0,11,3,27.3,0.57,0.15,0.09,0.33
Olivier Aertssen,NED,DF,Zwolle,19.0,20,14,1116,12.4,1,0,1,1,0,0,0,0,0.6,0.6,0.6,1.2,13,47,19,0.08,0.0,0.08,0.08,0.08,0.05,0.05,0.1,0.05,0.1,0.75,0,12,6,0,7,14,20,0,6,2,33.3,0.48,0.16,0.17,0.5
Amar Ahmed,SWE,"FW,MF",Willem II,20.0,22,5,703,7.8,1,0,1,1,0,0,3,0,0.7,0.7,0.9,1.7,35,21,55,0.13,0.0,0.13,0.13,0.13,0.1,0.12,0.22,0.1,0.22,0.45,0,10,12,0,28,9,4,0,14,5,35.7,1.79,0.64,0.07,0.2
Isaiah Ahmed,CUW,MF,Heerenveen,18.0,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Makan Aiko,FRA,FW,Fortuna Sittard,23.0,22,13,1179,13.1,1,0,1,1,0,0,4,0,4.0,4.0,0.9,4.9,22,6,59,0.08,0.0,0.08,0.08,0.08,0.3,0.07,0.37,0.3,0.37,0.6,0,20,16,8,14,7,3,0,24,7,29.2,1.83,0.53,0.04,0.14
Chuba Akpom,ENG,FW,Ajax,28.0,16,9,832,9.2,3,1,4,3,0,0,0,0,3.1,3.1,0.5,3.5,25,17,93,0.32,0.11,0.43,0.32,0.43,0.33,0.05,0.38,0.33,0.38,7.0,0,10,22,4,7,0,7,0,22,10,45.5,2.38,1.08,0.14,0.3
Hamdi Akujobi,NED,DF,Almere City,24.0,28,27,2344,26.0,1,1,2,1,0,0,5,0,0.7,0.7,1.7,2.4,50,89,85,0.04,0.04,0.08,0.04,0.08,0.03,0.07,0.09,0.03,0.09,0.55,0,28,24,0,45,24,38,0,15,5,33.3,0.58,0.19,0.07,0.2
Gerald Alders,NED,DF,Twente,19.0,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
