Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Uriel van Aalst,0,MF,Willem II,0.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Patrick van Aanholt,NED,DF,Sparta Rotterdam,33.0,18.4,0,19,1,5.3,1.03,0.05,0.0,0.0,0,0
Paxten Aaronson,USA,MF,Utrecht,20.0,29.9,8,60,14,23.3,2.01,0.47,0.13,0.57,0,0
Jayden Addai,NED,"MF,FW",AZ Alkmaar,18.0,3.6,1,13,5,38.5,3.61,1.39,0.08,0.2,0,0
Bobby Adekanye,NED,"MF,FW",Go Ahead Eagles,25.0,8.6,1,18,5,27.8,2.08,0.58,0.06,0.2,0,0
Aske Adelgaard,DEN,DF,Go Ahead Eagles,20.0,13.6,0,5,1,20.0,0.37,0.07,0.0,0.0,0,0
Shawn Adewoye,BEL,DF,Fortuna Sittard,24.0,19.4,1,11,3,27.3,0.57,0.15,0.09,0.33,0,0
Olivier Aertssen,NED,DF,Zwolle,19.0,12.4,1,6,2,33.3,0.48,0.16,0.17,0.5,0,0
Amar Ahmed,SWE,MF,Willem II,20.0,7.8,1,14,5,35.7,1.79,0.64,0.07,0.2,0,0
Isaiah Ahmed,CUW,DF,Heerenveen,18.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Makan Aiko,FRA,"FW,MF",Fortuna Sittard,23.0,13.1,1,24,7,29.2,1.83,0.53,0.04,0.14,0,0
Chuba Akpom,ENG,FW,Ajax,28.0,9.2,3,22,10,45.5,2.38,1.08,0.14,0.3,0,0
Hamdi Akujobi,NED,DF,Almere City,24.0,26.0,1,15,5,33.3,0.58,0.19,0.07,0.2,0,0
Gerald Alders,NED,DF,Twente,19.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Hussein Ali,IRQ,DF,Heerenveen,22.0,2.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Jaydon Amauri Banel,NED,FW,Ajax,19.0,0.7,0,4,0,0.0,5.63,0.0,0.0,0.0,0,0
Jamal Amofa,NED,DF,Go Ahead Eagles,25.0,1.8,0,1,0,0.0,0.57,0.0,0.0,0.0,0,0
Silas Andersen,DEN,MF,Utrecht,20.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Plamen Andreev,BUL,GK,Feyenoord,19.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Oliver Antman,FIN,MF,Go Ahead Eagles,22.0,26.8,6,54,16,29.6,2.02,0.6,0.11,0.38,0,0
Anouar El Azzouzi,NED,MF,Zwolle,23.0,32.0,1,36,5,13.9,1.13,0.16,0.03,0.2,0,0
Julian Baas,NED,MF,Sparta Rotterdam,22.0,9.4,0,4,2,50.0,0.42,0.21,0.0,0.0,0,0
Youri Baas,NED,DF,Ajax,21.0,22.7,1,2,1,50.0,0.09,0.04,0.5,1.0,0,0
Isaac Babadi,NED,MF,PSV,19.0,1.9,1,4,3,75.0,2.06,1.54,0.25,0.33,0,0
Leandro Bacuna,CUW,"DF,MF",Groningen,32.0,25.9,4,36,15,41.7,1.39,0.58,0.03,0.07,3,4
Thibo Baeten,BEL,"FW,MF",Go Ahead Eagles,22.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Esmir Bajraktarevic,BIH,MF,PSV,19.0,0.3,0,2,0,0.0,7.5,0.0,0.0,0.0,0,0
SaГЇd Bakari,COM,DF,Sparta Rotterdam,29.0,23.8,1,12,3,25.0,0.5,0.13,0.08,0.33,0,0
Johan Bakayoko,BEL,"FW,MF",PSV,21.0,17.5,9,60,27,45.0,3.42,1.54,0.15,0.33,0,0
Nordin Bakker,NED,GK,Almere City,26.0,33.9,0,1,0,0.0,0.03,0.0,0.0,0.0,0,0
Max Balard,AUS,MF,NAC Breda,23.0,32.6,1,6,2,33.3,0.18,0.06,0.17,0.5,0,0
Alex Balboa,EQG,MF,Almere City,23.0,4.5,1,8,1,12.5,1.78,0.22,0.13,1.0,0,0
ThГ©o Barbet,FRA,DF,Almere City,23.0,9.6,0,4,2,50.0,0.42,0.21,0.0,0.0,0,0
Vasilios Barkas,GRE,GK,Utrecht,30.0,31.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Samuel Bastien,COD,MF,Fortuna Sittard,27.0,14.4,0,9,3,33.3,0.63,0.21,0.0,0.0,0,0
Riechedly Bazoer,CUW,"DF,MF",AZ Alkmaar,27.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Guus Beaumont,NED,MF,Almere City,22.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
