Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKsv%,Value
Andrew,BRA,GK,Gil Vicente FC,23,33,33,2970,33.0,46,1.39,122,81,67.2,8,9,16,7,21.2,7,6,0,1,0.0,4.0
Brian Araujo,FRA,GK,Gil Vicente FC,24,1,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,0.0,0.3
Daniel Azevedo,POR,GK,Casa Pia,26,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,0.0,0.1
Gabriel Batista,BRA,GK,Santa Clara,26,34,34,3060,34.0,32,0.94,108,81,74.1,17,6,11,11,32.4,6,4,1,1,20.0,4.0
Ricardo Batista,POR,GK,Casa Pia,37,1,1,90,1.0,1,1.0,1,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0,0.1
Simao Bertelli,BRA,GK,AVS Futebol,31,11,11,990,11.0,15,1.36,54,42,75.9,1,6,4,2,18.2,3,2,1,0,33.3,0.3
Bruno Brigido,BRA,GK,Estrela,33,18,18,1575,17.5,30,1.71,84,56,66.7,4,4,10,2,11.1,2,2,0,0,0.0,0.2
Lazar Carevic,MNE,GK,Famalicão,25,18,18,1620,18.0,21,1.17,70,53,74.3,7,4,7,7,38.9,4,3,1,0,25.0,1.5
Cesar,BRA,GK,Boavista,32,16,16,1440,16.0,30,1.87,78,51,65.4,1,4,11,2,12.5,3,3,0,0,0.0,0.3
Kevin Chamorro,CRC,GK,Estoril,24,4,4,360,4.0,3,0.75,11,9,81.8,2,1,1,2,50.0,1,1,0,0,0.0,0.3
Diogo Costa,POR,GK,Porto,24,32,32,2880,32.0,27,0.84,78,58,71.8,21,5,6,16,50.0,7,5,2,0,28.6,40.0
Joao Paulo Santos Costa,POR,GK,Estrela,28,14,14,1260,14.0,17,1.21,51,38,72.5,3,3,8,4,28.6,4,3,1,0,25.0,0.8
Rui Encarnacao,POR,GK,Nacional,26,2,1,135,1.5,4,2.67,5,3,60.0,0,0,1,0,0.0,2,2,0,0,0.0,0.2
Daniel Figueira,POR,GK,Estoril,26,1,1,90,1.0,4,4.0,6,3,50.0,0,0,1,0,0.0,1,1,0,0,0.0,0.75
Lucas Franca,BRA,GK,Nacional,28,33,33,2925,32.5,46,1.42,143,104,72.7,9,7,17,8,24.2,9,7,0,2,0.0,1.0
Joao Goncalves,POR,GK,Boavista,23,4,4,360,4.0,2,0.5,8,6,75.0,1,1,2,2,50.0,0,0,0,0,0.0,0.7
Marko Gudzulic,SRB,GK,Estrela,22,2,2,180,2.0,3,1.5,8,6,62.5,0,1,1,1,50.0,1,0,1,0,100.0,0.2
Lukas Hornicek,CZE,GK,Braga,22,17,17,1530,17.0,11,0.65,58,47,82.8,10,5,2,8,47.1,1,1,0,0,0.0,6.0
Franco Israel,URU,GK,Sporting CP,24,11,11,990,11.0,9,0.82,25,15,64.0,9,2,0,7,63.6,0,0,0,0,0.0,5.0
Jhonatan,BRA,GK,Rio Ave,33,8,8,720,8.0,13,1.62,43,30,69.8,2,2,4,2,25.0,0,0,0,0,0.0,0.3
Luiz Lucio Reis Junior,BRA,GK,Famalicão,23,1,1,90,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,0.0,10.0
Kaique,BRA,GK,Farense,21,6,6,540,6.0,6,1.0,20,15,70.0,3,0,3,1,16.7,1,0,1,0,100.0,0.6
Kewin,BRA,GK,Moreirense,28,29,29,2610,29.0,42,1.45,112,72,65.2,9,7,13,6,20.7,3,3,0,0,0.0,1.0
Vladan Kovacevic,BIH,GK,Sporting CP,26,6,6,540,6.0,5,0.83,16,11,68.8,4,0,2,2,33.3,0,0,0,0,0.0,3.0
Nico Mantl,GER,GK,Arouca,24,29,29,2610,29.0,43,1.48,117,82,70.1,8,8,13,7,24.1,8,8,0,0,0.0,1.5
Matheus,BRA,GK,Braga,32,17,17,1530,17.0,19,1.12,64,47,73.4,9,4,4,7,41.2,2,2,0,0,0.0,2.5
Francisco Meixedo,POR,GK,Estrela,23,1,0,45,0.5,0,0.0,3,3,100.0,0,0,0,1,,0,0,0,0,0.0,0.2
Mika,POR,GK,Moreirense,33,1,0,3,0.0,0,0.0,0,0,,0,0,0,1,,0,0,0,0,0.0,0.1
Cezary Miszta,POL,GK,Rio Ave,22,26,26,2325,25.8,42,1.63,129,90,69.8,7,9,10,3,11.5,3,3,0,0,0.0,3.0
Guillermo Ochoa,MEX,GK,AVS Futebol,39,23,23,2070,23.0,45,1.96,118,74,62.7,4,6,13,6,26.1,1,1,0,0,0.0,0.5
Claudio Ramos,POR,GK,Porto,32,2,2,180,2.0,3,1.5,7,5,71.4,1,0,1,0,0.0,1,1,0,0,0.0,1.2
Joel Robles,ESP,GK,Estoril,34,29,29,2610,29.0,46,1.59,122,82,66.4,10,9,10,5,17.2,6,5,1,0,16.7,0.5
Caio Secco,BRA,GK,Moreirense,33,5,5,447,5.0,8,1.61,21,15,71.4,1,3,1,1,20.0,2,2,0,0,0.0,0.2
Patrick Sequeira,CRC,GK,Casa Pia,25,32,32,2880,32.0,41,1.28,152,117,77.0,12,9,11,7,21.9,7,6,0,1,0.0,4.0
Rui Silva,POR,GK,Sporting CP,30,17,17,1530,17.0,13,0.76,30,21,70.0,12,5,0,6,35.3,4,4,0,0,0.0,7.0
