Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Rodrigo Abascal,URU,DF,Boavista,30,28.9,8,1,0,35,7,5,32,41,39,,,1
Nelson Abbey,ENG,DF,Rio Ave,20,7.1,1,0,0,4,5,0,7,4,6,,,0
Bilal Abdelrahman Zeeni,EGY,FW,Estrela,21,0.1,0,0,0,0,1,0,0,0,1,,,0
Giorgi Aburjania,GEO,MF,AVS Futebol,29,3.4,0,0,0,3,5,0,2,2,6,,,0
Adriano,BRA,MF,Santa Clara,24,29.2,8,1,0,41,20,2,15,17,24,,,0
Lucas ГЃfrico,BRA,DF,Farense,29,19.5,6,0,0,31,12,2,2,13,16,,,2
Salvador Agra,POR,"MF,DF",Boavista,32,30.3,9,1,0,26,47,9,164,18,19,,,0
Brandon Aguilera,CRC,MF,Rio Ave,21,15.3,4,0,0,32,31,2,62,12,22,,,0
Jorge Aguirre,CUB,FW,Gil Vicente FC,24,15.0,2,1,0,25,22,3,5,3,5,,,0
Babatunde Akinsola,NGA,MF,AVS Futebol,21,13.0,1,0,0,11,23,2,43,7,12,,,0
Kerem AktГјrkoДџlu,TUR,"FW,MF",Benfica,25,22.3,3,0,0,19,30,13,53,15,18,,,0
LГ©o Alaba,BRA,DF,AVS Futebol,25,3.7,1,0,0,3,3,0,13,7,5,,,0
Alan,BRA,MF,Moreirense,24,27.9,6,0,0,32,55,5,83,7,13,,,0
GonГ§alo Almeida,POR,"DF,MF",Boavista,21,9.0,1,0,0,10,8,4,18,7,9,,,0
Pedro ГЃlvaro,POR,DF,Estoril,24,29.1,9,0,0,47,18,1,1,52,16,,,0
Pedro Amaral,POR,"DF,MF",Estoril,26,26.6,4,0,0,23,29,2,68,23,19,,,0
Zeki Amdouni,SUI,"MF,FW",Benfica,23,9.5,1,0,0,19,21,2,3,3,9,,,0
Artur Jorge Marques Amorim,POR,DF,Farense,29,14.2,9,0,0,18,5,0,3,16,7,,,0
Andrew,BRA,GK,Gil Vicente FC,23,33.0,2,0,0,1,4,0,0,0,2,,,0
Jeremy Antonisse,CUW,"MF,FW",Moreirense,22,9.3,2,0,0,9,16,5,29,3,11,,,0
Arvin Appiah,ENG,"FW,DF",Nacional,23,15.4,3,0,0,24,24,6,22,17,14,,,0
Г“scar Aranda,ESP,"MF,FW",FamalicГЈo,22,28.9,5,0,0,19,90,6,56,8,19,,,0
Brian AraГєjo,FRA,GK,Gil Vicente FC,24,1.0,0,0,0,0,0,0,0,0,0,,,0
Henrique AraГєjo,POR,FW,Arouca,22,12.3,3,0,0,23,20,11,5,2,5,,,0
Maximiliano AraГєjo,URU,"MF,DF",Sporting CP,24,19.7,7,1,0,32,32,4,73,18,39,,,0
TomГЎs AraГєjo,POR,DF,Benfica,22,25.7,1,0,0,25,3,2,23,29,41,,,0
Telmo Arcanjo,CPV,"MF,FW",VitГіria GuimarГЈes,23,14.7,6,0,0,22,29,0,81,9,13,,,0
Gboly Ariyibi,USA,"MF,FW",Boavista,29,3.8,0,0,0,4,13,3,8,0,0,,,0
Henrique Arreiol,POR,MF,Sporting CP,19,0.3,0,0,0,1,0,0,0,1,0,,,0
Bright Arrey-Mbi,GER,DF,Braga,21,12.6,3,1,0,18,3,0,0,6,9,,,0
Afonso Assis,POR,MF,Moreirense,18,0.2,0,0,0,1,0,0,0,0,0,,,0
Gustavo Assuncao,POR,MF,AVS Futebol,24,17.5,13,1,1,46,28,0,16,11,25,,,0
Otavio Ataide,BRA,DF,Porto,22,18.1,6,0,0,21,30,0,5,27,14,,,0
JoГЈo AurГ©lio,POR,"DF,MF",Nacional,35,4.5,1,0,0,10,7,1,14,3,6,,,0
Fredrik Aursnes,NOR,MF,Benfica,28,26.1,1,0,0,11,12,0,48,11,28,,,0
Daniel Azevedo,POR,GK,Casa Pia,26,1.0,0,0,0,0,0,0,0,0,0,,,0
Ibrahima Ba,SEN,DF,FamalicГЈo,19,1.1,0,0,0,2,0,0,0,1,1,,,0
Felix Bacher,AUT,DF,Estoril,23,23.0,6,0,0,40,18,0,0,35,31,,,0
Miguel Baeza,ESP,"MF,FW",Nacional,24,2.3,0,0,0,1,0,0,10,0,2,,,0
Alexander Bah,DEN,DF,Benfica,26,15.7,2,0,0,15,24,0,56,19,36,,,0
Ney Bahia,BRA,FW,Santa Clara,20,0.7,0,0,0,0,0,0,1,2,0,,,0
Adrian Bajrami,SUI,DF,Benfica,22,0.1,0,0,0,0,0,0,0,0,0,,,0
Theofanis Bakoulas,GRE,MF,Rio Ave,19,4.3,3,0,0,5,6,0,0,7,3,,,1
Elves BaldГ©,GNB,"MF,FW",Farense,24,11.6,1,1,0,8,12,4,53,5,8,,,0
Mohamed Bamba,CIV,MF,Gil Vicente FC,19,10.6,3,0,0,15,8,0,5,15,11,,,0
Robson Bambu,BRA,DF,Braga,26,11.4,6,0,0,19,8,6,1,7,7,,,0
Chico Banza,ANG,"FW,MF",Estrela,25,7.6,4,0,0,26,10,15,18,1,4,,,0
Simon Banza,COD,"FW,MF",Braga,27,0.2,0,0,0,2,1,0,0,0,0,,,0
Rafael Barbosa,POR,MF,Farense,28,4.0,2,0,0,5,4,0,29,2,1,,,0
Leandro Barreiro Martins,LUX,MF,Benfica,24,13.5,5,0,0,29,32,2,8,9,17,,,0
Gil BastiГЈo Dias,POR,MF,FamalicГЈo,27,15.6,7,0,0,21,23,3,35,12,22,,,0
Gabriel Batista,BRA,GK,Santa Clara,26,34.0,4,0,0,1,8,0,0,0,1,,,0
Gilberto Batista,GNB,DF,Moreirense,20,3.5,1,0,0,4,1,0,0,5,2,,,0
Ricardo Batista,POR,GK,Casa Pia,37,1.0,0,0,0,1,0,0,0,0,0,,,0
Yanis Begraoui,MAR,"FW,MF",Estoril,23,21.3,1,0,0,19,20,13,14,4,11,,,0
Gui Beleza,POR,MF,Gil Vicente FC,17,0.0,0,0,0,0,0,0,0,0,0,,,0
Bachir Belloumi,ALG,MF,Farense,22,3.0,0,0,0,4,0,2,9,3,5,,,0
Andrea Belotti,ITA,FW,Benfica,30,5.1,0,0,0,11,19,5,2,1,3,,,0
Fahem Benaissa Yahia,FRA,MF,Casa Pia,22,4.3,1,0,0,8,2,0,7,16,3,,,0
Beni,ANG,MF,Casa Pia,22,10.3,4,0,0,22,16,0,0,12,13,,,0
ГЃlex Bermejo,ESP,"MF,FW",Farense,25,6.6,3,0,0,10,11,2,25,2,6,,,0
Sergio Bermejo,ESP,"MF,FW",Gil Vicente FC,26,5.3,0,0,0,9,14,0,6,3,5,,,0
SimГЈo Bertelli,BRA,GK,AVS Futebol,31,11.0,0,0,0,0,4,0,0,0,0,,,0
Jan-Niklas Beste,GER,"DF,MF",Benfica,25,5.6,3,0,0,9,13,1,33,4,15,,,0
JosГ© Bica,POR,FW,VitГіria GuimarГЈes,21,0.3,0,0,0,3,0,0,0,0,0,,,0
Biel,BRA,"FW,MF",Sporting CP,23,0.2,0,0,0,0,0,0,3,1,0,,,0
RaГєl Blanco,ESP,FW,Casa Pia,23,2.8,1,0,0,1,1,0,0,2,2,,,0
Paulinho BГіia,BRA,"MF,FW",Nacional,26,12.0,2,0,0,8,16,5,12,6,7,,,0
KГ©vin Boma,TOG,DF,Estoril,21,27.4,7,0,0,38,24,2,0,45,33,,,0
Pedro Bondo,ANG,DF,FamalicГЈo,19,2.0,1,1,0,2,9,0,19,0,0,,,0
Kiko Bondoso,POR,"MF,FW",Rio Ave,28,21.7,1,0,0,12,33,5,23,16,24,,,0
Toni Borevkovic,CRO,DF,VitГіria GuimarГЈes,27,26.9,7,0,0,24,20,1,1,33,16,,,0
Daniel Borges,BRA,MF,Santa Clara,21,2.2,1,0,0,19,6,0,2,6,6,,,0
GonГ§alo Borges,POR,"MF,FW",Porto,23,8.5,6,1,0,16,17,2,62,2,6,,,0
RГіbert BoЕѕenГ­k,SVK,FW,Boavista,24,30.6,7,0,0,68,72,30,15,10,9,,,0
Daniel BraganГ§a,POR,MF,Sporting CP,25,12.0,3,0,0,14,22,0,11,5,14,,,0
Bruno Brigido,BRA,GK,Estrela,33,17.5,0,0,0,0,7,0,0,0,0,,,0
Alexandre Brito,POR,MF,Sporting CP,19,1.0,1,0,0,3,3,0,1,1,3,,,0
Rafael Brito,POR,MF,Casa Pia,22,11.2,5,0,0,21,13,0,8,19,15,,,0
Tiago Brito,POR,DF,Estoril,20,1.1,0,0,0,8,3,0,0,0,2,,,0
Bruma,POR,"FW,MF",Benfica,29,18.8,1,0,0,14,22,14,21,2,12,,,0
Jonathan Buatu Mananga,ANG,DF,Gil Vicente FC,30,20.3,1,0,0,22,8,1,2,17,19,,,0
Leonel Bucca,ARG,"MF,FW",Estrela,25,15.0,8,0,0,32,24,0,12,12,17,,,0
Leonardo Buta,POR,DF,Moreirense,22,5.6,2,0,0,4,13,0,8,4,3,,,0
AdriГЎn Butzke,ESP,FW,Nacional,25,5.4,2,0,0,8,5,1,0,2,2,,,0
Arthur Cabral,BRA,FW,Benfica,26,4.2,2,0,0,9,3,2,0,0,2,,,0
Daniel Cabral,BRA,MF,Estrela,22,0.0,0,0,0,0,0,0,0,0,0,,,0
Jovane Cabral,CPV,"FW,MF",Estrela,26,12.8,4,0,0,34,27,0,37,9,22,,,0
Lucas Calegari,BRA,DF,FamalicГЈo,22,16.5,1,0,0,15,27,3,16,12,20,,,0
Diogo Calila,MOZ,"MF,DF",Santa Clara,25,19.4,9,0,0,36,19,4,52,11,25,,,0
Ibrahima CamarГЎ,GUI,"MF,DF",Boavista,25,14.8,6,1,0,17,19,0,9,18,10,,,0
AndrГ© Candeias,POR,FW,Farense,21,0.4,0,0,0,1,1,0,2,0,0,,,0
Lazar CareviД‡,MNE,GK,FamalicГЈo,25,18.0,1,0,0,1,3,0,0,0,0,,,0
