Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Rodrigo Abascal,URU,DF,Boavista,30.0,29.0,29.0,2599.0,28.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.8,0.8,1.7,2.5,10.0,66.0,24.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,0.7,0,35,7,5,32,41,39,1,19,5,26.3,0.66,0.17,0.0,0.0
Nelson Abbey,ENG,DF,Rio Ave,20.0,8.0,7.0,635.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,7.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,0.7,0,4,5,0,7,4,6,0,2,0,0.0,0.28,0.0,0.0,0.0
Bilal Abdelrahman Zeeni,EGY,MF,Estrela,21.0,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18,0.81,0.98,0.18,0.98,0.2,0,0,1,0,0,0,1,0,1,1,100.0,11.25,11.25,0.0,0.0
Giorgi Aburjania,GEO,MF,AVS Futebol,29.0,9.0,3.0,306.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.9,3.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.09,0.17,0.26,0.09,0.26,0.4,0,3,5,0,2,2,6,0,1,1,100.0,0.29,0.29,0.0,0.0
Adriano,BRA,MF,Santa Clara,24.0,32.0,31.0,2630.0,29.2,0.0,2.0,2.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,2.7,3.7,26.0,99.0,28.0,0.0,0.07,0.07,0.0,0.07,0.04,0.09,0.13,0.04,0.13,2.5,0,41,20,2,15,17,24,0,13,4,30.8,0.44,0.14,0.0,0.0
Lucas Africo,BRA,DF,Farense,29.0,21.0,20.0,1757.0,19.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.3,1.3,0.1,1.3,6.0,31.0,3.0,0.05,0.0,0.05,0.05,0.05,0.07,0.0,0.07,0.07,0.07,0.3,0,31,12,2,2,13,16,2,16,4,25.0,0.82,0.2,0.06,0.25
Salvador Agra,POR,"MF,DF",Boavista,32.0,32.0,31.0,2731.0,30.3,1.0,2.0,3.0,1.0,0.0,0.0,9.0,1.0,1.4,1.4,4.1,5.5,56.0,73.0,147.0,0.03,0.07,0.1,0.03,0.1,0.05,0.14,0.18,0.05,0.18,0.2,0,26,47,9,164,18,19,0,33,7,21.2,1.09,0.23,0.03,0.14
Brandon Aguilera,CRC,"MF,FW",Rio Ave,21.0,25.0,15.0,1378.0,15.3,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,1.4,1.4,2.2,3.6,26.0,72.0,44.0,0.2,0.07,0.26,0.2,0.26,0.09,0.14,0.23,0.09,0.23,1.5,0,32,31,2,62,12,22,0,24,7,29.2,1.57,0.46,0.13,0.43
Jorge Aguirre,CUB,FW,Gil Vicente FC,24.0,31.0,16.0,1354.0,15.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,1.0,3.6,3.6,2.1,5.7,5.0,23.0,67.0,0.2,0.13,0.33,0.2,0.33,0.24,0.14,0.38,0.24,0.38,0.6,0,25,22,3,5,3,5,0,28,7,25.0,1.86,0.47,0.11,0.43
Babatunde Akinsola,NGA,"MF,FW",AVS Futebol,21.0,30.0,11.0,1170.0,13.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.9,2.9,0.8,3.6,43.0,33.0,88.0,0.15,0.08,0.23,0.15,0.23,0.22,0.06,0.28,0.22,0.28,0.5,0,11,23,2,43,7,12,0,27,6,22.2,2.08,0.46,0.07,0.33
