Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Rodrigo Abascal,URU,DF,Boavista,30,28.9,0,19,5,26.3,0.66,0.17,0.0,0.0,0,0
Nelson Abbey,ENG,DF,Rio Ave,20,7.1,0,2,0,0.0,0.28,0.0,0.0,0.0,0,0
Bilal Abdelrahman Zeeni,EGY,FW,Estrela,21,0.1,0,1,1,100.0,11.25,11.25,0.0,0.0,0,0
Giorgi Aburjania,GEO,MF,AVS Futebol,29,3.4,0,1,1,100.0,0.29,0.29,0.0,0.0,0,0
Adriano,BRA,MF,Santa Clara,24,29.2,0,13,4,30.8,0.44,0.14,0.0,0.0,0,0
Lucas ГЃfrico,BRA,DF,Farense,29,19.5,1,16,4,25.0,0.82,0.2,0.06,0.25,0,0
Salvador Agra,POR,"MF,DF",Boavista,32,30.3,1,33,7,21.2,1.09,0.23,0.03,0.14,0,0
Brandon Aguilera,CRC,MF,Rio Ave,21,15.3,3,24,7,29.2,1.57,0.46,0.13,0.43,0,0
Jorge Aguirre,CUB,FW,Gil Vicente FC,24,15.0,3,28,7,25.0,1.86,0.47,0.11,0.43,0,0
Babatunde Akinsola,NGA,MF,AVS Futebol,21,13.0,2,27,6,22.2,2.08,0.46,0.07,0.33,0,0
Kerem AktГјrkoДџlu,TUR,"FW,MF",Benfica,25,22.3,11,64,29,45.3,2.88,1.3,0.17,0.38,0,0
LГ©o Alaba,BRA,DF,AVS Futebol,25,3.7,0,3,0,0.0,0.81,0.0,0.0,0.0,0,0
Alan,BRA,MF,Moreirense,24,27.9,7,43,20,46.5,1.54,0.72,0.05,0.1,5,5
GonГ§alo Almeida,POR,"DF,MF",Boavista,21,9.0,0,8,2,25.0,0.88,0.22,0.0,0.0,0,0
Pedro ГЃlvaro,POR,DF,Estoril,24,29.1,1,10,3,30.0,0.34,0.1,0.1,0.33,0,0
Pedro Amaral,POR,"DF,MF",Estoril,26,26.6,0,9,3,33.3,0.34,0.11,0.0,0.0,0,0
Zeki Amdouni,SUI,"MF,FW",Benfica,23,9.5,7,42,16,38.1,4.43,1.69,0.17,0.44,0,0
Artur Jorge Marques Amorim,POR,DF,Farense,29,14.2,0,8,1,12.5,0.56,0.07,0.0,0.0,0,0
Andrew,BRA,GK,Gil Vicente FC,23,33.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Jeremy Antonisse,CUW,"MF,FW",Moreirense,22,9.3,0,19,5,26.3,2.04,0.54,0.0,0.0,0,0
Arvin Appiah,ENG,"FW,DF",Nacional,23,15.4,0,15,4,26.7,0.98,0.26,0.0,0.0,0,0
Г“scar Aranda,ESP,"MF,FW",FamalicГЈo,22,28.9,9,70,23,32.9,2.42,0.8,0.07,0.22,4,5
Brian AraГєjo,FRA,GK,Gil Vicente FC,24,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Henrique AraГєjo,POR,FW,Arouca,22,12.3,6,26,12,46.2,2.11,0.98,0.12,0.25,3,3
Maximiliano AraГєjo,URU,"MF,DF",Sporting CP,24,19.7,3,17,7,41.2,0.86,0.36,0.18,0.43,0,0
TomГЎs AraГєjo,POR,DF,Benfica,22,25.7,1,6,5,83.3,0.23,0.19,0.17,0.2,0,0
Telmo Arcanjo,CPV,"MF,FW",VitГіria GuimarГЈes,23,14.7,5,30,11,36.7,2.05,0.75,0.17,0.45,0,0
Gboly Ariyibi,USA,"MF,FW",Boavista,29,3.8,0,3,1,33.3,0.79,0.26,0.0,0.0,0,0
Henrique Arreiol,POR,MF,Sporting CP,19,0.3,0,1,0,0.0,3.75,0.0,0.0,0.0,0,0
Bright Arrey-Mbi,GER,DF,Braga,21,12.6,0,1,1,100.0,0.08,0.08,0.0,0.0,0,0
Afonso Assis,POR,MF,Moreirense,18,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Gustavo Assuncao,POR,MF,AVS Futebol,24,17.5,2,14,5,35.7,0.8,0.29,0.0,0.0,2,2
Otavio Ataide,BRA,DF,Porto,22,18.1,2,17,5,29.4,0.94,0.28,0.12,0.4,0,0
JoГЈo AurГ©lio,POR,"DF,MF",Nacional,35,4.5,1,4,1,25.0,0.88,0.22,0.25,1.0,0,0
Fredrik Aursnes,NOR,MF,Benfica,28,26.1,3,28,11,39.3,1.07,0.42,0.11,0.27,0,0
Daniel Azevedo,POR,GK,Casa Pia,26,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ibrahima Ba,SEN,DF,FamalicГЈo,19,1.1,0,1,0,0.0,0.87,0.0,0.0,0.0,0,0
Felix Bacher,AUT,DF,Estoril,23,23.0,2,4,2,50.0,0.17,0.09,0.5,1.0,0,0
Miguel Baeza,ESP,"MF,FW",Nacional,24,2.3,1,2,1,50.0,0.89,0.44,0.5,1.0,0,0
Alexander Bah,DEN,DF,Benfica,26,15.7,0,11,1,9.1,0.7,0.06,0.0,0.0,0,0
Ney Bahia,BRA,FW,Santa Clara,20,0.7,0,1,0,0.0,1.45,0.0,0.0,0.0,0,0
Adrian Bajrami,SUI,DF,Benfica,22,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Theofanis Bakoulas,GRE,MF,Rio Ave,19,4.3,1,7,1,14.3,1.62,0.23,0.14,1.0,0,0
Elves BaldГ©,GNB,"MF,FW",Farense,24,11.6,1,24,7,29.2,2.07,0.6,0.04,0.14,0,0
Mohamed Bamba,CIV,MF,Gil Vicente FC,19,10.6,1,14,4,28.6,1.32,0.38,0.07,0.25,0,0
Robson Bambu,BRA,DF,Braga,26,11.4,1,4,1,25.0,0.35,0.09,0.25,1.0,0,0
Chico Banza,ANG,"FW,MF",Estrela,25,7.6,1,13,4,30.8,1.7,0.52,0.08,0.25,0,0
Simon Banza,COD,"FW,MF",Braga,27,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Rafael Barbosa,POR,MF,Farense,28,4.0,0,7,2,28.6,1.75,0.5,0.0,0.0,0,0
Leandro Barreiro Martins,LUX,MF,Benfica,24,13.5,3,16,9,56.3,1.19,0.67,0.19,0.33,0,0
