Player,Nation,Pos,Squad,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Dzhamalutdin Abdulkadyrov,RUS,DF,CSKA Moscow,19,2.3,0,0,0,2,0,0,0,1,2,,,0
Saminu Abdullahi,NGA,MF,FC Khimki,23,4.0,1,0,0,7,3,0,4,7,2,,,0
Myenty Abena,SUR,DF,Spartak Moscow,29,4.3,1,0,0,8,6,0,0,2,6,,,0
Arsen Adamov,RUS,DF,Akhmat Grozny,24,28.5,0,0,0,11,48,1,40,46,47,,,0
Denis Adamov,RUS,GK,Zenit,26,3.6,0,0,0,0,0,0,0,0,0,,,0
Gamid Agalarov,RUS,FW,D'mo Makhachkala,24,22.6,3,0,0,39,35,15,11,4,3,,,0
Ilya Agapov,RUS,"DF,MF",Nizhny Novgorod,23,4.8,2,0,0,4,2,0,5,6,4,,,0
Stanislav Agkatsev,RUS,GK,Krasnodar,22,30.0,2,0,0,0,5,0,0,0,0,,,0
Ilzat Akhmetov,RUS,MF,Zenit,26,0.6,0,0,0,1,0,0,1,0,0,,,0
Igor Akinfeev,RUS,GK,CSKA Moscow,38,28.0,0,0,0,0,2,0,0,0,0,,,0
Dmitrii Aleksandrov,RUS,MF,Dynamo Moscow,18,1.2,1,0,0,4,2,0,1,2,1,,,0
Viktor Aleksandrov,RUS,DF,Nizhny Novgorod,22,17.4,3,0,0,23,8,0,1,16,26,,,0
Alerrandro,BRA,FW,CSKA Moscow,24,1.7,0,0,0,3,7,1,1,1,0,,,0
Mutalip Alibekov,RUS,DF,D'mo Makhachkala,27,11.6,5,3,1,17,12,0,2,13,20,,,0
Nuraly Alip,KAZ,DF,Zenit,24,10.9,1,0,0,3,5,0,5,12,12,,,0
Ilnur Alshin,RUS,"MF,DF",Fakel Voronezh,30,21.4,4,0,0,37,18,1,114,24,28,,,0
Boni Amian,CIV,MF,FC Khimki,21,0.9,1,0,0,2,1,0,0,0,7,,,0
Victorien Angban,CIV,MF,D'mo Makhachkala,27,2.2,1,0,0,7,2,0,0,1,1,,,0
Nemanja AnД‘elkovic,SRB,DF,FC Khimki,27,5.1,3,0,0,5,8,0,0,6,0,,,0
Khyzyr Appayev,RUS,FW,Fakel Voronezh,34,3.1,1,0,0,4,5,4,4,2,0,,,0
Marat Apshatsev,RUS,MF,Rubin Kazan,23,1.1,0,0,0,4,0,0,0,0,2,,,0
Arthur,BRA,"MF,FW",Dynamo Moscow,26,10.6,2,0,0,16,19,4,21,4,7,,,0
Artur,BRA,MF,Zenit,26,2.8,1,0,0,2,10,1,14,2,4,,,0
Rustam Ashurmatov,UZB,DF,Rubin Kazan,28,7.5,2,0,0,8,4,1,2,16,9,,,0
Eyad El Askalani,EGY,DF,Rostov,19,0.4,1,0,0,2,0,0,2,0,3,,,0
Rustam Г‚timov,TJK,GK,Rostov,26,19.7,0,0,0,0,5,0,0,1,1,,,0
Imran Aznaurov,RUS,FW,Rostov,19,4.1,0,0,0,4,2,0,7,0,3,,,0
Mohammed Azzi,ALG,"MF,DF",D'mo Makhachkala,22,9.0,1,0,0,20,13,3,39,17,26,,,0
Ulvi Babaev,RUS,MF,Samara,20,1.7,0,0,0,7,1,1,5,1,4,,,0
SrД‘an BabiД‡,SRB,DF,Spartak Moscow,28,26.0,10,1,1,37,20,0,0,25,27,,,0
Sergey Babkin,RUS,MF,Samara,21,22.9,3,0,0,19,26,0,8,46,24,,,0
Abdulla Bagamaev,RUS,FW,Fakel Voronezh,19,0.8,1,0,0,2,0,0,0,1,1,,,0
Soltmurad Bakaev,RUS,"FW,MF",FK Akron Tolyatti,24,15.0,5,1,1,25,16,10,58,17,7,,,0
Zelimkhan Bakayev,RUS,"MF,FW",FC Khimki,28,18.1,6,0,0,30,30,4,58,6,14,,,0
FabiГЎn Balbuena,PAR,DF,Dynamo Moscow,32,17.0,2,0,0,5,5,2,8,27,24,,,0
Artem Bandikian,ARM,DF,CSKA Moscow,18,0.1,0,0,0,1,1,0,0,1,0,,,0
Aleksei Baranovskii,RUS,MF,Orenburg,19,2.1,0,0,0,7,0,0,3,1,0,,,0
Esequiel Barco,ARG,MF,Spartak Moscow,25,26.3,5,0,0,10,76,0,114,16,17,,,0
Vyacheslav Bardybakhin,RUS,DF,FK Akron Tolyatti,22,1.8,2,0,0,6,0,0,4,4,5,,,0
Dmitri Barinov,RUS,MF,Loko Moscow,27,25.4,8,0,0,36,23,0,18,35,23,,,0
WГ­lmar Barrios,COL,MF,Zenit,30,27.2,5,0,0,34,44,0,11,38,47,,,0
Ivan BaЕЎiД‡,BIH,MF,Orenburg,22,23.9,9,0,0,35,34,2,119,12,16,,,0
Aleksei Batrakov,RUS,"MF,FW",Loko Moscow,19,28.1,6,0,0,35,54,3,175,18,21,,,0
Batxi,ANG,MF,Krasnodar,26,24.6,3,0,0,8,32,5,65,8,12,,,0
Khoren Bayramyan,ARM,"MF,FW",Rostov,32,8.0,3,0,0,6,8,0,24,5,11,,,0
Aleksandr Belenov,RUS,GK,Fakel Voronezh,37,12.0,1,0,0,0,1,0,1,0,0,,,0
Gilson Benchimol,CPV,"FW,MF",FK Akron Tolyatti,22,11.5,3,1,1,20,18,6,19,0,10,,,0
Bernard Berisha,KVX,"FW,MF",Akhmat Grozny,32,4.9,1,0,0,12,14,4,13,1,7,,,0
Iliya Berkovskiy,RUS,"MF,DF",FC Khimki,24,9.2,0,0,0,16,8,3,12,12,16,,,0
Stanislav Bessmertnyi,RUS,DF,Dynamo Moscow,20,1.3,1,0,0,1,2,0,4,1,1,,,0
Ruslan Bezrukov,RUS,"DF,MF",Rubin Kazan,22,12.9,3,0,0,17,16,2,13,15,21,,,0
Glenn Bijl,NED,DF,Samara,29,16.2,5,1,0,25,13,2,65,12,26,,,1
Kristijan BistroviД‡,CRO,MF,CSKA Moscow,26,10.7,0,0,0,11,13,0,10,6,3,,,0
Bitelo,BRA,MF,Dynamo Moscow,24,23.1,2,0,0,22,53,2,131,17,21,,,0
Ivan Bober,RUS,MF,Samara,18,0.0,0,0,0,0,0,0,0,0,0,,,0
Miroslav Bogosavac,SRB,"DF,MF",Akhmat Grozny,27,8.4,0,0,0,4,17,1,21,10,13,,,0
Marat Bokoev,RUS,DF,FK Akron Tolyatti,23,11.0,4,0,0,16,6,0,3,14,21,,,0
Denis Bokov,RUS,FW,Dynamo Moscow,18,0.1,0,0,0,1,0,0,0,0,0,,,0
Maksim Boldyrev,RUS,MF,FK Akron Tolyatti,20,0.5,0,0,0,0,0,0,3,0,1,,,0
Theo Bongonda,COD,"MF,FW",Spartak Moscow,28,20.4,1,0,0,15,34,7,66,8,19,,,0
Kirill Bozhenov,RUS,"DF,MF",Nizhny Novgorod,23,8.7,2,0,0,17,17,0,14,11,6,,,0
Sergei Bozhin,RUS,DF,Fakel Voronezh,29,20.6,6,0,0,16,21,1,13,35,23,,,1
Mohamed Brahimi,FRA,"MF,DF",Fakel Voronezh,25,20.8,7,0,0,41,57,5,64,27,52,,,0
Sergei Bryzgalov,RUS,DF,Fakel Voronezh,31,1.8,3,1,1,2,1,0,0,2,5,,,0
Juan CГЎceres,PAR,DF,Dynamo Moscow,24,10.0,1,0,0,14,10,0,30,19,25,,,0
Egas Cacintura,ANG,"FW,MF",D'mo Makhachkala,26,23.5,5,1,0,36,65,6,83,9,24,,,0
Camilo,BRA,MF,Akhmat Grozny,25,15.1,6,0,0,22,14,0,5,38,41,,,0
Felippe Cardoso,BRA,FW,Akhmat Grozny,25,6.8,3,0,0,5,16,5,0,2,0,,,0
Roberto Carlos FernГЎndez,BOL,DF,FK Akron Tolyatti,25,18.0,4,0,0,22,19,1,68,29,33,,,0
Jorge Carrascal,COL,"MF,FW",Dynamo Moscow,26,19.2,3,1,0,33,55,10,49,7,27,,,0
Mateo Cassierra,COL,"FW,MF",Zenit,27,20.3,0,0,0,22,14,8,0,3,13,,,0
Kevin CastaГ±o,COL,MF,Krasnodar,23,6.4,1,0,0,9,1,0,8,0,9,,,0
Juan Castillo,COL,"DF,MF",Nizhny Novgorod,21,3.9,1,0,0,5,1,0,15,3,2,,,0
Thabo Cele,RSA,"MF,FW",Fakel Voronezh,27,5.5,0,0,0,7,5,0,15,10,9,,,0
Ronaldo Cesar,BRA,"FW,MF",Rostov,23,26.2,4,0,0,34,32,9,11,4,21,,,0
Fyodor Chalov,RUS,FW,CSKA Moscow,26,1.0,0,0,0,1,0,1,0,0,0,,,0
Luis ChГЎvez,MEX,MF,Dynamo Moscow,28,15.5,3,0,0,19,15,1,45,11,10,,,0
Aleksandr Chernikov,RUS,MF,Krasnodar,24,20.6,9,0,0,42,21,0,4,27,32,,,0
Nikita Chernov,RUS,DF,Spartak Moscow,28,4.8,1,0,0,11,1,0,0,5,3,,,0
Yevgeni Chernov,RUS,DF,Rostov,31,2.3,1,0,0,3,1,0,23,5,1,,,0
Vasili Cherov,RUS,DF,Fakel Voronezh,28,0.8,0,0,0,1,0,0,2,1,1,,,0
Artem Chistiakov,RUS,DF,Nizhny Novgorod,17,0.1,0,0,0,0,0,0,1,0,0,,,0
Claudinho,BRA,MF,Zenit,27,13.3,3,0,0,14,27,1,37,16,13,,,0
Jhon CГіrdoba,COL,FW,Krasnodar,31,24.5,9,1,1,65,90,32,9,1,4,,,0
ГЃlex Corredera,ESP,MF,FC Khimki,28,14.5,1,0,0,9,18,0,39,7,19,,,0
Fernando Costanza,BRA,MF,Samara,25,18.8,7,2,1,37,27,1,16,28,35,,,0
Justin Cuero,ECU,FW,Orenburg,20,1.1,1,0,0,3,1,0,0,0,1,,,0
Nikola ДЊumiД‡,SRB,"MF,FW",Rubin Kazan,25,11.9,2,0,0,6,12,6,16,2,6,,,0
Marvin Cuni,ALB,FW,Rubin Kazan,23,5.1,1,0,0,8,15,0,6,2,4,,,0
Mirlind Daku,ALB,FW,Rubin Kazan,26,25.6,10,2,2,74,54,21,10,7,9,,,0
Kirill Danilin,RUS,"FW,MF",FK Akron Tolyatti,21,17.2,4,1,1,33,28,6,87,9,20,,,0
Eli Dasa,ISR,DF,Dynamo Moscow,31,15.5,3,0,0,21,14,0,37,11,14,,,0
Moses David Cobnan,NGA,"MF,FW",Krasnodar,21,6.5,3,0,0,18,7,2,6,1,4,,,0
VГ­ctor DГЎvila,CHI,"FW,MF",CSKA Moscow,26,3.0,0,0,0,1,6,3,5,5,2,,,0
Daniil Denisov,RUS,DF,Spartak Moscow,21,20.2,8,0,0,27,4,1,36,16,34,,,1
Diego,BRA,DF,Krasnodar,25,27.9,7,1,1,34,5,2,6,34,36,,,0
Bojan Dimoski,MKD,DF,FK Akron Tolyatti,22,8.4,2,0,0,13,4,0,23,10,11,,,0
Zaim DivanoviД‡,MNE,MF,Akhmat Grozny,23,1.8,0,0,0,1,2,0,1,1,5,,,0
Igor Diveev,RUS,DF,CSKA Moscow,24,25.7,2,0,0,18,5,0,2,19,29,,,0
Arsenii Dmitriev,RUS,FW,FK Akron Tolyatti,17,0.9,0,0,0,1,2,1,7,0,0,,,1
Igor Dmitriev,RUS,MF,Samara,20,8.9,3,0,0,12,14,7,16,4,10,,,0
Aleksandr Dovbnya,RUS,GK,Spartak Moscow,37,0.2,0,0,0,0,0,0,0,0,0,,,0
Vanja DrkuЕЎiДЌ,SVN,"DF,MF",Zenit,24,4.9,0,0,0,7,6,1,0,6,2,,,0
Alexis Duarte,PAR,DF,Spartak Moscow,24,11.9,6,1,1,8,6,0,9,19,18,,,0
Abdulpasha Dzhabrailov,RUS,MF,D'mo Makhachkala,19,3.5,0,0,0,9,3,0,3,8,5,,,0
Georgi Dzhikiya,RUS,DF,FC Khimki,30,14.9,2,0,0,7,9,0,3,10,11,,,0
Maks Dziov,RUS,DF,Fakel Voronezh,22,19.9,7,1,1,34,18,4,13,20,29,,,0
Artem Dzyuba,RUS,FW,FK Akron Tolyatti,35,19.1,1,0,0,27,19,13,2,1,4,,,0
Houssem Eddine Mrezigue,ALG,MF,D'mo Makhachkala,24,19.0,2,1,0,32,20,2,20,35,31,,,0
Aleksandr Ektov,RUS,"DF,MF",Krasnodar,28,22.700000000000003,4,0,0,29,16,0,39,23,19,,,0
Abu-Said Eldarushev,RUS,FW,FK Akron Tolyatti,22,0.7,0,0,0,2,1,0,1,1,0,,,0
Strahinja ErakoviД‡,SRB,DF,Zenit,23,17.8,4,1,1,27,13,1,9,24,31,,,0
Nikita Ermakov,RUS,"MF,FW",Nizhny Novgorod,21,13.3,1,0,0,24,9,4,7,13,15,,,0
Aleksandr Erokhin,RUS,MF,Zenit,34,2.9,1,0,0,6,3,1,3,2,1,,,0
Sherzod Esanov,UZB,MF,FK Akron Tolyatti,21,2.7,2,0,0,6,4,0,2,2,7,,,0
JoГЈo Escoval,POR,DF,FK Akron Tolyatti,27,25.5,3,0,0,32,6,2,3,26,25,,,0
Joel Fameyeh,GHA,FW,Rubin Kazan,27,1.2,0,0,0,2,3,0,4,0,0,,,0
Edgardo FariГ±a,PAN,DF,FC Khimki,22,12.0,7,1,0,14,8,1,2,19,17,,,0
Lucas Fasson,BRA,"DF,MF",Loko Moscow,23,10.4,3,0,0,11,5,0,4,8,11,,,0
Abbosbek Fayzullayev,UZB,"FW,MF",CSKA Moscow,20,20.1,5,0,0,35,38,2,76,12,32,,,0
Dani Fernandez,ESP,DF,FC Khimki,27,19.4,5,0,0,26,19,2,42,13,20,,,0
Roberto FernГЎndez,PAR,DF,Dynamo Moscow,24,18.1,6,0,0,26,11,1,6,19,36,,,0
Oleksandr Filin,RUS,DF,FC Khimki,28,30.0,2,0,0,24,31,3,7,31,30,,,0
Gabriel FlorentГ­n,ARG,MF,Orenburg,25,2.9,0,0,0,3,5,0,9,1,5,,,0
Daniil Fomin,RUS,MF,Dynamo Moscow,27,22.7,5,1,0,37,26,3,15,19,20,,,0
Albert Gabaraev,RUS,DF,Fakel Voronezh,26,2.3,0,0,0,1,2,1,2,3,0,,,0
Abakar Gadzhiev,RUS,FW,D'mo Makhachkala,20,11.1,5,0,0,25,14,1,47,10,16,,,0
Shamil Gadzhiev,RUS,MF,D'mo Makhachkala,19,0.1,0,0,0,0,0,0,0,0,0,,,0
Luka Gagnidze,GEO,MF,Dynamo Moscow,21,2.7,1,0,0,2,3,0,0,3,3,,,0
Adolfo Gaich,ARG,FW,CSKA Moscow,25,0.1,0,0,0,1,2,1,0,0,1,,,0
Milan GajiД‡,SRB,"MF,DF",CSKA Moscow,28,13.9,4,0,0,23,5,2,33,6,8,,,0
Thomas Galdames,CHI,DF,Samara,25,13.9,3,0,0,18,14,0,82,10,15,,,0
Artur Galoyan,ARM,MF,FK Akron Tolyatti,25,2.1,1,0,0,3,3,0,19,1,5,,,0
Ilya Gaponov,RUS,DF,Samara,26,7.2,1,1,0,4,1,1,0,6,6,,,0
Levi Garcia,TRI,"FW,MF",Spartak Moscow,26,7.0,0,0,0,11,11,3,5,0,1,,,0
BenjamГ­n GarrГ©,ARG,MF,Samara,24,10.1,2,0,0,16,23,0,47,14,14,,,0
Yuri Gazinskiy,RUS,MF,Krasnodar,35,0.2,0,0,0,0,0,0,0,0,0,,,0
Nader Ghandri,TUN,DF,Akhmat Grozny,29,19.1,10,0,0,27,29,3,6,33,17,,,0
Mohammed Ghorbani,IRN,MF,Orenburg,23,15.0,3,0,0,21,12,2,4,13,17,,,0
Nikolai Giorgobiani,RUS,"MF,FW",Fakel Voronezh,27,6.0,1,0,0,6,16,2,38,2,4,,,0
Yaroslav Gladyshev,RUS,"MF,FW",Dynamo Moscow,21,18.7,1,0,0,24,25,7,22,13,12,,,0
Dan Glazer,ISR,MF,Nizhny Novgorod,27,5.7,1,0,0,7,6,0,0,18,7,,,0
Danil Glebov,RUS,MF,Rostov,24,26.1,3,0,0,17,31,0,25,34,24,,,0
Kirill Glebov,RUS,FW,CSKA Moscow,18,4.9,1,0,0,10,10,1,6,6,6,,,0
Denis Glushakov,RUS,MF,FC Khimki,37,0.6,0,0,0,0,0,0,0,0,1,,,0
Kirill Glushchenkov,RUS,MF,Nizhny Novgorod,24,0.3,0,0,0,0,0,0,1,0,0,,,0
Maksim Glushenkov,RUS,MF,Zenit,25,14.0,3,0,0,17,29,8,81,7,13,,,0
Nikita Glushkov,RUS,MF,D'mo Makhachkala,25,25.9,9,0,0,30,37,1,13,73,39,,,0
Danila Godiaev,RUS,MF,Loko Moscow,20,5.8,1,0,0,15,11,0,3,5,5,,,0
Leo Goglichidze,RUS,DF,Akhmat Grozny,27,2.3,0,0,0,4,2,1,4,1,8,,,0
CГЁdric Gogoua,CIV,DF,FC Khimki,30,1.9,0,1,0,3,2,0,0,2,1,,,0
Yegor Golenkov,RUS,FW,Rostov,25,12.5,4,0,0,17,9,6,1,7,1,,,0
Petar GoluboviД‡,SRB,"DF,MF",FC Khimki,30,9.8,2,0,0,14,12,0,14,17,9,,,0
Luciano Gondou,ARG,"FW,MF",Zenit,23,15.6,3,0,0,20,28,6,12,6,15,,,0
Giovanni GonzГЎlez,URU,DF,Krasnodar,29,11.6,4,0,0,14,14,0,34,20,16,,,0
Yuri Gorshkov,RUS,"MF,DF",Zenit,25,5.6,0,0,0,6,6,0,19,4,5,,,0
Kirill Gotsuk,RUS,DF,Nizhny Novgorod,31,18.7,1,0,0,21,12,5,0,16,11,,,0
Sergei Gribov,RUS,FW,FK Akron Tolyatti,19,2.6,1,0,0,9,4,1,0,0,1,,,0
Aleksei Gritsayenko,RUS,DF,Rubin Kazan,29,22.5,3,1,1,22,17,0,1,44,18,,,0
Vyacheslav Grulyov,RUS,"FW,MF",Nizhny Novgorod,25,8.2,1,0,0,11,12,0,7,5,3,,,0
SaГєl Guarirapa,VEN,FW,CSKA Moscow,21,10.1,4,0,0,16,13,4,9,0,3,,,0
Vitali Gudiyev,RUS,GK,Fakel Voronezh,29,18.0,1,0,0,0,1,0,0,0,0,,,0
Emircan GГјrlГјk,TUR,MF,Orenburg,20,11.2,0,0,0,13,17,1,46,7,8,,,0
Hidajet HankiД‡,BIH,GK,Rostov,30,2.0,0,0,0,0,1,0,0,0,0,,,0
Luiz Henrique,BRA,MF,Zenit,23,10.6,2,0,0,15,29,1,15,8,12,,,0
Veldin HodЕѕa,KVX,MF,Rubin Kazan,21,14.1,5,0,0,35,15,0,13,6,23,,,0
Javad Hosseinnezhad,IRN,"MF,FW",D'mo Makhachkala,21,11.7,3,0,0,14,23,2,39,10,12,,,0
Turpal Ibishev,RUS,DF,Akhmat Grozny,22,16.3,3,0,0,12,15,0,0,15,20,,,0
German Ignatov,RUS,DF,Rostov,18,6.1,1,0,0,4,2,0,16,8,7,,,0
Mikhail Ignatov,RUS,"MF,FW",Spartak Moscow,24,2.4,0,0,0,4,2,5,5,0,0,,,0
Vladimir Ilyin,RUS,FW,Fakel Voronezh,32,20.6,5,0,0,31,16,4,10,11,6,,,0
Oleg Isaenko,RUS,DF,FC Khimki,24,0.1,0,0,0,0,0,0,0,0,0,,,0
Wilson Isidor,FRA,"FW,MF",Zenit,23,0.7,0,0,0,1,1,0,0,0,0,,,0
Dmytro Ivanisenya,UKR,MF,Samara,30,4.3,2,0,0,4,3,0,2,2,6,,,0
Oleg Ivanov,RUS,MF,Rubin Kazan,37,6.8,3,0,0,7,7,0,9,6,9,,,0
Andrei Ivlev,RUS,MF,Fakel Voronezh,17,10.4,1,0,0,9,11,1,37,6,13,,,0
Uguchukwu Iwu,ARM,MF,Rubin Kazan,24,23.8,5,0,0,29,12,0,6,31,37,,,0
Bogdan Jocic,SRB,MF,Rubin Kazan,23,9.8,1,0,0,21,7,0,3,14,13,,,0
Willian JosГ©,BRA,FW,Spartak Moscow,32,1.6,0,0,0,0,1,2,0,0,2,,,0
Aleksandar Jukic,AUT,"MF,FW",Rubin Kazan,24,2.8,1,0,0,1,3,0,10,1,2,,,0
Dmitri Kabutov,RUS,"DF,MF",Rubin Kazan,32,27.3,7,1,1,43,41,0,165,31,44,,,0
Soslan Kagermazov,RUS,"MF,DF",D'mo Makhachkala,27,19.1,3,0,0,17,22,1,40,21,36,,,0
Nikita Kakkoyev,RUS,"DF,MF",Nizhny Novgorod,24,23.0,6,1,0,27,36,1,12,30,53,,,0
Ihor Kalinin,UKR,"DF,MF",Fakel Voronezh,28,18.4,5,0,0,24,29,0,135,22,21,,,0
Nikolay Kalinsky,RUS,MF,Nizhny Novgorod,30,18.8,4,0,0,15,20,0,103,24,17,,,0
Vladislav Kamilov,RUS,MF,Akhmat Grozny,28,14.9,5,1,0,33,28,1,19,22,14,,,0
Kirill Kaplenko,BLR,MF,FC Khimki,25,1.7,0,0,0,2,0,0,0,2,2,,,0
Vladislav Karapuzov,RUS,"FW,DF",Nizhny Novgorod,24,6.6,3,1,0,9,7,0,33,4,8,,,0
KazД±mcan KarataЕџ,TUR,DF,Orenburg,21,13.7,2,0,0,9,9,2,48,20,20,,,0
Vyacheslav Karavayev,RUS,DF,Zenit,29,8.3,0,0,0,5,1,3,15,3,12,,,0
Artem Karpukas,RUS,MF,Loko Moscow,22,17.3,3,0,0,27,25,0,8,23,28,,,0
Aleksei Kashtanov,RUS,FW,Fakel Voronezh,28,17.7,2,0,0,28,30,18,6,3,3,,,0
Artem Kasimov,RUS,DF,Orenburg,21,10.1,1,0,0,7,0,1,0,13,17,,,0
Anton KavaloЕ­,BLR,"MF,DF",Fakel Voronezh,24,2.6,0,0,0,1,4,1,6,0,1,,,0
Evgenii Kharin,RUS,MF,Akhmat Grozny,29,0.3,1,0,0,2,0,1,0,0,0,,,0
Khellven,BRA,"MF,DF",CSKA Moscow,23,17.4,3,0,0,22,14,1,50,19,27,,,0
Daniil Khlusevich,RUS,"DF,MF",Spartak Moscow,23,7.8,3,0,0,16,3,2,17,4,14,,,0
Khetag Khosonov,RUS,MF,FC Khimki,26,14.9,0,0,0,32,13,0,16,13,12,,,0
Danila Khotulev,RUS,DF,Orenburg,21,7.1,2,0,0,6,2,0,1,13,10,,,0
Maksim Khramtsov,RUS,DF,D'mo Makhachkala,22,0.3,0,0,0,1,0,0,0,0,1,,,0
Vladimir Khubulov,RUS,"MF,FW",FK Akron Tolyatti,23,10.8,2,0,0,28,24,2,36,4,18,,,0
Ilia Kirsh,RUS,"MF,DF",D'mo Makhachkala,19,1.9,1,0,0,4,0,1,0,1,2,,,0
Matvei Kisliak,RUS,MF,CSKA Moscow,19,17.6,5,0,0,19,42,0,6,23,36,,,0
Sekou Koita,MLI,"FW,MF",CSKA Moscow,24,8.9,3,0,0,12,13,2,5,5,11,,,0
Nikita Kokarev,RUS,GK,FC Khimki,21,21.0,0,0,0,1,4,0,0,1,0,,,0
Aleksandr Koksharov,RUS,FW,Nizhny Novgorod,19,4.5,0,0,0,17,9,0,0,1,1,,,0
Aleksey Koltakov,RUS,MF,Rostov,18,1.0,1,0,0,1,0,0,1,3,0,,,0
Ivan Komarov,RUS,MF,Rostov,21,13.1,4,0,0,23,28,1,88,10,17,,,0
Nikolay Komlichenko,RUS,FW,Rostov,29,21.5,2,0,0,42,53,7,4,6,2,,,0
Nikita Kotin,RUS,DF,D'mo Makhachkala,21,0.8,0,0,0,1,2,0,0,0,1,,,0
Vladimir KovaДЌeviД‡,SRB,DF,D'mo Makhachkala,31,0.0,0,0,0,0,0,0,0,0,0,,,0
Svetoslav Kovachev,BUL,"MF,FW",Akhmat Grozny,26,5.5,3,0,0,9,5,2,9,1,5,,,0
Aleksandr Kovalenko,RUS,MF,Orenburg,20,8.6,3,1,1,19,13,0,14,8,7,,,0
Danila Kozlov,RUS,"MF,FW",Krasnodar,19,4.8,3,0,0,9,9,0,13,2,5,,,0
Anton Krachkovskii,RUS,MF,D'mo Makhachkala,22,3.4,1,0,0,9,0,1,2,2,4,,,0
Yaroslav Krashevskiy,RUS,DF,Nizhny Novgorod,20,0.7,0,0,0,0,0,1,1,0,0,,,0
Nikita Krivtsov,RUS,MF,Krasnodar,21,13.1,2,0,0,25,8,0,6,17,14,,,0
Danil Krugovoy,RUS,"MF,DF",CSKA Moscow,26,21.6,3,0,0,16,9,3,92,21,16,,,0
Konstantin Kuchayev,RUS,MF,Rostov,26,13.2,2,0,0,17,20,0,28,8,19,,,0
Nikoloz Kutateladze,GEO,FW,Nizhny Novgorod,23,0.4,0,0,0,0,0,0,0,0,1,,,0
Aleksandr Kutitskiy,RUS,"DF,MF",Dynamo Moscow,22,16.8,1,0,0,10,8,0,6,26,13,,,1
Maksim Kuzmin,RUS,MF,FK Akron Tolyatti,28,17.8,3,0,0,24,17,1,74,24,31,,,0
Daniil Kuznetsov,RUS,FW,Rubin Kazan,21,0.0,0,0,0,0,0,1,0,0,0,,,0
Irakli Kvekveskiri,GEO,MF,Fakel Voronezh,34,21.6,10,0,0,42,29,0,12,33,35,,,0
Andrey Langovich,RUS,DF,Rostov,21,18.6,5,0,0,19,21,0,65,38,21,,,0
Ilya Lantratov,RUS,GK,Loko Moscow,28,22.0,2,0,0,1,2,0,0,0,0,,,0
Yevgeni Latyshonok,RUS,GK,Zenit,26,26.4,1,0,0,0,3,0,0,0,1,,,0
Diego Laxalt,URU,"MF,DF",Dynamo Moscow,31,10.3,1,0,0,9,20,1,10,8,15,,,0
Ivan Lepskii,RUS,DF,Dynamo Moscow,19,2.9,0,0,0,1,0,0,0,3,2,,,0
Igor Leshchuk,RUS,GK,Dynamo Moscow,28,4.1,0,0,0,0,1,0,0,0,0,,,0
Ruslan Litvinov,RUS,DF,Spartak Moscow,22,16.2,3,2,0,40,7,2,13,24,18,,,1
Ivan Lomaev,RUS,GK,Samara,25,12.3,0,0,0,0,3,0,0,0,0,,,0
Aleksandr Lomovitskiy,RUS,"FW,MF",Fakel Voronezh,26,6.7,0,0,0,12,5,1,41,1,8,,,0
