Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
Dzhamalutdin Abdulkadyrov,RUS,DF,CSKA Moscow,19,3,2,209,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8,0,2,0,0,0,1,2,0,3,0,0.0,1.29,0.0,0.0,0.0
Saminu Abdullahi,NGA,MF,FC Khimki,23,7,4,356,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0,7,3,0,4,7,2,0,3,1,33.3,0.76,0.25,0.0,0.0
Myenty Abena,SUR,DF,Spartak Moscow,29,7,4,383,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.7,0,8,6,0,0,2,6,0,0,0,0.0,0.0,0.0,0.0,0.0
Arsen Adamov,RUS,DF,Akhmat Grozny,24,30,29,2563,28.5,1,1,2,1,0,0,0,0,0.04,0.04,0.07,0.04,0.07,2.0,0,11,48,1,40,46,47,0,25,5,20.0,0.88,0.18,0.04,0.2
Denis Adamov,RUS,GK,Zenit,26,4,3,327,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Gamid Agalarov,RUS,FW,D'mo Makhachkala,24,28,26,2039,22.6,7,4,11,5,2,3,3,0,0.31,0.18,0.49,0.22,0.4,1.2,0,39,35,15,11,4,3,0,40,18,45.0,1.77,0.8,0.18,0.39
Ilya Agapov,RUS,"DF,MF",Nizhny Novgorod,23,6,6,428,4.8,0,1,1,0,0,0,2,0,0.0,0.21,0.21,0.0,0.21,1.0,0,4,2,0,5,6,4,0,1,0,0.0,0.21,0.0,0.0,0.0
Stanislav Agkatsev,RUS,GK,Krasnodar,22,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,7.5,0,0,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ilzat Akhmetov,RUS,MF,Zenit,26,5,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0,1,0,0,1,0,0,0,3,0,0.0,4.91,0.0,0.0,0.0
Igor Akinfeev,RUS,GK,CSKA Moscow,38,28,28,2520,28.0,0,1,1,0,0,0,0,0,0.0,0.04,0.04,0.0,0.04,1.0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Dmitrii Aleksandrov,RUS,MF,Dynamo Mosc,18,6,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.35,0,4,2,0,1,2,1,0,2,0,0.0,1.65,0.0,0.0,0.0
Viktor Aleksandrov,RUS,DF,Nizhny Novgorod,22,21,17,1569,17.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,1.2,0,23,8,0,1,16,26,0,4,0,0.0,0.23,0.0,0.0,0.0
Alerrandro,BRA,FW,CSKA Moscow,24,6,2,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.5,0,3,7,1,1,1,0,0,1,0,0.0,0.57,0.0,0.0,0.0
Mutalip Alibekov,RUS,DF,D'mo Makhachkala,27,15,12,1042,11.6,0,0,0,0,0,0,5,3,0.0,0.0,0.0,0.0,0.0,0.7,1,17,12,0,2,13,20,0,7,3,42.9,0.6,0.26,0.0,0.0
Nuraly Alip,KAZ,DF,Zenit,24,19,7,980,10.9,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,3.0,0,3,5,0,5,12,12,0,10,3,30.0,0.92,0.28,0.1,0.33
Ilnur Alshin,RUS,"MF,DF",Fakel Voronezh,30,27,24,1928,21.4,2,1,3,2,0,0,4,0,0.09,0.05,0.14,0.09,0.14,0.5,0,37,18,1,114,24,28,0,23,5,21.7,1.07,0.23,0.09,0.4
Boni Amian,CIV,MF,FC Khimki,21,5,0,78,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.15,0,2,1,0,0,0,7,0,0,0,0.0,0.0,0.0,0.0,0.0
Victorien Angban,CIV,MF,D'mo Makhachkala,27,5,2,200,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0,7,2,0,0,1,1,0,1,0,0.0,0.45,0.0,0.0,0.0
Nemanja Andjelkovic,SRB,DF,FC Khimki,27,7,5,458,5.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.75,0,5,8,0,0,6,0,0,2,1,50.0,0.39,0.2,0.0,0.0
Khyzyr Appayev,RUS,FW,Fakel Voronezh,34,7,1,281,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.125,0,4,5,4,4,2,0,0,5,1,20.0,1.6,0.32,0.0,0.0
Marat Apshatsev,RUS,MF,Rubin Kazan,23,7,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0,4,0,0,0,0,2,0,2,1,50.0,1.8,0.9,0.0,0.0
Arthur,BRA,"MF,FW",Dynamo Mosc,26,16,13,950,10.6,3,2,5,2,1,1,2,0,0.28,0.19,0.47,0.19,0.38,3.5,0,16,19,4,21,4,7,0,18,9,50.0,1.71,0.85,0.11,0.22
Artur,BRA,MF,Zenit,26,11,1,254,2.8,1,2,3,1,0,0,1,0,0.35,0.71,1.06,0.35,1.06,8.0,0,2,10,1,14,2,4,0,8,6,75.0,2.83,2.13,0.13,0.17
Rustam Ashurmatov,UZB,DF,Rubin Kazan,28,14,7,678,7.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.6,0,8,4,1,2,16,9,0,4,0,0.0,0.53,0.0,0.0,0.0
Eyad El Askalani,EGY,DF,Rostov,19,2,0,35,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0,2,0,0,2,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0
Rustam Âtimov,TJK,GK,Rostov,26,20,20,1771,19.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0,0,5,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
Imran Aznaurov,RUS,FW,Rostov,19,6,5,372,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.25,0,4,2,0,7,0,3,0,6,3,50.0,1.45,0.73,0.0,0.0
Mohammed Azzi,ALG,"MF,DF",D'mo Makhachkala,22,10,9,810,9.0,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,0.8,0,20,13,3,39,17,26,0,10,4,40.0,1.11,0.44,0.1,0.25
Ulvi Babaev,RUS,MF,Samara,20,13,1,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.25,0,7,1,1,5,1,4,0,7,2,28.6,4.04,1.15,0.0,0.0
Srdjan Babic,SRB,DF,Spartak Moscow,28,26,26,2336,26.0,2,1,3,2,0,0,10,1,0.08,0.04,0.12,0.08,0.12,6.0,1,37,20,0,0,25,27,0,17,4,23.5,0.65,0.15,0.12,0.5
Sergey Babkin,RUS,MF,Samara,21,29,28,2061,22.9,0,1,1,0,0,0,3,0,0.0,0.04,0.04,0.0,0.04,1.8,0,19,26,0,8,46,24,0,16,7,43.8,0.7,0.31,0.0,0.0
Abdulla Bagamaev,RUS,FW,Fakel Voronezh,19,3,0,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.225,0,2,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
