Player,Nation,Pos,Squad,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Dzhamalutdin Abdulkadyrov,RUS,DF,CSKA Moscow,19,2.3,0,3,0,0.0,1.29,0.0,0.0,0.0,0,0
Saminu Abdullahi,NGA,MF,FC Khimki,23,4.0,0,3,1,33.3,0.76,0.25,0.0,0.0,0,0
Myenty Abena,SUR,DF,Spartak Moscow,29,4.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Arsen Adamov,RUS,DF,Akhmat Grozny,24,28.5,1,25,5,20.0,0.88,0.18,0.04,0.2,0,0
Denis Adamov,RUS,GK,Zenit,26,3.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Gamid Agalarov,RUS,FW,D'mo Makhachkala,24,22.6,7,40,18,45.0,1.77,0.8,0.18,0.39,2,3
Ilya Agapov,RUS,"DF,MF",Nizhny Novgorod,23,4.8,0,1,0,0.0,0.21,0.0,0.0,0.0,0,0
Stanislav Agkatsev,RUS,GK,Krasnodar,22,30.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ilzat Akhmetov,RUS,MF,Zenit,26,0.6,0,3,0,0.0,4.91,0.0,0.0,0.0,0,0
Igor Akinfeev,RUS,GK,CSKA Moscow,38,28.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Dmitrii Aleksandrov,RUS,MF,Dynamo Moscow,18,1.2,0,2,0,0.0,1.65,0.0,0.0,0.0,0,0
Viktor Aleksandrov,RUS,DF,Nizhny Novgorod,22,17.4,0,4,0,0.0,0.23,0.0,0.0,0.0,0,0
Alerrandro,BRA,FW,CSKA Moscow,24,1.7,0,1,0,0.0,0.57,0.0,0.0,0.0,0,0
Mutalip Alibekov,RUS,DF,D'mo Makhachkala,27,11.6,0,7,3,42.9,0.6,0.26,0.0,0.0,0,0
Nuraly Alip,KAZ,DF,Zenit,24,10.9,1,10,3,30.0,0.92,0.28,0.1,0.33,0,0
Ilnur Alshin,RUS,"MF,DF",Fakel Voronezh,30,21.4,2,23,5,21.7,1.07,0.23,0.09,0.4,0,0
Boni Amian,CIV,MF,FC Khimki,21,0.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Victorien Angban,CIV,MF,D'mo Makhachkala,27,2.2,0,1,0,0.0,0.45,0.0,0.0,0.0,0,0
Nemanja AnД‘elkovic,SRB,DF,FC Khimki,27,5.1,0,2,1,50.0,0.39,0.2,0.0,0.0,0,0
Khyzyr Appayev,RUS,FW,Fakel Voronezh,34,3.1,0,5,1,20.0,1.6,0.32,0.0,0.0,0,0
Marat Apshatsev,RUS,MF,Rubin Kazan,23,1.1,0,2,1,50.0,1.8,0.9,0.0,0.0,0,0
Arthur,BRA,"MF,FW",Dynamo Moscow,26,10.6,3,18,9,50.0,1.71,0.85,0.11,0.22,1,1
Artur,BRA,MF,Zenit,26,2.8,1,8,6,75.0,2.83,2.13,0.13,0.17,0,0
Rustam Ashurmatov,UZB,DF,Rubin Kazan,28,7.5,0,4,0,0.0,0.53,0.0,0.0,0.0,0,0
Eyad El Askalani,EGY,DF,Rostov,19,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Rustam Г‚timov,TJK,GK,Rostov,26,19.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0
Imran Aznaurov,RUS,FW,Rostov,19,4.1,0,6,3,50.0,1.45,0.73,0.0,0.0,0,0
Mohammed Azzi,ALG,"MF,DF",D'mo Makhachkala,22,9.0,1,10,4,40.0,1.11,0.44,0.1,0.25,0,0
Ulvi Babaev,RUS,MF,Samara,20,1.7,0,7,2,28.6,4.04,1.15,0.0,0.0,0,0
SrД‘an BabiД‡,SRB,DF,Spartak Moscow,28,26.0,2,17,4,23.5,0.65,0.15,0.12,0.5,0,0
