Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Value,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,league,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
Dzhamalutdin Abdulkadyrov,RUS,DF,CSKA Moscow,19.0,3.0,2.0,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.29,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Saminu Abdullahi,NGA,MF,FC Khimki,23.0,7.0,4.0,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,7.0,3.0,0.0,4.0,7.0,2.0,0.0,3.0,1.0,33.3,0.76,0.25,0.0,0.0,RU1,,,,,,,,,,,,
Myenty Abena,SUR,DF,Spartak Moscow,29.0,7.0,4.0,383.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,8.0,6.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Arsen Adamov,RUS,DF,Akhmat Grozny,24.0,30.0,29.0,2563.0,28.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.04,0.07,2.0,0.0,11.0,48.0,1.0,40.0,46.0,47.0,0.0,25.0,5.0,20.0,0.88,0.18,0.04,0.2,RU1,,,,,,,,,,,,
Gamid Agalarov,RUS,FW,D'mo Makhachkala,24.0,28.0,26.0,2039.0,22.6,7.0,4.0,11.0,5.0,2.0,3.0,3.0,0.0,0.31,0.18,0.49,0.22,0.4,1.2,0.0,39.0,35.0,15.0,11.0,4.0,3.0,0.0,40.0,18.0,45.0,1.77,0.8,0.18,0.39,RU1,,,,,,,,,,,,
Ilya Agapov,RUS,"DF,MF",Nizhny Novgorod,23.0,6.0,6.0,428.0,4.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.21,0.21,0.0,0.21,1.0,0.0,4.0,2.0,0.0,5.0,6.0,4.0,0.0,1.0,0.0,0.0,0.21,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Ilzat Akhmetov,RUS,MF,Zenit,26.0,5.0,0.0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.91,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Dmitrii Aleksandrov,RUS,MF,Dynamo Mosc,18.0,6.0,1.0,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,4.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.65,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Viktor Aleksandrov,RUS,DF,Nizhny Novgorod,22.0,21.0,17.0,1569.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,23.0,8.0,0.0,1.0,16.0,26.0,0.0,4.0,0.0,0.0,0.23,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Alerrandro,BRA,FW,CSKA Moscow,24.0,6.0,2.0,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.57,0.0,0.0,0.0,RU1,,,,,,,,,,,,
Mutalip Alibekov,RUS,DF,D'mo Makhachkala,27.0,15.0,12.0,1042.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,17.0,12.0,0.0,2.0,13.0,20.0,0.0,7.0,3.0,42.9,0.6,0.26,0.0,0.0,RU1,,,,,,,,,,,,
