Player,Value,Squad
Simon Mignolet,1.2,Club Brugge
Nordin Jackers,1.2,Club Brugge
Axl De Corte,0.4,Club Brugge
Dani van den Heuvel,0.2,Club Brugge
Joel Ordóñez,28.0,Club Brugge
Brandon Mechele,3.5,Club Brugge
Zaid Romero,3.0,Club Brugge
Jorne Spileers,2.0,Club Brugge
Vince Osuji,1.2,Club Brugge
Amine Et-Taïbi,0.4,Club Brugge
Bi Abdoul Kader Yameogo,0.4,Club Brugge
Dedryck Boyata,0.2,Club Brugge
Maxim De Cuyper,16.0,Club Brugge
Joaquin Seys,8.0,Club Brugge
Bjorn Meijer,4.0,Club Brugge
Kyriani Sabbe,4.5,Club Brugge
Hugo Siquet,4.0,Club Brugge
Siebe Wylin,0.4,Club Brugge
Denzel De Roeve,0.4,Club Brugge
Ardon Jashari,32.0,Club Brugge
Raphael Onyedika,20.0,Club Brugge
Lynnt Audoor,0.6,Club Brugge
Hugo Vetlesen,4.0,Club Brugge
Casper Nielsen,2.5,Club Brugge
Hans Vanaken,7.0,Club Brugge
Antonio Nusa,28.0,Club Brugge
Christos Tzolis,25.0,Club Brugge
Shandre Campbell,1.0,Club Brugge
Andreas Skov Olsen,14.0,Club Brugge
Chemsdine Talbi,8.0,Club Brugge
Michal Skoras,2.5,Club Brugge
Philip Zinckernagel,2.0,Club Brugge
Ferran Jutglà,8.0,Club Brugge
Romeo Vermant,6.0,Club Brugge
Gustaf Nilsson,5.0,Club Brugge
Kaye Furo,1.0,Club Brugge
Mike Penders,12.0,Genk
Hendrik Van Crombrugge,1.7,Genk
Lucca Brughmans,0.5,Genk
Olivier Vliegen,0.15,Genk
Matte Smets,13.0,Genk
Mujaid Sadick,8.0,Genk
Carlos Cuesta,7.0,Genk
Mark McKenzie,6.0,Genk
Josué Kongolo,1.5,Genk
Brad Manguelle,0.8,Genk
Adrián Palacios,0.75,Genk
Yaimar Medina,3.5,Genk
Joris Kayembe,3.0,Genk
Zakaria El Ouahdi,12.0,Genk
Ken Nkuba,2.7,Genk
Kayden Pierre,0.6,Genk
Ibrahima Sory Bangoura,8.0,Genk
Nikolas Sattlberger,3.5,Genk
Bryan Heynen,11.0,Genk
Patrik Hrosovsky,2.7,Genk
Thomas Claes,0.4,Genk
Bilal El Khannouss,28.0,Genk
Konstantinos Karetsas,20.0,Genk
Christopher Bonsu Baah,7.5,Genk
Yira Sor,5.0,Genk
Alieu Fadera,4.5,Genk
Noah Adedeji-Sternberg,4.5,Genk
Luca Oyen,1.5,Genk
Jarne Steuckers,11.0,Genk
Tolu Arokodare,18.0,Genk
Andi Zeqiri,4.0,Genk
Hyeon-gyu Oh,3.5,Genk
Robin Mirisola,0.9,Genk
Anthony Moris,1.8,Union SG
Vic Chambaere,0.3,Union SG
Joachim Imbrechts,0.2,Union SG
Giorgi Kavlashvili,0.0,Union SG
Koki Machida,11.0,Union SG
Kevin Mac Allister,7.5,Union SG
Fedde Leysen,3.0,Union SG
Christian Burgess,2.2,Union SG
Ross Sykes,2.2,Union SG
Mamadou Thierno Barry,1.8,Union SG
Mohamed Asaidi,0.0,Union SG
Daniel Tshilanda Kabongo,0.0,Union SG
Guillaume François,0.15,Union SG
Charles Vanhoutte,6.0,Union SG
Mohamed Asri,0.0,Union SG
