Player,Value,Squad
Agustín Rossi,7.0,Flamengo
Matheus Cunha,0.15,Flamengo
Lucas Furtado,0.0,Flamengo
Dyogo Alves,0.0,Flamengo
Caio Barone,0.0,Flamengo
João Vitor,0.0,Flamengo
Léo Ortiz,7.5,Flamengo
Léo Pereira,4.0,Flamengo
Fabrício Bruno,3.5,Flamengo
Pablo,3.5,Flamengo
Gabriel Noga,2.0,Flamengo
David Luiz,0.8,Flamengo
Cleiton,0.15,Flamengo
Diegão,0.15,Flamengo
Da Mata,0.0,Flamengo
Carbone,0.0,Flamengo
Iago Teodoro,0.0,Flamengo
João Victor,0.0,Flamengo
Victor Thiago,0.0,Flamengo
Ayrton Lucas,6.0,Flamengo
Matías Viña,6.0,Flamengo
Alex Sandro,4.5,Flamengo
Zé Welinton,0.15,Flamengo
Ainoã,0.0,Flamengo
Matheuzinho,8.0,Flamengo
Guillermo Varela,2.0,Flamengo
Santiago Ocampos,0.3,Flamengo
Wesley,0.15,Flamengo
Daniel Sales,0.0,Flamengo
Lucyan,0.0,Flamengo
Allan,6.5,Flamengo
Erick Pulgar,6.0,Flamengo
Thiago Maia,6.0,Flamengo
Igor Jesus,0.15,Flamengo
Rayan Lucas,0.0,Flamengo
Fabiano,0.0,Flamengo
João Marcos,0.0,Flamengo
Evertton Araújo,0.0,Flamengo
Caio Garcia,0.0,Flamengo
Luis Aucélio,0.0,Flamengo
Daniel Rogério,0.0,Flamengo
Jean Carlos,0.0,Flamengo
Gerson,18.0,Flamengo
Nicolás de la Cruz,13.0,Flamengo
Carlos Alcaraz,8.5,Flamengo
João Alves,0.0,Flamengo
Giorgian de Arrascaeta,19.0,Flamengo
Victor Hugo,3.0,Flamengo
Lorran,0.0,Flamengo
Guilherme Gomes,0.0,Flamengo
Everton,12.0,Flamengo
Michael,8.5,Flamengo
Werton,0.15,Flamengo
Petterson,0.15,Flamengo
Shola Ogundana,0.0,Flamengo
Luiz Araújo,6.0,Flamengo
Gonzalo Plata,5.0,Flamengo
Thiaguinho,0.7,Flamengo
Matheus Gonçalves,0.15,Flamengo
Felipe Teresa,0.0,Flamengo
Gabriel Barbosa,22.0,Flamengo
Pedro,20.0,Flamengo
Bruno Henrique,3.5,Flamengo
Carlinhos,0.0,Flamengo
Weliton,0.0,Flamengo
Pedro Estevam,0.0,Flamengo
Felipe Lima,0.0,Flamengo
Pedro Leão,0.0,Flamengo
Wallace Yan,0.0,Flamengo
Weverton,3.5,Palmeiras
Marcelo Lomba,0.4,Palmeiras
Mateus,0.1,Palmeiras
Kaique Pereira,0.0,Palmeiras
Deivid Andrade,0.0,Palmeiras
Gustavo Gómez,9.0,Palmeiras
Murilo,6.5,Palmeiras
Luan,2.5,Palmeiras
Naves,0.15,Palmeiras
Michel,0.0,Palmeiras
Vitor Reis,0.0,Palmeiras
Luis Benedetti,0.0,Palmeiras
Joaquín Piquerez,5.0,Palmeiras
Caio Paulista,4.0,Palmeiras
Vanderlan,2.0,Palmeiras
Agustín Giay,4.0,Palmeiras
Marcos Rocha,1.2,Palmeiras
Mayke,1.0,Palmeiras
Garcia,0.5,Palmeiras
Aníbal Moreno,7.0,Palmeiras
Fabinho,0.5,Palmeiras
Richard Ríos,0.3,Palmeiras
Patrick,0.0,Palmeiras
Gabriel Menino,7.0,Palmeiras
Zé Rafael,5.0,Palmeiras
Eduard Atuesta,3.0,Palmeiras
Figueiredo,0.0,Palmeiras
Raphael Veiga,12.0,Palmeiras
Mauricio,4.0,Palmeiras
Rômulo,0.3,Palmeiras
Jhon Jhon,0.15,Palmeiras
Dudu,12.0,Palmeiras
Lázaro,6.0,Palmeiras
Breno Lopes,2.0,Palmeiras
Bruno Rodrigues,1.0,Palmeiras
Riquelme Fillipi,0.0,Palmeiras
Felipe Anderson,15.0,Palmeiras
Luís Guilherme,0.0,Palmeiras
Estêvão,0.0,Palmeiras
Endrick,20.0,Palmeiras
Rony,10.0,Palmeiras
José Manuel López,8.0,Palmeiras
Luighi,0.0,Palmeiras
Hugo Souza,3.5,Corinthians
Matheus Donelli,2.5,Corinthians
Cássio,1.2,Corinthians
Carlos Miguel,0.7,Corinthians
Felipe Longo,0.0,Corinthians
Matheus Roger,0.0,Corinthians
Félix Torres,6.0,Corinthians
André Ramalho,3.5,Corinthians
Raul Gustavo,3.5,Corinthians
Gustavo Henrique,3.2,Corinthians
Caetano,1.0,Corinthians
Cacá,1.0,Corinthians
Renato Santos,0.0,Corinthians
Tchoca,0.0,Corinthians
Rafael Venâncio,0.0,Corinthians
Yago,0.0,Corinthians
Diego Palacios,4.0,Corinthians
Matheus Bidu,1.5,Corinthians
Hugo,0.5,Corinthians
Vitor Meer,0.0,Corinthians
Matheuzinho,8.0,Corinthians
Fagner,1.5,Corinthians
Léo Mana,0.15,Corinthians
Pellegrin,0.0,Corinthians
Fausto Vera,7.0,Corinthians
José Martínez,2.0,Corinthians
Raniele,1.0,Corinthians
Ryan,0.0,Corinthians
Gabriel Moscardo,0.0,Corinthians
Maycon,7.0,Corinthians
André Carrillo,2.5,Corinthians
Alex Santana,2.0,Corinthians
Paulinho,1.5,Corinthians
Charles,0.6,Corinthians
Ruan Oliveira,0.3,Corinthians
Breno Bidon,0.15,Corinthians
Igor Coronado,6.0,Corinthians
Matías Rojas,3.5,Corinthians
Rodrigo Garro,3.2,Corinthians
Matheus Araújo,0.15,Corinthians
Talles Magno,15.0,Corinthians
Wesley,0.15,Corinthians
Kayke,0.0,Corinthians
