Player,Value,Squad
Gianluigi Donnarumma,40.0,Paris S-G
Matvey Safonov,20.0,Paris S-G
Arnau Tenas,3.0,Paris S-G
Louis Mouquet,0.0,Paris S-G
Willian Pacho,65.0,Paris S-G
Marquinhos,35.0,Paris S-G
Lucas Beraldo,25.0,Paris S-G
Milan Škriniar,15.0,Paris S-G
Presnel Kimpembe,5.0,Paris S-G
Axel Tape,2.0,Paris S-G
Noham Kamara,0.5,Paris S-G
Naoufel El Hannach,0.0,Paris S-G
Nuno Mendes,70.0,Paris S-G
Lucas Hernández,25.0,Paris S-G
Achraf Hakimi,80.0,Paris S-G
Yoram Zague,2.5,Paris S-G
Vitinha,80.0,Paris S-G
Gabriel Moscardo,8.0,Paris S-G
João Neves,80.0,Paris S-G
Warren Zaïre-Emery,55.0,Paris S-G
Fabián Ruiz,40.0,Paris S-G
Carlos Soler,18.0,Paris S-G
Senny Mayulu,15.0,Paris S-G
Marco Asensio,20.0,Paris S-G
Wassim Slama,0.0,Paris S-G
Khvicha Kvaratskhelia,90.0,Paris S-G
Bradley Barcola,70.0,Paris S-G
Quentin Ndjantou,0.0,Paris S-G
Désiré Doué,90.0,Paris S-G
Kang-in Lee,25.0,Paris S-G
Ibrahim Mbaye,3.0,Paris S-G
Ousmane Dembélé,90.0,Paris S-G
Gonçalo Ramos,40.0,Paris S-G
Randal Kolo Muani,30.0,Paris S-G
Radoslaw Majecki,6.0,Monaco
Philipp Köhn,5.0,Monaco
Jules Stawiecki,0.2,Monaco
Yann Lienard,0.1,Monaco
Thilo Kehrer,20.0,Monaco
Christian Mawissa,15.0,Monaco
Mohammed Salisu,12.0,Monaco
Guillermo Maripán,4.0,Monaco
Bradel Kiwa,0.0,Monaco
Caio Henrique,15.0,Monaco
Ismail Jakobs,7.0,Monaco
Kassoum Ouattara,7.0,Monaco
Wilfried Singo,25.0,Monaco
Vanderson,20.0,Monaco
Jordan Teze,9.0,Monaco
Denis Zakaria,30.0,Monaco
Soungoutou Magassa,12.0,Monaco
Moatasem Al-Musrati,8.0,Monaco
Aladji Bamba,0.0,Monaco
Samuel Nibombe,0.0,Monaco
Lamine Camara,22.0,Monaco
Eliot Matazo,2.0,Monaco
Edan Diop,0.6,Monaco
Mamadou Coulibaly,0.2,Monaco
Mayssam Benama,0.15,Monaco
Aleksandr Golovin,20.0,Monaco
Saïmon Bouabré,0.3,Monaco
Eliesse Ben Seghir,28.0,Monaco
Takumi Minamino,15.0,Monaco
Lucas Michal,0.5,Monaco
Maghnes Akliouche,45.0,Monaco
Krépin Diatta,7.0,Monaco
Mika Biereth,30.0,Monaco
Folarin Balogun,18.0,Monaco
George Ilenikhena,15.0,Monaco
Breel Embolo,12.0,Monaco
Joan Tincres,0.1,Monaco
Gerónimo Rulli,8.0,Marseille
Jeffrey de Lange,2.0,Marseille
Rubén Blanco,1.0,Marseille
Jelle Van Neck,0.05,Marseille
Leonardo Balerdi,20.0,Marseille
Lilian Brassier,10.0,Marseille
Luiz Felipe,5.0,Marseille
Derek Cornelius,5.0,Marseille
Bamo Meïté,4.0,Marseille
Chancel Mbemba,2.0,Marseille
Roggerio Nyakossi,0.5,Marseille
Rony Mimb Baheng,0.0,Marseille
Quentin Merlin,15.0,Marseille
Ulisses Garcia,5.0,Marseille
Alexi Koum,0.1,Marseille
Amar Dedić,12.0,Marseille
Amir Murillo,10.0,Marseille
Pol Lirola,4.0,Marseille
Pierre-Emile Højbjerg,20.0,Marseille
Ismaël Bennacer,15.0,Marseille
Geoffrey Kondogbia,7.0,Marseille
Adrien Rabiot,25.0,Marseille
Ismaël Koné,9.0,Marseille
Valentin Rongier,9.0,Marseille
Bilal Nadir,5.0,Marseille
Gaël Lafont,0.0,Marseille
Luis Henrique,25.0,Marseille
Valentín Carboni,12.0,Marseille
Amine Harit,8.0,Marseille
Enzo Sternal,1.5,Marseille
Darryl Bakola,0.2,Marseille
Jonathan Rowe,12.0,Marseille
Salim Ben Seghir,0.4,Marseille
Mason Greenwood,40.0,Marseille
Keyliane Abdallah,0.1,Marseille
Amine Gouiri,30.0,Marseille
Elye Wahi,22.0,Marseille
Neal Maupay,8.0,Marseille
Faris Moumbagna,5.0,Marseille
Robinio Vaz,0.15,Marseille
Lucas Chevalier,30.0,Lille
Lisandru Olmeta,0.15,Lille
Vito Mannone,0.15,Lille
Marc-Aurèle Caillard,0.1,Lille
Bafodé Diakité,28.0,Lille
Alexsandro,20.0,Lille
Samuel Umtiti,1.5,Lille
Aïssa Mandi,1.2,Lille
Rafael Fernandes,1.0,Lille
Ousmane Touré,0.5,Lille
Isaac Cossier,0.0,Lille
Gabriel Gudmundsson,7.0,Lille
Ismaily,1.2,Lille
Vincent Burlet,0.6,Lille
Tiago Santos,15.0,Lille
Thomas Meunier,2.0,Lille
Akim Zedadka,0.7,Lille
Morgan Costarelli,0.0,Lille
Ngal'ayel Mukau,15.0,Lille
Nabil Bentaleb,6.0,Lille
Benjamin André,5.0,Lille
Ugo Raghouber,4.0,Lille
Lilian Baret,0.0,Lille
Ayyoub Bouaddi,28.0,Lille
André Gomes,6.0,Lille
Ethan Mbappé,5.0,Lille
Mitchel Bakker,7.0,Lille
Angel Gomes,20.0,Lille
Hákon Arnar Haraldsson,18.0,Lille
Rémy Cabella,2.5,Lille
Matías Fernández-Pardo,15.0,Lille
Osame Sahraoui,12.0,Lille
Aaron Malouda,0.15,Lille
Younes Lachaab,0.05,Lille
Soriba Diaoune,0.0,Lille
Edon Zhegrova,25.0,Lille
Jonathan David,45.0,Lille
Chuba Akpom,7.0,Lille
Andrej Ilic,4.0,Lille
Mohamed Bayo,2.8,Lille
Lucas Perri,10.0,Lyon
Anthony Lopes,1.2,Lyon
Rémy Descamps,1.2,Lyon
Justin Bengui,0.4,Lyon
Lassine Diarra,0.05,Lyon
Matthias da Silva,0.0,Lyon
Moussa Niakhaté,15.0,Lyon
Duje Caleta-Car,7.0,Lyon
Adryelson,3.5,Lyon
Clinton Mata,3.5,Lyon
Warmed Omari,3.0,Lyon
Abner,7.0,Lyon
Nicolás Tagliafico,6.0,Lyon
Ainsley Maitland-Niles,12.0,Lyon
Saël Kumbedi,7.0,Lyon
Téo Barišić,0.0,Lyon
Orel Mangala,18.0,Lyon
Tanner Tessmann,6.0,Lyon
Nemanja Matić,2.0,Lyon
Paul Akouokou,0.8,Lyon
Mathys De Carvalho,0.0,Lyon
Maxence Caqueret,16.0,Lyon
Corentin Tolisso,12.0,Lyon
Jordan Veretout,4.0,Lyon
Mahamadou Diawara,2.0,Lyon
Malick Fofana,30.0,Lyon
Thiago Almada,25.0,Lyon
Saïd Benrahma,10.0,Lyon
Wilfried Zaha,5.0,Lyon
Rayan Cherki,45.0,Lyon
Ernest Nuamah,15.0,Lyon
Georges Mikautadze,22.0,Lyon
