Player,Value,Squad
Ederson,20.0,Manchester City
Stefan Ortega,8.0,Manchester City
Marcus Bettinelli,0.6,Manchester City
Scott Carson,0.1,Manchester City
Spike Brits,0.0,Manchester City
Max Hudson,0.0,Manchester City
Josko Gvardiol,75.0,Manchester City
Rúben Dias,65.0,Manchester City
Abdukodir Khusanov,35.0,Manchester City
Vitor Reis,30.0,Manchester City
Manuel Akanji,28.0,Manchester City
John Stones,25.0,Manchester City
Nathan Aké,25.0,Manchester City
Jahmai Simpson-Pusey,5.0,Manchester City
Max Alleyne,0.5,Manchester City
Kaden Braithwaite,0.0,Manchester City
Rayan Aït-Nouri,35.0,Manchester City
Nico O'Reilly,18.0,Manchester City
Josh Wilson-Esbrand,4.0,Manchester City
Rico Lewis,40.0,Manchester City
Matheus Nunes,35.0,Manchester City
Kyle Walker,4.0,Manchester City
Issa Kaboré,4.0,Manchester City
Rodri,110.0,Manchester City
Nico González,40.0,Manchester City
Kalvin Phillips,12.0,Manchester City
Jacob Wright,0.8,Manchester City
Tijjani Reijnders,60.0,Manchester City
Mateo Kovacic,20.0,Manchester City
İlkay Gündoğan,5.0,Manchester City
Bernardo Silva,38.0,Manchester City
Kevin De Bruyne,20.0,Manchester City
James McAtee,20.0,Manchester City
Claudio Echeverri,18.0,Manchester City
Jérémy Doku,50.0,Manchester City
Savinho,50.0,Manchester City
Jack Grealish,28.0,Manchester City
Phil Foden,100.0,Manchester City
Rayan Cherki,45.0,Manchester City
Oscar Bobb,25.0,Manchester City
Farid Alfa-Ruprecht,0.0,Manchester City
Erling Haaland,180.0,Manchester City
Omar Marmoush,75.0,Manchester City
Divin Mubama,4.0,Manchester City
Robert Sánchez,20.0,Chelsea
Filip Jørgensen,18.0,Chelsea
Mike Penders,12.0,Chelsea
Gabriel Slonina,3.5,Chelsea
Lucas Bergström,0.7,Chelsea
Marcus Bettinelli,0.6,Chelsea
Max Merrick,0.0,Chelsea
Ted Curd,0.0,Chelsea
Levi Colwill,55.0,Chelsea
Renato Veiga,25.0,Chelsea
Trevoh Chalobah,25.0,Chelsea
Wesley Fofana,25.0,Chelsea
Axel Disasi,22.0,Chelsea
Benoît Badiashile,22.0,Chelsea
Tosin Adarabioyo,20.0,Chelsea
Mamadou Sarr,20.0,Chelsea
Aarón Anselmino,8.0,Chelsea
Josh Acheampong,8.0,Chelsea
Harrison Murray-Campbell,0.5,Chelsea
Kaiden Wilson,0.0,Chelsea
Marc Cucurella,35.0,Chelsea
Ben Chilwell,15.0,Chelsea
Ishé Samuels-Smith,0.7,Chelsea
Malo Gusto,35.0,Chelsea
Reece James,30.0,Chelsea
Genesis Antwi,0.35,Chelsea
Richard Olise,0.0,Chelsea
Moisés Caicedo,90.0,Chelsea
Roméo Lavia,40.0,Chelsea
Dário Essugo,20.0,Chelsea
Sam Rak-Sakyi,0.8,Chelsea
Landon Emenalo,0.0,Chelsea
Enzo Fernández,75.0,Chelsea
Andrey Santos,35.0,Chelsea
Kiernan Dewsbury-Hall,20.0,Chelsea
Carney Chukwuemeka,18.0,Chelsea
Cesare Casadei,15.0,Chelsea
Mathis Amougou,10.0,Chelsea
Kiano Dyer,0.0,Chelsea
Reggie Walsh,0.0,Chelsea
Harvey Vale,1.5,Chelsea
Cole Palmer,120.0,Chelsea
Omari Kellyman,1.5,Chelsea
Jadon Sancho,28.0,Chelsea
Tyrique George,10.0,Chelsea
Mykhaylo Mudryk,0.0,Chelsea
Pedro Neto,50.0,Chelsea
Noni Madueke,40.0,Chelsea
Ato Ampah,0.0,Chelsea
João Félix,20.0,Chelsea
João Pedro,50.0,Chelsea
Nicolas Jackson,50.0,Chelsea
Liam Delap,40.0,Chelsea
Christopher Nkunku,35.0,Chelsea
Deivid Washington,8.0,Chelsea
Marc Guiu,8.0,Chelsea
David Datro Fofana,6.0,Chelsea
Shumaira Mheuka,0.8,Chelsea
David Raya,40.0,Arsenal
Aaron Ramsdale,16.0,Arsenal
Neto,1.5,Arsenal
Jack Porter,0.4,Arsenal
Alexéi Rojas,0.25,Arsenal
Tommy Setford,0.0,Arsenal
William Saliba,80.0,Arsenal
Gabriel Magalhães,75.0,Arsenal
Jakub Kiwior,28.0,Arsenal
Takehiro Tomiyasu,18.0,Arsenal
Ayden Heaven,5.0,Arsenal
Zane Monlouis,0.4,Arsenal
Maldini Kacurri,0.3,Arsenal
Brayden Clarke,0.0,Arsenal
Myles Lewis-Skelly,45.0,Arsenal
Riccardo Calafiori,35.0,Arsenal
Oleksandr Zinchenko,20.0,Arsenal
Kieran Tierney,9.0,Arsenal
Jurriën Timber,55.0,Arsenal
Ben White,45.0,Arsenal
Michal Rosiak,0.0,Arsenal
Josh Robinson,0.0,Arsenal
Josh Nichols,0.0,Arsenal
Thomas Partey,14.0,Arsenal
Jorginho,6.0,Arsenal
Jack Henry-Francis,0.2,Arsenal
Declan Rice,120.0,Arsenal
Mikel Merino,35.0,Arsenal
Salah-Eddine Oulad M'Hand,0.4,Arsenal
Jimi Gower,0.0,Arsenal
Martin Ødegaard,85.0,Arsenal
Ethan Nwaneri,55.0,Arsenal
Gabriel Martinelli,55.0,Arsenal
Leandro Trossard,22.0,Arsenal
Reiss Nelson,16.0,Arsenal
Bukayo Saka,150.0,Arsenal
Raheem Sterling,10.0,Arsenal
Ismeal Kabia,0.0,Arsenal
Kai Havertz,65.0,Arsenal
Gabriel Jesus,32.0,Arsenal
Eddie Nketiah,18.0,Arsenal
Nathan Butler-Oyedeji,1.0,Arsenal
Alisson,20.0,Liverpool
Caoimhín Kelleher,20.0,Liverpool
Vitezslav Jaros,4.0,Liverpool
Harvey Davies,0.5,Liverpool
Ibrahima Konaté,60.0,Liverpool
Virgil van Dijk,23.0,Liverpool
Joe Gomez,20.0,Liverpool
Jarell Quansah,20.0,Liverpool
Amara Nallo,1.0,Liverpool
Konstantinos Tsimikas,18.0,Liverpool
Andrew Robertson,18.0,Liverpool
James Norris,0.15,Liverpool
Trent Alexander-Arnold,75.0,Liverpool
Conor Bradley,30.0,Liverpool
Isaac Mabaya,0.0,Liverpool
Ryan Gravenberch,75.0,Liverpool
Wataru Endo,8.0,Liverpool
Tyler Morton,7.0,Liverpool
James McConnell,2.0,Liverpool
Alexis Mac Allister,100.0,Liverpool
Curtis Jones,45.0,Liverpool
Trey Nyoni,4.5,Liverpool
