Player,Value,Squad
Jonas Urbig,12.0,Bayern Munich
Manuel Neuer,4.0,Bayern Munich
Daniel Peretz,3.0,Bayern Munich
Max Schmitt,0.7,Bayern Munich
Sven Ulreich,0.5,Bayern Munich
Anthony Pavlesic,0.15,Bayern Munich
Leon Klanac,0.0,Bayern Munich
Dayot Upamecano,50.0,Bayern Munich
Min-jae Kim,40.0,Bayern Munich
Jonathan Tah,30.0,Bayern Munich
Hiroki Ito,25.0,Bayern Munich
Eric Dier,8.0,Bayern Munich
Tarek Buchmann,0.5,Bayern Munich
Cassiano Kiala,0.0,Bayern Munich
Alphonso Davies,50.0,Bayern Munich
Raphaël Guerreiro,8.0,Bayern Munich
Adam Aznou,4.0,Bayern Munich
Josip Stanisic,32.0,Bayern Munich
Konrad Laimer,25.0,Bayern Munich
Sacha Boey,18.0,Bayern Munich
Aleksandar Pavlovic,55.0,Bayern Munich
Joshua Kimmich,45.0,Bayern Munich
João Palhinha,30.0,Bayern Munich
Noel Aseko,0.7,Bayern Munich
David Santos Daiber,0.0,Bayern Munich
Tom Bischof,30.0,Bayern Munich
Leon Goretzka,22.0,Bayern Munich
Jamal Musiala,140.0,Bayern Munich
Arijon Ibrahimovic,4.0,Bayern Munich
Maurice Krattenmacher,3.5,Bayern Munich
Jonathan Asp Jensen,1.5,Bayern Munich
Lennart Karl,1.5,Bayern Munich
Kingsley Coman,30.0,Bayern Munich
Gabriel Vidovic,3.0,Bayern Munich
Wisdom Mike,0.0,Bayern Munich
Michael Olise,100.0,Bayern Munich
Leroy Sané,32.0,Bayern Munich
Nestory Irankunda,4.0,Bayern Munich
Serge Gnabry,22.0,Bayern Munich
Thomas Müller,6.0,Bayern Munich
Harry Kane,75.0,Bayern Munich
Mathys Tel,35.0,Bayern Munich
Jonah Kusi-Asare,2.5,Bayern Munich
Matej Kovar,5.0,Leverkusen
Lukas Hradecky,2.0,Leverkusen
Niklas Lomb,0.25,Leverkusen
Simeon Rapsch,0.0,Leverkusen
Luca Novodomsky,0.0,Leverkusen
Piero Hincapié,50.0,Leverkusen
Edmond Tapsoba,35.0,Leverkusen
Jonathan Tah,30.0,Leverkusen
Odilon Kossounou,25.0,Leverkusen
Jeanuël Belocian,15.0,Leverkusen
Mario Hermoso,7.0,Leverkusen
Andrea Natali,0.0,Leverkusen
Ben Hawighorst,0.0,Leverkusen
Alejandro Grimaldo,30.0,Leverkusen
Jeremie Frimpong,50.0,Leverkusen
Nordi Mukiele,10.0,Leverkusen
Arthur,7.0,Leverkusen
Othniël Raterink,0.0,Leverkusen
Granit Xhaka,12.0,Leverkusen
Robert Andrich,9.0,Leverkusen
Exequiel Palacios,40.0,Leverkusen
Aleix García,20.0,Leverkusen
Florian Wirtz,140.0,Leverkusen
Emiliano Buendía,15.0,Leverkusen
Jonas Hofmann,2.0,Leverkusen
Francis Onyeka,0.5,Leverkusen
Amine Adli,18.0,Leverkusen
Martin Terrier,17.0,Leverkusen
Kerim Alajbegovic,0.0,Leverkusen
Nathan Tella,15.0,Leverkusen
Victor Boniface,40.0,Leverkusen
Patrik Schick,27.0,Leverkusen
Artem Stepanov,0.8,Leverkusen
Alejo Sarco,0.8,Leverkusen
Maarten Vandevoordt,8.0,RB Leipzig
Péter Gulácsi,2.0,RB Leipzig
Leopold Zingerle,0.4,RB Leipzig
Fernando Dickes,0.0,RB Leipzig
Castello Lukeba,40.0,RB Leipzig
Mohamed Simakan,23.0,RB Leipzig
El Chadaille Bitshiabu,18.0,RB Leipzig
Willi Orbán,8.0,RB Leipzig
Lukas Klostermann,8.0,RB Leipzig
Jonathan Norbye,0.0,RB Leipzig
David Raum,20.0,RB Leipzig
Lionel Voufack,0.0,RB Leipzig
