Player,Value,Squad
Timon Wellenreuther,6.0,Feyenoord
Justin Bijlow,5.0,Feyenoord
Plamen Andreev,1.5,Feyenoord
Liam Bossin,0.45,Feyenoord
Mikki van Sas,0.4,Feyenoord
Mannou Berger,0.075,Feyenoord
Ismail Ka,0.0,Feyenoord
Dávid Hancko,30.0,Feyenoord
Thomas Beelen,8.0,Feyenoord
Facundo González,3.0,Feyenoord
Gernot Trauner,2.5,Feyenoord
Djomar Giersthove,0.0,Feyenoord
Jan Plug,0.0,Feyenoord
Quilindschy Hartman,14.0,Feyenoord
Hugo Bueno,8.0,Feyenoord
Gijs Smal,7.0,Feyenoord
Marcos López,2.5,Feyenoord
Lutsharel Geertruida,20.0,Feyenoord
Givairo Read,16.0,Feyenoord
Jordan Lotomba,6.5,Feyenoord
Marcus Pedersen,3.0,Feyenoord
Bart Nieuwkoop,2.0,Feyenoord
Jeyland Mitchell,2.0,Feyenoord
Neraysho Kasanwirjo,1.8,Feyenoord
In-beom Hwang,10.0,Feyenoord
Ramiz Zerrouki,5.0,Feyenoord
Oussama Targhalline,4.0,Feyenoord
Quinten Timber,30.0,Feyenoord
Jakub Moder,12.0,Feyenoord
Gjivai Zechiël,4.0,Feyenoord
Thijs Kraaijeveld,0.0,Feyenoord
Tobias van den Elshout,0.0,Feyenoord
Antoni Milambo,18.0,Feyenoord
Calvin Stengs,7.0,Feyenoord
Luka Ivanušec,3.5,Feyenoord
Ondrej Lingr,3.0,Feyenoord
Chris-Kévin Nadje,1.2,Feyenoord
Shiloh 't Zand,0.9,Feyenoord
Igor Paixão,35.0,Feyenoord
Ibrahim Osman,10.0,Feyenoord
Leo Sauer,5.0,Feyenoord
Aymen Sliti,0.75,Feyenoord
Anis Hadj Moussa,14.0,Feyenoord
Santiago Gimenez,30.0,Feyenoord
Ayase Ueda,8.0,Feyenoord
Julián Carranza,5.0,Feyenoord
Stéphano Carrillo,2.5,Feyenoord
Zepiqueno Redmond,0.8,Feyenoord
Walter Benítez,7.5,PSV Eindhoven
Joël Drommel,1.5,PSV Eindhoven
Niek Schiks,0.25,PSV Eindhoven
Tijn Smolenaars,0.1,PSV Eindhoven
Ryan Flamingo,20.0,PSV Eindhoven
Olivier Boscagli,20.0,PSV Eindhoven
Adamo Nagalo,6.0,PSV Eindhoven
Armando Obispo,3.0,PSV Eindhoven
Wessel Kuhn,0.5,PSV Eindhoven
Emmanuel van de Blaak,0.45,PSV Eindhoven
Michael Bresser,0.35,PSV Eindhoven
Samuel Gomez Van Hoogen,0.3,PSV Eindhoven
Mauro Júnior,12.0,PSV Eindhoven
Tyrell Malacia,8.0,PSV Eindhoven
Matteo Dams,4.5,PSV Eindhoven
Fredrik Oppegård,0.6,PSV Eindhoven
Sergiño Dest,16.0,PSV Eindhoven
Jordan Teze,9.0,PSV Eindhoven
Rick Karsdorp,3.0,PSV Eindhoven
