Player,Value,Squad
Rui Silva,7.0,Sporting CP
Franco Israel,5.0,Sporting CP
Vladan Kovacevic,3.0,Sporting CP
Diego Callai,1.0,Sporting CP
Diogo Pinto,0.5,Sporting CP
Francisco Silva,0.0,Sporting CP
Gonçalo Inácio,45.0,Sporting CP
Ousmane Diomande,45.0,Sporting CP
Zeno Debast,30.0,Sporting CP
Eduardo Quaresma,18.0,Sporting CP
Jeremiah St Juste,6.0,Sporting CP
João Muniz,0.5,Sporting CP
Bruno Ramos,0.1,Sporting CP
David Moreira,0.0,Sporting CP
Miguel Alves,0.0,Sporting CP
Lucas Taibo,0.0,Sporting CP
Maxi Araújo,17.0,Sporting CP
Nuno Santos,9.0,Sporting CP
Matheus Reis,6.0,Sporting CP
Iván Fresneda,8.0,Sporting CP
Ricardo Esgaio,1.5,Sporting CP
Morten Hjulmand,50.0,Sporting CP
Dário Essugo,20.0,Sporting CP
Eduardo Felicíssimo,3.0,Sporting CP
Henrique Arreiol,1.0,Sporting CP
Alexandre Brito,0.0,Sporting CP
Mateus Fernandes,15.0,Sporting CP
Hidemasa Morita,13.0,Sporting CP
Daniel Bragança,12.0,Sporting CP
Samuel Justo,0.4,Sporting CP
Geny Catamo,15.0,Sporting CP
José Silva,0.0,Sporting CP
Denilson Santos,0.0,Sporting CP
João Simões,6.0,Sporting CP
Kauã Oliveira,0.0,Sporting CP
Luís Gomes,0.0,Sporting CP
Manuel Mendonça,0.0,Sporting CP
Pedro Gonçalves,30.0,Sporting CP
Biel,5.0,Sporting CP
Afonso Moreira,0.4,Sporting CP
Geovany Quenda,45.0,Sporting CP
Francisco Trincão,35.0,Sporting CP
Marcus Edwards,12.0,Sporting CP
Mauro Couto,0.2,Sporting CP
Viktor Gyökeres,75.0,Sporting CP
Conrad Harder,24.0,Sporting CP
Rodrigo Ribeiro,2.5,Sporting CP
Lucas Anjos,0.0,Sporting CP
Gabriel Silva,0.0,Sporting CP
Rafael Nel,0.0,Sporting CP
Diogo Costa,40.0,Porto
Cláudio Ramos,1.2,Porto
Samuel Portugal,1.0,Porto
Diogo Fernandes,0.9,Porto
Nehuén Pérez,13.0,Porto
David Carmo,10.0,Porto
Otávio,10.0,Porto
Tiago Djaló,8.0,Porto
Zé Pedro,4.0,Porto
Gabriel Brás,1.2,Porto
Iván Marcano,0.2,Porto
Francisco Moura,15.0,Porto
Wendell,3.5,Porto
Zaidu,2.0,Porto
Martim Fernandes,12.0,Porto
Nico González,40.0,Porto
Alan Varela,32.0,Porto
Marko Grujić,4.0,Porto
Tomás Pérez,3.0,Porto
Domingos Andrade,1.0,Porto
André Oliveira,0.8,Porto
Stephen Eustaquio,10.0,Porto
Vasco Sousa,4.0,Porto
João Teixeira,0.65,Porto
João Mário,10.0,Porto
Rodrigo Mora,40.0,Porto
Fábio Vieira,22.0,Porto
Gabri Veiga,18.0,Porto
Iván Jaime,5.0,Porto
André Franco,2.5,Porto
Galeno,24.0,Porto
William Gomes,9.0,Porto
Ángel Alarcón,1.5,Porto
Pepê,22.0,Porto
