Player,Value,Squad
Evgeniy Latyshonok,4.0,Zenit
Denis Adamov,1.0,Zenit
Nikita Goylo,0.25,Zenit
Mikhail Kerzhakov,0.2,Zenit
Maksim Timofeev,0.0,Zenit
David Byazrov,0.0,Zenit
Vladimir Pavlov,0.0,Zenit
Nino,11.0,Zenit
Strahinja Erakovic,9.0,Zenit
Vanja Drkusic,4.0,Zenit
Rodrigão,3.0,Zenit
Nuraly Alip,3.0,Zenit
Dmitriy Chistyakov,0.9,Zenit
Matvey Bardachev,0.3,Zenit
Nikita Lobov,0.15,Zenit
Ilya Bulygin,0.0,Zenit
Douglas Santos,9.0,Zenit
Yuriy Gorshkov,2.0,Zenit
Vyacheslav Karavaev,3.5,Zenit
Ognjen Mimovic,3.5,Zenit
Sergey Volkov,3.0,Zenit
Wilmar Barrios,8.0,Zenit
Sasa Zdjelar,3.5,Zenit
Dmitriy Vasiljev,0.6,Zenit
Nikita Vershinin,0.1,Zenit
Wendel,18.0,Zenit
Aleksandr Kovalenko,1.5,Zenit
Kirill Stolbov,0.075,Zenit
Claudinho,15.0,Zenit
Ilzat Akhmetov,1.5,Zenit
Aleksandr Erokhin,0.25,Zenit
Pedro,10.0,Zenit
Andrey Mostovoy,4.0,Zenit
Evgeniy Pshennikov,0.0,Zenit
Luiz Henrique,25.0,Zenit
Artur,8.0,Zenit
Gustavo Mantuan,3.5,Zenit
Zelimkhan Bakaev,2.0,Zenit
Aleksey Sutormin,1.0,Zenit
Maksim Glushenkov,14.0,Zenit
Wilson Isidor,12.0,Zenit
Luciano Gondou,12.0,Zenit
Mateo Cassierra,10.0,Zenit
Aleksandr Sobolev,6.0,Zenit
Ivan Sergeev,3.0,Zenit
Aleksandr Maksimenko,4.5,Spartak Moscow
Ilya Pomazun,1.2,Spartak Moscow
Aleksandr Selikhov,0.9,Spartak Moscow
Aleksandr Dovbnya,0.05,Spartak Moscow
Ilya Tikhomirov,0.0,Spartak Moscow
Dmitriy Melnik,0.0,Spartak Moscow
Ruslan Pichienko,0.0,Spartak Moscow
Srdjan Babic,6.0,Spartak Moscow
Ruslan Litvinov,5.0,Spartak Moscow
Alexis Duarte,3.0,Spartak Moscow
Nikita Chernov,1.5,Spartak Moscow
Myenty Abena,0.7,Spartak Moscow
Pavel Maslov,0.45,Spartak Moscow
Egor Guziev,0.0,Spartak Moscow
Oleg Reabciuk,4.0,Spartak Moscow
Ricardo Mangas,2.5,Spartak Moscow
Daniil Denisov,4.0,Spartak Moscow
Daniil Khlusevich,3.5,Spartak Moscow
Christopher Martins,6.0,Spartak Moscow
Nail Umyarov,4.0,Spartak Moscow
Danil Prutsev,4.0,Spartak Moscow
Roman Zobnin,3.0,Spartak Moscow
Abdullo Dzhebov,0.0,Spartak Moscow
Esequiel Barco,14.0,Spartak Moscow
Mikhail Ignatov,1.0,Spartak Moscow
Daniil Zorin,0.7,Spartak Moscow
Marquinhos,6.0,Spartak Moscow
Anton Zinkovskiy,2.5,Spartak Moscow
Pablo Solari,7.0,Spartak Moscow
Théo Bongonda,6.0,Spartak Moscow
Jesús Medina,3.0,Spartak Moscow
Nikita Massalyga,0.1,Spartak Moscow
Manfred Ugalde,15.0,Spartak Moscow
Levi García,12.0,Spartak Moscow
Shamar Nicholson,3.8,Spartak Moscow
Willian José,1.8,Spartak Moscow
Pavel Meleshin,0.8,Spartak Moscow
Stanislav Agkatsev,7.5,Krasnodar
Yuriy Dyupin,0.3,Krasnodar
Daniil Golikov,0.2,Krasnodar
Roman Safronov,0.1,Krasnodar
Valentin Grishin,0.0,Krasnodar
Danil Ladokha,0.0,Krasnodar
Egor Postrigan,0.0,Krasnodar
Diego Costa,8.0,Krasnodar
Vítor Tormena,7.0,Krasnodar
Kaio,1.8,Krasnodar
Georgiy Harutyunyan,1.0,Krasnodar
Danila Gayvoronskiy,0.175,Krasnodar
Bogdan Matsola,0.05,Krasnodar
Lucas Olaza,4.0,Krasnodar
Kirill Larionov,0.05,Krasnodar
Artem Khmarin,0.0,Krasnodar
Marat Kulaev,0.0,Krasnodar
Giovanni González,2.5,Krasnodar
Aleksandr Ektov,0.8,Krasnodar
Sergey Petrov,0.4,Krasnodar
Kevin Castaño,8.0,Krasnodar
Aleksandr Chernikov,8.0,Krasnodar
Kevin Lenini,5.0,Krasnodar
Mikhail Umnikov,0.25,Krasnodar
Yuriy Gazinskiy,0.2,Krasnodar
Kirill Kistenev,0.0,Krasnodar
Artem Sidorenko,0.0,Krasnodar
Eduard Spertsyan,25.0,Krasnodar
Nikita Krivtsov,4.0,Krasnodar
Danila Kozlov,2.0,Krasnodar
Dmitriy Kuchugura,0.2,Krasnodar
João Batxi,5.0,Krasnodar
Victor Sá,3.0,Krasnodar
Olakunle Olusegun,2.5,Krasnodar
