Player,Value
David Raya,40.0
Aaron Ramsdale,16.0
Neto,1.5
Jack Porter,0.4
Alexéi Rojas,0.25
Tommy Setford,0.0
William Saliba,80.0
Gabriel Magalhães,75.0
Jakub Kiwior,28.0
Takehiro Tomiyasu,18.0
Ayden Heaven,5.0
Zane Monlouis,0.4
Maldini Kacurri,0.3
Brayden Clarke,0.0
Myles Lewis-Skelly,45.0
Riccardo Calafiori,35.0
Oleksandr Zinchenko,20.0
Kieran Tierney,9.0
Jurriën Timber,55.0
Ben White,45.0
Josh Robinson,0.0
Josh Nichols,0.0
Thomas Partey,14.0
Jorginho,6.0
Jack Henry-Francis,0.2
Michal Rosiak,0.0
Declan Rice,120.0
Mikel Merino,35.0
Salah-Eddine Oulad M'Hand,0.4
Jimi Gower,0.0
Martin Ødegaard,85.0
Ethan Nwaneri,55.0
Gabriel Martinelli,55.0
Leandro Trossard,22.0
Reiss Nelson,16.0
Bukayo Saka,150.0
Raheem Sterling,10.0
Ismeal Kabia,0.0
Kai Havertz,65.0
Gabriel Jesus,32.0
Eddie Nketiah,18.0
Nathan Butler-Oyedeji,1.0
Robert Sánchez,20.0
Filip Jørgensen,18.0
Mike Penders,12.0
Gabriel Slonina,3.5
Lucas Bergström,0.7
Marcus Bettinelli,0.6
Max Merrick,0.0
Ted Curd,0.0
Levi Colwill,55.0
Renato Veiga,25.0
Trevoh Chalobah,25.0
Wesley Fofana,25.0
Axel Disasi,22.0
Benoît Badiashile,22.0
Tosin Adarabioyo,20.0
Mamadou Sarr,20.0
Aarón Anselmino,8.0
Harrison Murray-Campbell,0.5
Kaiden Wilson,0.0
Marc Cucurella,35.0
Ben Chilwell,15.0
Ishé Samuels-Smith,0.7
Malo Gusto,35.0
Reece James,30.0
Josh Acheampong,8.0
Genesis Antwi,0.35
Richard Olise,0.0
Moisés Caicedo,90.0
Roméo Lavia,40.0
Dário Essugo,20.0
Sam Rak-Sakyi,0.8
Landon Emenalo,0.0
Enzo Fernández,75.0
Andrey Santos,35.0
Kiernan Dewsbury-Hall,20.0
Carney Chukwuemeka,18.0
Cesare Casadei,15.0
Mathis Amougou,10.0
Kiano Dyer,0.0
Reggie Walsh,0.0
Cole Palmer,120.0
Harvey Vale,1.5
Omari Kellyman,1.5
Jadon Sancho,28.0
Tyrique George,10.0
Mykhaylo Mudryk,0.0
Pedro Neto,50.0
Noni Madueke,40.0
